'	57597:9052:74:84
—	51296:60672:694:33 47204:13123:793:67 2455:44587:967:67 2331:19904:967:84 12030:19113:1017:67
!"	13295:35316:644:487
"	2331:35316:446:235
&	51222:58905:1017:656 54050:38849:992:622 58738:15210:1017:656 27111:57240:1066:487 58068:33533:818:757
(	17165:52293:173:353
.	63128:60706:74:67 63153:61581:148:84 38943:46370:124:100
.#.	32941:36628:1116:218
:	40134:35165:148:319
_	51346:51569:620:50
_~____	48394:62506:3819:622
»^»	31403:26399:1215:151
»-»*	12600:45159:1289:235
»».	31973:33448:1091:218
100,000	2579:61463:3671:605
11	22820:35787:1041:622
1200	19248:11525:2703:504
142	43508:42231:2009:521
1882	41374:1800:2058:437
2350	14833:17195:2455:521
236	28724:22058:1389:420
24	39564:1800:1165:555
24th	32891:28081:2083:555
250	10418:15580:1909:504
260	43433:34525:1736:420
28,000	35892:10095:3199:605
305	45145:57492:2207:487
324	46435:16707:1413:454
328	50230:16724:1438:437
3clocks	27583:46017:3199:521
40	45418:61934:793:353
400	23837:57223:2331:487 4564:14739:1934:504
402	29096:57240:2455:521
466	26963:63128:1686:588
500	13121:13948:1934:504
59	48419:59915:942:471
6:40	34503:28939:1661:420 28972:35030:1711:437
73	55017:34609:1091:403
8	24457:35871:644:420
a	60871:46690:471:386 7168:49567:421:319 2381:39539:421:319 17065:41239:421:302 25102:3432:421:286 14560:50560:421:319 21704:10044:396:286 18430:50610:421:302 23887:22024:644:420 2232:8412:446:319 13245:60857:446:319 60995:28720:570:370 9847:32203:446:319 21778:33886:396:302 54223:10313:719:555 34255:5888:421:302 39737:37369:917:454 39539:39169:421:319
abolition	9649:5686:3646:487
abroad	2282:13914:3150:487
accused	24507:16808:3447:471
achieved	18256:7453:3671:487
address	33288:29696:3199:487
adjacent	35868:17767:3571:639
advisable	22671:31328:4142:538
aestheticism	30386:37352:5233:471
after	17909:34525:2009:487
against	26243:11727:3075:639
agency	50428:11912:2356:403 47452:44755:3621:673
aggregating	28203:10095:5184:639
agreed	19496:63213:2802:471
all	53405:44789:1240:555 52363:4357:1587:319 28625:48877:1488:386
always	54422:37655:2530:420
american	12154:26314:4192:487 44425:45563:4886:538
americans	2406:40212:4539:487 5680:9876:4514:471 11608:21267:4564:487
among	6722:43661:2852:471
an	18678:28132:917:319
and	2331:22091:1463:471 55340:30319:1190:386 4316:4862:1513:471 59184:29242:1265:403 33660:17767:1488:471 14535:35333:1488:471 2331:36107:1513:471 8309:15563:1488:471 6895:18020:1513:454 52909:21200:1165:386 24705:20207:1513:471 51842:23606:1215:370 47452:23555:1215:386 49188:37200:992:319 52958:12905:1240:386 49758:26786:1240:403 14138:32052:1513:471 48295:16724:1463:420 10467:45832:2579:487 19099:37823:1463:454 34999:24447:1513:471 61615:44907:1711:572 59333:61311:1215:252 33462:54548:1463:454 47427:5215:1661:336 30783:50324:1637:370 45194:55120:1513:471 31750:43897:1661:386 48667:54161:1488:471 53653:8193:1909:504 44698:4340:1686:319
annoy	16197:32220:2530:487
antagonists	2331:20442:4911:656
anxious	2604:52966:3199:471
any	60102:37369:1041:336 50751:6073:1711:336 57944:55355:1513:487 22845:32338:1686:471
apostle	25846:37352:2976:656
appears	19000:33061:3175:487
appropriating	16470:60722:5853:673
are	43384:28720:1091:269 17512:59259:1289:302 21034:52411:1289:302 33734:23791:1265:319
arizona	56332:20678:2926:471
arkansas	56654:28670:3398:420
armstrong	49064:33448:8309:841
army	2530:58350:2108:471
arrive	38943:7487:2480:471
artistic	28501:48171:3621:386
aside	40457:4896:2083:471
assert	2232:37032:2406:370
association	27211:28855:4911:504
aster	22820:19500:2083:386
at	14014:6612:768:370 7143:36191:793:403 38571:10970:793:403 44971:14032:644:353 7714:23000:818:386 32965:28990:793:370
atchison	43359:18642:4316:790
attacked	9277:23723:3695:487
attendance	2232:6494:4588:487
avith	14808:4054:1909:504
awaited	10988:4054:3423:504
away	2182:3348:2455:538
b	51718:15159:1289:740 47104:33448:1091:757
badges	54099:40616:6523:689
badly	12551:20459:2331:639
banner	48394:60874:6598:656
bargain	13617:24548:3199:639
be	11633:18020:917:471 18603:24565:967:471 38398:37352:917:471 9649:4054:942:487 21406:54834:917:471 3150:4021:942:504 29964:25271:917:471 21133:4879:892:454
been	40729:19416:1909:471 37133:30521:1885:487 8830:42686:1860:471
being	31552:5720:2331:639
bench	2654:56398:2703:487
benton	55389:47296:4936:588
berkeley	22919:28872:3720:622
berlin	2257:9018:2604:487 17140:18827:2554:471
best	52016:19769:2356:471
bicycle	43458:44721:3571:673
bicycles	56605:45647:4092:689
bill	25946:3264:1364:454 20588:59932:1686:471 5605:57374:1289:471 14411:60689:1240:487
blood	56927:29208:1860:420
bnt	7937:22108:1389:471
bondsmen	32370:11710:4167:487
book	56208:63213:1513:336
boots	60301:3331:2902:673
boys	2257:13107:1959:656
brass	35272:46051:2604:504
bread	15007:36965:2381:487
bric-a-brac	27285:46741:5109:437
bricks	19645:35350:2505:471
brilliant	3051:8261:3423:487
bronzes	31105:46034:3745:454
bursting	9376:50375:3621:673
business	3621:59006:3522:504
but	37654:38176:1413:471 47749:28620:1190:386 19223:41912:1389:471 9053:29579:1389:471
button	49386:8193:3795:538 48047:12905:2604:386
by	21084:32069:1017:639 41672:23673:967:622 17958:17195:1041:656 37257:29713:1017:639 2306:29545:1066:656 6498:5686:1041:639 15155:58249:1041:622 20290:33718:1066:656 58167:63213:669:437
c	61293:36342:1562:555 61466:40700:1860:555
cable	2455:47582:2381:504
cakes	60871:54211:2530:504
california	44822:24110:3621:403 59556:20695:3695:487 11360:40229:4440:487
calling	32792:50324:3423:386
can	41052:38345:1637:302
cannon	36488:4896:3522:588
captain	15652:9068:3100:639
cards	36612:50341:2554:386
cared	37579:23656:2232:454
carmine	49858:59881:3894:538
carpets	46435:35266:5680:673
case	26789:5047:1686:336
celebrated	44971:12333:3522:403
cerebro-spinal	16048:23740:6126:639
certainly	14634:27963:3795:656 47476:25692:3150:521
chapel	48121:57509:6300:538 45914:34542:3944:403 52140:16724:3745:454 32469:57273:6325:521 27012:29680:3199:639
china	14064:38597:2480:504
chinamen	14163:37773:4514:656 8731:34475:4564:639
chinese	14560:30403:3299:487
choice	28625:49601:2778:386
churches	11484:52175:3745:504
cisco	2381:41827:2009:504
city	53975:56129:1835:656
class	16867:27139:2158:487
climate	46236:30285:2703:454
closed	15776:53033:2530:487
club	9723:16371:2207:487
clubs	58068:52781:2455:555
co	59631:33533:1934:908 60449:15176:2753:807 54372:26264:1240:386
college	27756:60739:6002:1480 9922:7453:3150:656 53827:39775:3026:555 4787:41844:2926:656
colorado	47700:20611:3100:386
commerce	15602:59881:4539:521
commercial	7987:49433:4812:471
committee	12328:63145:4688:504 32072:4088:4415:471 29790:24447:4886:639
compulsory	17090:5686:4886:639
concern	18603:31413:3571:302
confession	37157:15984:4316:471
confirm	22820:18575:3125:471
congress	54695:12905:3323:538
