english	39498:6956:1929:329
singers	41760:6956:1907:344
are	44022:6971:975:269
to	45308:7016:487:224
present	44133:7436:1951:284
concert	46506:7451:2106:269
tonight	49034:7466:2062:329
enthusiasm	39564:9160:2750:269
and	41560:11559:842:284 42913:9160:842:284
the	47770:10135:731:299 44333:9160:731:299 50409:9685:754:269 43556:10615:709:269 43246:9640:731:284
newspaper	45619:9265:2616:254
criticisms	48813:9190:2350:284
have	39564:9625:1131:299 41361:10120:1108:284
been	41028:9625:1086:299
of	42448:9625:487:299 42758:10600:465:269 49633:9670:465:284
best.	44310:9640:1064:284
in	48724:10615:421:284 45996:9640:532:284
fact	46861:9640:909:299
some	48103:9760:1197:194
critics	39520:10105:1508:284
said	42802:10120:953:284
that	44067:10120:953:284
they	45353:10120:1020:344
are	46706:10225:754:194 44931:11184:754:179
outstanding	48835:10165:2062:284 39520:10585:776:359
novelty	40607:10585:1818:359
musical	44643:10600:1818:284
season	46817:10705:1574:194
america.	49500:10630:1308:299 39609:11049:776:314
reserved	40962:11064:2239:299
seats	43512:11124:1131:239
available	45974:11094:2173:284
at	48436:11154:421:239
sprague	49167:11109:1995:344
for	39520:11544:709:284
$2	40629:11529:510:344
$1.50.	42758:11529:1375:344
brown	14748:27827:1663:269
grapplers	16788:27812:2594:359
down	19738:27827:1552:284
vale	18096:28322:1131:254
by	19582:28322:620:314
19	20603:28337:576:254
1-2-13	21601:28322:1685:269
1-2	23730:28322:776:269
score	24883:28322:1441:269
bisson,	14770:30031:1752:344
1929,	16943:30031:1175:344
was	21978:31560:931:194 14770:31095:909:179 18518:30136:931:194
able	19849:30031:975:299
to	24972:31035:443:239 21224:30091:465:239
draw	22066:30046:1241:284
with	24306:33839:1086:269 23707:30031:1086:299
cardon	19849:31455:1796:314 14748:30526:887:284 25238:30031:842:299
of	20270:32894:443:284 15945:30526:487:269 18207:36223:465:269 24461:34304:465:284 16677:32415:487:284 16433:32894:487:284
brown,	16766:30526:1796:329
in	18917:30511:443:284 23397:35728:487:284 25970:35248:421:284 19826:32415:421:269
the	16211:33374:754:284 19050:36223:709:269 19094:34799:731:269 15369:33839:975:284 24262:35728:754:284 17276:32894:754:284 19671:30526:731:284 14836:35758:731:284 17453:32415:731:284 20558:32430:731:269
115-pound	20758:30511:2506:344
class.	23597:30526:1286:269
this	25238:30511:1108:284
considered	16078:30975:2639:299
by	20137:35743:576:329 19094:30990:576:344
coach	20092:30990:1508:284
o'donnell	22022:30990:2528:284
be	25836:30990:510:284
encouraging,	14748:31455:3171:359
since	18296:31455:1197:299
an	19250:33464:554:179 23264:31560:554:194 25859:33914:532:194
intercollegiate	24173:31455:1951:299 14836:31935:1574:359
champion	16832:31935:2373:344
last	19627:31935:864:284
season.	20957:32025:1685:209
yale's	23486:31935:1530:299
forfeiture	25437:31935:709:284 14792:32430:1618:284
bout	18451:32415:1064:284
unlimited	21578:32415:2328:284
class	24173:32415:1175:284 16677:36223:1131:269
because	14770:32999:1308:179 25615:32415:487:284
illness	18407:32879:1485:299
d.	21113:32894:532:284
w.	24728:36208:731:284 22044:32894:731:284
smith,	23175:32879:1596:359
1930,	25193:32879:1153:359
*gsfve	14748:33374:1175:359
bruins	17298:33359:1641:299
additional	20137:33359:2417:299
six	22887:33359:709:284
points.	23907:33344:1596:359
vale	16810:33839:1131:284
freshmen	18407:33839:2439:284
ran	21334:33914:776:194
away	22554:33914:1286:254
