noted	1717:8258:2609:627
league	4684:8228:3033:642
secretary	8030:8197:4617:672
accepts	2542:9115:3479:627
howland	6357:9069:3992:672
medal	10706:9038:2721:672
sir	1762:10476:1003:443
arthur	3479:10461:2475:443
salter,	6647:10445:2230:489
k.	9658:10415:758:428
c.	11175:10415:736:428
b.	12669:10399:736:412
receives	2788:11164:3100:428
prize	6223:11134:1806:428
from	8387:11103:1918:428
j.	10684:11088:557:443
r.	11643:11072:780:428
angell	3769:11807:2409:519
last	6468:11807:1516:428
evening.	8320:11791:3122:489
speaks	2475:12999:2409:351
on	5264:12984:869:351
economic	6513:12954:3345:367
future	10238:12923:2520:382
famed	1784:13994:1784:290
financial	4104:13963:2431:290
reconstructionist	7115:13932:4661:305
says	12312:13917:1182:336
that	2475:14468:1271:290
it	4104:14468:379:275
remains	4840:14452:2275:275
for	7472:14437:780:275
educational	8610:14406:3145:305
institutions	12134:14406:1360:351
like	4751:14942:1159:275
yale	6334:14942:1159:275
to	7918:14988:490:214
teach	8855:14911:1606:290
economic	10863:14881:2609:305
influences	2520:15446:2654:259
on	5576:15538:624:168
peace.	6580:15431:1695:275
"over	2409:16410:1539:305
the	6535:35711:736:290 5241:23139:736:305 1918:31872:736:290 10974:27957:736:290 4795:22191:736:275 9390:45851:758:305 11420:23598:758:290 11063:32805:758:290 7160:17832:736:290 7070:26045:758:290 8877:45392:736:290 12937:37623:736:290 10952:26015:758:305 7383:42976:758:275 1851:23644:758:290 9524:22635:736:290 12781:20218:780:290 5464:19775:758:290 9993:16364:758:290 8097:33784:736:275 3970:22665:736:305 11309:25051:758:290 12959:41003:758:290 3814:32836:736:275 5665:21702:758:290 8520:31842:981:290 10015:28936:758:290 9747:33279:736:290 6334:25571:758:275 4238:16410:736:290 12959:44872:758:305 2007:44459:780:305 8409:30404:758:275 12937:40039:780:305
heads	5308:16395:1360:305
of	13138:28905:468:305 13026:16334:490:305 8632:22635:490:305 13138:30373:468:290 8431:34258:468:275 13071:19729:490:290 7918:22161:490:305 1962:34273:490:290 6580:32821:490:290 1962:33784:468:305 10193:26015:468:305 4483:34273:468:275 5420:25571:513:290 4929:19301:490:290 5018:21212:468:305 1918:28477:490:305 4974:31857:468:290 6981:16379:446:305 3256:25571:490:305 10840:21182:490:290 8208:21686:468:290 13182:34717:490:290
europe,	7762:16379:1940:351
sword	11086:16349:1628:305
damocles	1829:16884:2431:305
is	4215:37653:356:290 3725:41523:356:290 8766:35222:356:290 9212:20708:379:305 4528:16884:356:290 10349:32790:379:305
oscillating	5130:16869:2565:351
between	7940:16869:1985:290
pigs	10171:16854:981:351
and	8230:27957:892:305 8520:26993:892:290 11420:16838:847:290 11822:41003:869:290 4461:28966:869:275 7405:36201:869:275 8253:27498:869:290 9502:38602:847:290 6535:20249:869:290 10617:41492:869:305 7249:34258:869:290
pigiron!"	12535:16823:736:367 1851:17374:1516:290
declared	3680:17374:2074:290
sir	2520:29930:736:305 8253:23124:736:305 6067:17358:758:290
arthur	9279:23124:1762:290 7115:17358:1762:290 3635:29930:1762:290
salter,	9212:17343:1606:336
k.	11130:17328:579:275
c.	12022:17312:490:305
8.,	12848:17312:646:336
who	1829:17863:1026:290 11465:27468:1048:305
was	3278:17955:936:198
awarded	4639:17832:2141:305
howland	8364:17817:2275:305
memorial	11086:17802:2409:290
prize	7561:20723:1226:351 1851:18337:1360:305
by	10126:46340:602:351 1985:39596:602:351 6334:42991:579:336 3568:18337:579:351
president	4550:18322:2364:305
james	7316:18322:1516:336
rowland	9256:18306:2208:290
angell	11844:18276:1672:367
in	4840:21702:468:290 13071:18750:446:305 1851:18826:446:290 2475:25082:513:305 4015:22191:423:275 11755:19255:446:290 10483:48268:423:290 4461:24118:446:290 10662:38586:446:290
william	2654:18826:2052:290
l.	5063:18811:490:290
harkness	5955:18811:2409:275
hall	8743:18781:1115:305
last	10238:18781:847:290
night	11442:18765:1271:367
recognition	1851:21212:2832:382 1851:19301:2810:367
his	5665:19285:691:290
distinguished	6647:19270:3278:351
work	3145:44444:1316:305 10193:19255:1293:305
connection	12469:19331:803:214 1851:19775:1762:321
