'	32047:61580:337:299 32047:61580:337:299
"-•	52153:32490:607:179
"for	7286:32760:1034:314
"marriage	41448:29404:2833:404
"realistically,	39941:40893:3350:359
"resolved,	54829:49761:2721:359 57393:44488:2676:359
"the	8051:55873:1012:314
"trouble	57326:32475:1956:299
$4,000,000	5712:43904:3103:344
$571,000	3845:42002:2631:404
(a)	3350:39995:764:344 3328:36175:764:374
(b)	3328:37134:787:359
(he	11829:38047:1034:359
..repeatedly	63443:34018:719:224 52513:34377:2114:359
..tft..	9153:32355:922:284
.ready	57506:31441:1484:344
-.will,	50399:32265:1349:374
•	43112:61056:112:374
1.	2271:36190:337:284 44934:63947:382:284
1.d.,	61104:39021:877:359
1.w.,	61396:37583:1012:359
10.	31035:61595:652:284
100-yard	36613:24056:2136:344
11.	32834:57775:652:299
12	40976:63482:517:284
150--yard	26987:26468:1124:329 37782:25944:764:299
1890	8141:43440:1349:269
1890.	4767:50645:1214:284
1900,	46778:51499:1191:329
1919,	37850:61146:1214:359
1921-22	2946:33299:1889:299
1927,	7691:46286:1236:374
19275,	15720:58299:1619:359
1928,	47543:23697:1506:314 53907:60037:1214:359
1928.	61194:28086:1191:299
19285,	37197:24521:1551:359
1929	27324:63512:1079:299 4273:61131:1101:284 59282:58584:1079:299 9108:59722:1326:254
1929,	53862:61475:1236:359 58743:60966:1214:359
19295,	35443:55873:1596:344
1930,	29956:50630:1214:329 52670:58599:1214:359 52693:59078:1191:359 61284:32969:1191:359 55324:30483:1214:359
19305,	34139:50166:1619:359
1931.	17452:63063:1214:299
1931;	14528:62569:1326:359
2,	55279:50720:404:359
2.	2226:38092:404:299
20,--000,000	12369:51094:967:374 1731:51604:1844:359
200-yard	19858:58299:2248:344
2-1	63218:17945:742:299
220-yard	15090:63527:2203:359 16934:57820:2248:359
23	17586:54974:539:284
23-8	23659:50196:1214:269
24,000	10165:47754:1574:344
24.	52603:56577:674:299 55572:49282:697:299
25-5	21185:63033:1079:314
3.	2271:40010:382:284 45699:33733:404:269
34-28	14483:53521:1326:314
4:15	47723:52907:1101:314
440-yard	14483:60202:2203:344
5	29146:60157:247:299
50	34611:24056:517:299
50-yard	15090:62089:1889:359
7	28741:38302:292:269 53413:51184:269:314
7.	32610:42077:359:299
7:30.	40751:37568:1214:299
8	29079:27397:269:299 55729:46900:269:299
8,	30361:60172:382:344
8,--000	12931:48218:449:359 1731:48758:832:299
8.	19183:54959:382:299
8:15,	12009:16552:1259:329 36568:40189:1236:359
8:15.	31530:18844:1236:299 8478:11174:1934:419
9	29236:61595:269:284
9,311	12301:47260:1259:344 1731:43005:1484:329
a	13291:49282:292:194 11087:44953:292:194 2541:45956:292:194 23659:53132:269:194 24603:40174:269:209 21005:38302:269:194 15270:44473:269:209 20960:32595:269:194 28696:58359:292:179 29821:51664:292:194 32520:45028:269:209 32565:53566:269:194 35736:42182:269:194 35443:53102:269:209 29663:43605:247:194 2991:23862:269:209 10772:18110:269:194 5240:24326:292:194 11424:22843:292:209 34724:30318:292:194 39896:40054:269:194 49297:35156:472:299 45541:38122:269:194 42190:42916:247:179 39896:42421:292:209 50152:54929:269:209 42775:53506:269:194 48195:57341:247:194 63668:23218:427:284 62678:18050:269:194 54492:19023:269:179 59462:29614:269:209 53682:15683:269:194
a.	1754:63977:607:299 18104:50196:652:284 20668:54465:584:299 23951:35830:562:284 29866:50151:584:299 32430:24551:584:269 32452:55873:584:284 54829:62419:584:299
ability	8748:25629:1596:344
about	30158:44458:1371:299 45946:34183:1574:299
accommodate.	17519:42481:3553:299
accompanist	10232:21795:3081:359
acquire	19521:46271:1821:344
added	11109:43395:1799:299 21297:52562:1461:299
addressing	25435:33404:539:299 14393:33958:2091:344
admired	6881:28490:2069:314
admittance	23524:39141:2743:299
advantage	35173:44953:2586:359
affair	27032:29284:1394:299
affirmative	52603:45941:2946:299
afford	43382:54360:1551:299
after	21859:42481:1394:284 24918:53521:1349:284 32295:14110:1461:269 33374:18859:1371:284 43337:63947:1191:299 54087:56097:1191:299 7061:31846:1214:284
afternoon	42280:33733:2406:284 39919:44339:1214:194 50309:43739:1214:299 44079:52922:2428:299 44484:57221:2608:359
afternoon.	40886:55319:2586:314
against	31350:25494:1821:344 40346:25060:1911:329
age,	1484:24820:989:254
aggregation	34476:18364:3036:359
ago,	6611:53117:1034:269
aims	15562:39171:1146:314
alfred	61914:44488:1686:314
all	24806:43410:607:299 24108:45297:607:299 62363:28565:607:299
alma	4340:54450:1416:299
alpha	35016:62569:1551:359
already	60789:24161:1866:374
also	25300:58284:967:299 2631:52068:989:314 56539:43065:1214:284
alternate,	60452:61430:2361:344
alternate.	54312:59078:2383:299
alumnae	39919:38047:2271:299 45586:30348:2451:284
alumni	1709:41522:2563:359 9558:53491:1731:299
alumni's	9580:45807:2316:314
always	44147:59153:1731:359
ambition	1484:24236:2226:314
america	10165:14215:2338:284
american	16552:40114:2496:299
amherst	59035:53686:2226:314
among	27437:15563:1866:344 6971:47859:1709:254
amounting	4003:44878:2721:359
an	15765:35965:584:194 31170:20372:584:194 32767:27816:764:329 43697:36235:584:194 47813:25120:652:164 56651:54749:607:194 59777:35471:607:194 8073:20027:584:194 11087:24281:562:194
ancient	34296:38751:2181:284
and	17766:52113:922:284 18643:60217:899:284 17631:58314:899:284 14460:57341:877:314 19678:30587:989:284 20060:31531:989:299 25300:32460:922:284 22624:44369:922:299 29573:51109:899:284 38120:45432:899:299 36163:50181:922:284 36478:44009:899:299 31283:53476:877:284 29821:61595:877:284 27235:61116:899:299 3350:30438:877:299 3418:27577:922:299 3216:30932:922:284 5712:28520:899:284 11042:34213:877:284 36793:28805:922:299 35803:22648:899:284 32340:19338:899:284 29888:28341:899:284 26875:16986:854:284 37895:25015:854:284 28426:16507:877:284 28651:23622:877:269 26942:25045:899:284 39919:47125:854:284 48600:38512:922:284 49342:40893:922:284 41853:31336:989:269 42887:60591:899:299 41853:63482:899:284 46711:50525:989:299 5127:63512:877:284 52805:14155:967:284 57596:20836:877:284 53525:30003:922:284 54245:31441:899:284 61621:53686:899:314 60767:58584:899:299 55414:61475:899:299 62071:54165:922:299 60969:63333:899:284 52738:62434:899:299 56269:55618:922:284 8838:57775:899:314 11289:53985:877:299 4587:48263:877:284 3845:45372:922:299 1731:54944:877:299
and,	33014:47320:1034:344 59215:18454:1012:329
angell	20982:26828:4430:539
angell,	23074:33404:1844:374
angell.	17182:41073:1821:344
ann	41156:47110:1057:284
announced	5487:47275:2698:299
announced.	60429:43545:3305:284
announces	27280:63123:2563:194
annual	18036:33928:1686:299 29461:41133:1664:299 30945:27382:1686:299 7803:46780:1709:299
another	23074:52547:1934:314 54492:27607:2114:299
answer	5914:55963:1776:209
aphrodite.	3463:29943:2743:389
apparently	54739:29524:2721:344
appear	7758:18110:1686:269
appearance	5577:14260:3305:344
appeared	10255:26079:2271:374 4857:32804:2293:359
applicable	17452:44369:2518:359
archives—hans	9355:63512:4205:314
are	21657:40189:787:209 30653:25120:764:179 42168:61175:809:194 43719:60202:787:209 43967:45282:809:194 54852:55244:832:194
arena	54110:11069:2226:419 54357:19413:1574:269 52221:17975:1551:284 58315:24161:1574:314 52176:16072:1551:284
argued	54065:43065:2069:344
aria:	3238:38077:1439:299
armies	21072:41043:1664:299
arranged	27010:28820:2293:359
arrangements	48262:43320:3485:314
arthur	29686:63512:1799:299
as	14483:61700:494:224 36928:43620:517:209 28764:51559:674:299 34476:47409:517:209 42617:56382:494:179 4655:20521:494:194 8928:27157:494:194 11739:35261:517:209 54492:24266:494:194 61441:36534:494:194 59215:34003:517:209 7241:60741:494:209
asosciation,	1731:47290:3103:344
assist	5599:14739:1596:269
assisted	8073:21345:1956:314
associate	55706:62868:2428:314
association	42190:33239:2923:314 48397:30333:3148:284
association,	15697:34902:3081:344 52693:60516:1821:359 63016:59992:1169:299
at	10210:24236:472:239 9940:29015:494:239 11087:16627:449:239 12909:26124:472:239 14393:35456:494:239 21972:25390:539:239 27842:38332:539:224 32047:57835:472:239 34634:57356:494:254 27729:55378:674:299 38524:58314:472:254 33082:29794:472:254 28179:27457:494:239 30788:18904:472:239 34724:48308:494:254 31822:42137:472:239 35646:40234:494:254 46058:63497:472:254 46868:52967:494:254 40009:63048:472:254 48150:38062:472:254 43697:36654:494:254 44956:33763:472:239 45451:33299:472:239 39896:37628:449:239 54964:46945:472:254 52603:51244:472:254 60294:47409:494:254 57191:57670:472:254 55099:13256:517:224 56044:23263:472:239 58900:17540:472:239 58180:43125:539:224 7376:11249:674:359
athletic	32452:15533:1866:284
attempt	48690:25045:2069:284
attend	18306:45792:1551:299
attendance	46688:33718:2878:269
attendant	14505:43919:2361:299
audience	16709:35860:2159:314 46396:54360:2181:284
audience,	52760:63962:1214:224 63241:63303:1034:314
auspices	7736:18499:2069:359
auspitzer.	4250:25659:2631:359
austrian	1506:23293:2248:299
avenge	41223:25719:1911:224
awarded.	54784:52158:2293:284
b.	15068:55438:494:299 7489:62539:517:314
bach-kreisler	9917:37074:3620:314
back	28494:26453:1169:284 29663:22663:1191:284
barbara	49657:44234:2091:284 48397:45177:2069:299
basketball	29686:32130:5442:644 31440:41133:2541:299
bates	54155:54659:1394:299
battle	30968:37808:1574:284
be	10817:35171:562:314 2248:18544:562:299 7241:15668:562:284 6499:22334:562:284 7039:21360:539:299 30271:20282:517:299 29933:27876:562:284 33891:30228:562:284 30203:29284:562:299 38232:21690:517:299 34859:16013:539:284 33824:48263:562:299 28719:44923:562:299 36140:58269:584:299 32182:60172:539:299 27190:55858:517:299 32969:58734:562:299 37108:13631:652:269 41133:36624:562:299 48195:39455:584:299 46261:39935:539:299 51074:33688:562:284 45361:34692:562:299 39806:32804:517:284 46486:53881:562:299 48420:62494:539:299 52963:43065:652:269 53997:60996:562:299 56921:51184:562:314 53952:48802:517:314 53907:49761:562:299 61329:44983:562:299 55594:58120:584:284 61171:61909:562:284 53885:52158:562:284 62229:62359:562:314 55976:30003:539:284 60564:36429:539:299 56719:31441:562:299 58675:18919:539:284 57056:15578:539:299
beaten	28494:24071:1619:299
because	38232:44968:539:284 27190:45492:1371:194 7938:51109:1934:299
been	11897:13256:1281:269 22197:34872:1124:299 2608:28535:1124:299 1484:23787:1124:284 37737:28326:1101:284 26942:24086:1124:299 43112:44234:1124:299 44372:41837:1124:314 46193:59153:1124:284 54987:26648:1124:299 54807:28565:1124:299 59890:14140:1304:284
before	25458:35336:517:284 14393:35875:1012:299 6499:28041:1596:284
began	7579:24686:1484:359
beginning	61914:50705:2496:374
being	10615:25614:1349:359 22624:46256:1349:359
bement	39964:44728:1911:284
bement,	50849:45177:584:299 39941:45717:1349:314
—benjamin	4880:63018:3103:359
berlin,	11694:30363:1731:359
beta	10435:60172:1146:299 3620:59708:1169:269
between	18374:51619:2046:299 19498:31082:2271:269 35128:16477:2046:299 30158:30707:2069:299
blue	17114:52577:1169:284 27190:40654:1146:299 27842:38766:1191:269 33239:16956:1146:284 51996:7534:2001:644 60070:20836:1124:284
boericke,	43472:45657:2361:359
bon."	10097:38047:1326:299
born	7129:22798:1169:284
boston	56291:24161:1776:314 62206:15563:1731:284 60429:10380:2518:419
boston,	52311:22259:1889:344
boston.	15270:35336:1956:389
both	29484:45867:1124:299 37917:43530:1101:299 31822:25015:1101:284 52288:20851:1214:269
box	40031:63962:1057:284
