rowell	1950:29668:1773:282
criticizes	4055:29668:2482:297
last	6803:29668:1152:297
number	7003:30144:2149:282
of	9485:30144:487:282
vale	10283:30144:1174:282
record	11746:30129:1883:297
there	1972:31868:1285:297
are	3634:31972:753:193
a	10372:32433:288:208 4764:31972:288:193 13430:34796:265:208
lot	5429:31868:664:297
of	4033:34231:509:312 6449:31868:509:297
contacts	7313:31927:2061:237
to	13231:35703:465:252 9751:31927:465:237
be	10593:31868:531:297
made	11502:31868:1329:297
in	9020:33280:465:297 13186:31868:465:297
the	1994:32329:753:312 6227:36149:797:297 12942:34231:753:297 5474:33295:753:282 5407:36609:753:312
air	3058:32329:709:312 10216:35182:664:297
rifle	4100:32329:1041:327
business	5452:32329:2061:312
if	7823:32343:376:297
one	8510:32447:842:193 10660:34335:864:208
is	10416:33755:376:297 5319:33755:376:297 9685:32329:376:312
good	10992:32329:1196:371
shot.	12499:32329:1130:312
and,	1994:32819:1196:297
jmagine-jsraat	3257:32819:3878:341
.wiih-ihejdaisjl.cai-ihfi	7313:32819:6382:356
market	1994:33295:1795:282
and	4188:33295:886:282
marines	6626:33280:1972:297
nicaragua	9884:33280:2659:371
ttie	12942:33235:753:341
competition	1994:33755:2925:371
pretty	6072:33815:1507:312
hot,	7934:33755:952:356
but	9263:33755:797:297
that	11192:33755:997:297
your	12544:33860:1152:252
"world	2038:34231:1728:312
reality?"	4831:34231:2238:356
again,	7668:34231:1662:371
"if	9662:34231:709:297
has	11812:34231:820:297
slightest	2016:34707:2105:356
mental	4499:34707:1662:312
equipment,	6537:34707:2703:371
he	9618:34707:554:297
can	10549:34796:842:208
make	11746:34707:1329:297
living	2016:35182:1440:356
at	3789:35227:465:252 9374:35703:487:252
it."	4631:35197:731:282
(teaching	6094:35197:2637:341
not	9064:35227:820:252
rifles	11236:35182:1285:297
understood).	2038:35658:2593:371 12876:35286:554:178
well,	5252:35658:1396:371
sir,	7025:35658:753:371
you	8133:35762:908:267
least	10194:35658:1152:297
seem	11701:35762:1196:193
have	2016:36134:1152:297
answered	3523:36149:2349:282
old	7358:36134:775:297
perplexing	8466:36134:2703:371
question,	11502:36119:2194:371
"what's	2061:36594:2061:312
all	4476:36609:598:312
shooting	6471:36609:2149:356
for?"	8909:36609:1351:312
the	14339:8383:731:267 23625:8814:731:297 25198:7402:753:267 18129:4102:975:282 17087:7417:753:297 17885:5038:975:297 18129:7892:753:282 20899:6926:753:297 19547:9795:775:282 21630:4563:731:282 20633:5990:753:282 25154:3121:753:282 15558:4578:753:297 14317:6956:997:297 14826:2199:975:297
next	16156:2244:1108:252
point	17597:2184:1263:371
of	19192:2184:465:297 16932:8368:509:282 20456:8353:487:297
interest	20012:2184:1861:297
is	17707:6941:354:297 23980:6926:376:282 22184:2184:376:297 22029:4087:376:282 16378:7417:354:297 15979:7892:376:297 20544:5038:354:282
a	22894:2274:265:193 25686:9379:265:193
delightful	23514:2170:2349:356
satirical	14294:2675:1994:297
cartoon	15558:7000:1861:237 16621:2720:1883:237
by	18838:2660:554:356
max.	19769:2660:1285:297
it	21697:2660:421:297
pictures	22450:2660:1950:356
corporation,	14294:3151:2194:356 24777:2645:842:297
faculty	16843:3151:1883:341 16843:4563:1905:356
and	19104:3151:864:282 14317:7431:864:282 14317:9319:864:297
president	19436:4087:2260:356 20323:3136:2371:297
driving	23027:3121:1817:356
educational	14294:3626:2792:297
system,	17530:3656:1817:312
decrepid,	19791:3611:2216:356
but	19591:5529:797:282 22428:3611:820:282
evidently	23647:3597:2260:341
still	14317:4102:864:282
moving.	15536:4102:1972:356
non-committal,	22716:4057:2903:312 14317:4578:731:356
intense,	19259:4563:1839:341
corporation	22894:4548:3014:341
suspicious.	14317:5053:2615:356
title	19215:5038:975:297
"we	21253:5038:1152:282
don't	23027:5024:1218:297
know	24578:5024:1329:282
where	14317:5529:1484:297
we're	16156:5529:1351:282 20699:5514:1351:282
going	17863:5514:1374:356
on	22406:5603:576:178 19348:7506:576:193 14893:6480:753:282
our	23337:5603:820:178
way."	24489:5484:1418:356
to	14317:6019:687:267
buy	15314:6005:886:341
air	16533:6005:664:282
rifles	17530:5990:1263:282
from	19104:5990:1218:282
alumni	21697:5975:1861:297
perhaps.	23869:5975:2038:356
page	15934:6569:1130:267
353,	17397:6450:930:371
d.	18683:6465:554:297
t.	19591:6465:509:282
ward	20456:6450:1462:312
has	22184:6450:820:297
done	23315:6450:1152:282
well.	24777:6436:1130:297
delicious,	18350:6926:2260:356
caption	21918:6926:1773:341
good,	24622:6926:1307:341
so	15536:7521:487:193
one	18173:7506:820:193 14317:8948:842:193
357.	20256:7402:930:297
throughout	21830:7402:3014:341
drool	14317:7907:1263:282
fair,	16732:7892:1019:341
verse	19237:7981:1307:193
mediocre.	20921:7877:2349:282
ah,	23957:7863:886:341
for	25221:7863:731:297
days	15447:8383:1085:341
bronson,	17840:8368:2216:327
jaffray,	21298:8353:1972:356
when	23647:8338:1329:297
no	25354:8427:598:193
cared	15469:8844:1329:297
whether	17131:8844:2016:297
professors	19480:8829:2548:356
told	22362:8814:930:297
truth	24711:8814:1218:282
an	15580:9408:576:208
imaginary	16555:9304:2548:356
pretty	19503:9349:1484:312
girl	21409:9304:864:341
would	22694:9289:1507:297
set	24622:9334:687:237
ballade	14339:9795:1706:297
bubbling	16356:9795:2149:341
in	18816:9780:443:282
heeler's	20611:9780:1861:282
head.	22783:9780:1263:267
ehen	24644:9765:1307:282
fugaces.	14339:10270:1950:341
pennsylvania	14317:11400:3523:356
to	18151:11445:509:237
oppose	19015:11400:1972:341
university	19436:11876:2748:312
boxers	22517:11861:1795:282
here	24667:11846:1285:282
in	14317:18817:465:282 15713:14536:443:282 20345:17851:465:297 22894:14061:443:282 14317:13585:443:297
