"	37695:21791:490:80 37695:21791:490:80
"an	52195:6632:1135:403
"but	22008:9252:1522:423
"even	54079:8668:1831:403
"filling	14887:6611:2296:544
"i	19376:16126:645:443 19325:7922:645:423
"it's	34315:10663:1444:423
"just	36921:13344:1599:544
"our	48893:14675:1573:423
"poverty	23066:27818:2863:544
"the	48867:7962:1573:403
"this	4592:11308:1754:423
$15.95	19118:22980:2218:503
(203)	35450:56302:2760:624 35450:56302:2760:624
(are	58904:22073:1341:383
(spurney's)	7662:7277:3741:544
\	57330:40478:1651:1915 57330:40478:1651:1915
■	13623:47916:6114:3285 13623:47916:6114:3285
'•dk	46751:40780:3586:1612 46751:40780:3586:1612
14,	21079:56403:1444:604 21079:56403:1444:604
1985	23014:56383:2631:544 23014:56383:2631:544
1-april	17364:56423:3250:665 17364:56423:3250:665
787-4282	38624:56262:5315:584 38624:56262:5315:584
a	21982:18586:1367:1189 27968:9373:335:302 21105:14110:335:302 33747:22617:335:322 40146:30741:361:322 26394:30660:361:302 40275:25379:335:322 3870:14110:335:322 3870:13445:335:302 4541:8607:490:403 13184:9434:361:302 3844:14796:361:322 44455:6793:361:322 46442:9534:361:302 43010:15562:361:302 53718:11449:361:302 55214:12780:335:322 52066:12780:335:302 59858:25520:361:302 55266:20803:309:302 43397:24028:464:403 49899:22133:361:302 57459:30862:361:322 54904:26851:335:302 9933:24431:361:302 5960:25097:361:302 8101:33241:361:302 21131:24492:361:322 16873:25137:335:322 11894:25117:361:322 9804:27153:361:302 21079:31225:361:322 6347:27798:361:322 14035:30560:361:302
about	17596:27717:1806:443 27478:16126:1780:443 54698:26044:1754:443
absolute	34444:32596:2683:443
accentuated	51447:31406:3947:463
accident,	45771:24008:2889:524
added,	51524:8627:2089:483
adding	41127:12699:2193:564 8591:11974:2193:564
after	19299:11953:1702:423
aged	34083:18102:5779:2056
alienated	44558:32092:2992:423
all	29697:16126:774:423
also	5418:15340:1290:443
although	34212:14675:2915:564 37747:28584:2889:544 48815:9958:2863:544
am."	20847:11268:1651:443
ambiguity.	46338:28725:3431:544
an	19583:27838:748:322 43707:11510:748:302
and	10449:24996:1186:423 16822:22194:1264:463 14809:31104:1186:423 12848:8627:1161:423 30729:10583:1186:423 18654:9917:1161:443 25826:10583:1186:443 18628:6571:1264:423 18654:12619:1186:443 36173:31285:1161:423 29929:26508:1186:443 32896:32596:1186:423 27916:25157:1161:423 23092:21730:1186:383 29335:29189:1186:443 39527:23222:1161:423 41875:13385:1161:443 52247:30076:1161:443 50596:29532:1186:423 48815:28060:1135:423 44532:30741:1186:423 54285:32757:1161:443 59058:28060:1186:443 45152:25359:1161:443 58955:14675:1161:443
and,	35863:9978:1367:524
angelli	51834:24048:2270:524
angelli,	47087:22012:2451:503
answers	18035:29209:2683:322
apartment,	30755:27234:3586:503
arrested	3766:31084:2734:443
artistic	13777:61180:1986:302 13777:61180:1986:302
arvih	13777:60676:1573:322 13777:60676:1573:322
as	16461:13465:696:322 45513:9514:696:302
at	44997:12780:619:403 54363:12679:619:423 50725:10683:619:383
atypical	57639:31426:2580:544
auditioned	12771:13344:3405:443 24485:9917:3405:443 33618:9293:3354:443
auditioned.	15558:11994:1315:443 3870:12639:2167:443
auerswald	51937:15340:3405:443
back	24769:27153:1522:443
bail	12487:32434:1212:443
band	43758:9373:1522:423 41617:14735:1548:443
band,	27942:7881:1754:544
band.	58491:14010:1702:443
bars	23014:27133:1444:443 49770:30741:1367:443
be	43449:6652:722:443 53743:14010:722:423
because	38082:10663:2580:443
become	29955:21750:2451:423
becoming	37566:24552:3096:564
been	13261:14010:1496:443 5934:10623:1496:443 29877:23141:1470:443
before.	7585:14675:2218:443
behind	15016:14010:2167:443
bennett	18654:9293:1212:403 30471:8587:1109:403 30445:6591:1083:403 18680:13324:2502:423 18628:7277:1238:403 37643:7982:2476:443 42520:16126:2502:423 36740:12679:2476:443 6992:14010:2502:443 14629:14715:2554:423
bennett,	14422:12679:2734:524
best	47706:33422:1264:443
betrayal	42726:33422:2709:544
better	57201:6632:1909:423
beyond	22988:31850:2296:544
bigot,	3844:24935:1806:564
blind,	35425:29229:1806:524
blue	19866:20601:1573:463 55653:30781:1419:403
blue.	18602:26407:1599:423
blue':	13339:18041:7301:1733
bmbmbdllilliil	13623:57209:30342:2922 13623:57209:30342:2922
book.	19299:29753:1651:463
books	56117:16550:5392:1149
brings	31348:26508:2064:564
broken	24201:26467:2218:443
brown	15583:60676:1986:322 15583:60676:1986:322
brutal,	26936:29189:2167:524
built	50879:11308:1393:423
but	15583:25016:1006:443 3870:9938:1032:443 54879:21367:1109:403
by	13726:6611:748:544 26420:55234:1161:665 26420:55234:1161:665 33644:30580:748:544 33283:31910:748:544 45023:3668:4153:2761 57330:32092:748:544 55601:31406:722:564 8204:23686:1032:362
byrnes	23066:23081:2270:544 25181:23786:2270:524 30290:25843:2322:544 22859:30519:2296:544
byrnes'	25930:28524:2476:524 4412:30419:2476:544
byrnes	50054:24714:2270:524 6708:24311:2296:524
calculates	29464:24512:3276:443
call	27942:56342:1780:544 27942:56342:1780:544
calls	17777:31104:1496:443 37876:27254:1522:423
came	38727:13485:1754:322
career	19350:15259:3921:503
career.	24536:14090:2322:322
catalyst	46003:24694:2554:544
center	3844:26347:2064:403
ceremonial	33154:25218:3612:423
character	28742:28524:3147:443 3844:25641:3199:443
character,	51989:29532:3354:483
character.	13752:16066:3379:423
chauvinist,	6605:24976:3560:524
chief	15506:31789:1702:423
chief,	28303:25843:1754:524
childhood	3766:31749:3096:463
childhood,	48119:27395:3250:524
childhood:	22963:32535:3379:443
chosen,	7379:8607:2399:524
circumstances;	34754:30600:4979:524
city,	30393:12619:1496:524
city.	17596:24371:1470:524
claim	59523:12679:1754:443
classical	10552:15360:2812:443 33618:7257:2812:443
clubs	30264:11933:1651:443
code	51834:7962:1548:423
code's	11378:16046:2115:443 59239:13344:2089:443
commissioner	23040:25117:4541:463
