theater	55965:2228:7381:1208
'little	2734:4020:10498:2312
shop':	14162:4020:9159:2874
secret	27121:4374:10334:1978
life	38413:4062:5741:2833
of	45221:4103:4265:2791
plants	50497:4062:11318:2833
by	4784:7478:1066:374
elisabeth	6151:7478:4538:395
malkin	10908:7499:3171:374
audrey	3089:8103:2515:562 13970:27038:2542:499
ii	5850:8124:546:437
is	3909:30476:519:437 5085:27663:519:437 6643:8124:519:437 15939:11727:519:458
a	12193:29184:410:312 8530:20893:328:312 7409:8249:355:312 15884:27788:355:312
"strange	8065:8124:3007:562
and	5659:29038:1230:458 5331:23539:1367:437 2487:17269:1285:437 12357:11727:1257:458 11264:8145:1257:437 12685:24247:1257:437 2487:19373:1285:437
interesting	12740:8145:3663:541
plant"	2351:8790:2241:562
whose	5358:8811:2159:458
ambitions	8229:8832:3444:458
extend	12385:8832:2296:458
far	15392:8832:984:458
beyond	2351:9478:2460:562
the	7217:26330:1038:437 5440:9519:1066:437 11236:12436:1066:437 9514:24934:1066:437 6862:12415:1066:458 14107:31184:1066:437 3690:29746:1066:437 9405:20102:1038:437
flowershop	7135:9519:3745:562
on	11482:9665:765:312
skid	12850:9540:1449:458
row	14927:9540:1449:437
where	2351:10207:2105:437
its	8174:18706:792:437 4757:10207:765:437
destitute	5796:10207:3034:458
breeder,	9104:10228:2843:499
seymour,	12248:10228:3226:562 9569:22872:3253:541 2487:13811:3253:541
first	2460:10998:1394:458
nurtures	4292:11061:2898:395
it.	7627:11040:656:437 9869:13123:792:479
this	8721:11040:1449:437
concocted	15091:11165:1066:312 2460:11727:2214:437
probably	5003:11727:3034:562
from	8366:11727:1667:458
foam	10334:11727:1667:458
wire,	13916:11727:1667:541
unarguably	2487:12415:3909:562
star	8393:12477:1339:395
of	15857:24247:656:458 7518:20768:656:458 12439:26330:628:458 2487:18706:738:499 10170:12436:628:437 8530:21476:656:437
show.	12740:12436:1859:437
"no	15173:12457:1339:416
shit,	2487:13102:1613:499
sherlock,"	4893:13102:4155:562
sneers,	11100:13248:2706:395
when	5714:27018:1913:437 14572:13144:1913:437
in	4401:20789:601:416 6042:13811:601:458 15884:15935:601:416 6042:26330:628:437
wide-eyed,	6917:13811:3608:562
looselimbed	10799:13811:4101:458
horror	2487:14623:1066:333 15146:13831:1038:437
guesses	4237:14602:2679:458
his	15365:23560:1120:437 7627:14519:929:437 13615:26330:956:458
carnivorous	9268:14519:4183:437
plant's	5003:29746:2323:562 14135:14519:2351:562
global	2487:15185:2105:562
plan.	4866:15206:1667:541
presented	3198:15894:3499:437
by	7135:15915:792:541 12986:31184:792:562
ezra	8393:15935:1613:416
stiles	10471:15915:1831:437
dramat	12740:15935:2706:416
collaboration	2487:16581:4538:458
with	6507:18706:1449:437 7710:16602:1421:437
berkeley,	9787:16602:3253:562
calhoun	13752:16602:2761:458
branford	4511:17289:3144:437
dramats	8393:17310:3062:437
as	12166:17414:738:333 8612:22976:710:312 14681:25768:738:312 15748:17435:738:312
well	13642:17310:1367:437
