eowgy°	3534:2848:14512:2549
ewsrytody's	20230:2887:23307:2562
uteomxin	45512:2978:17319:2028
to	22454:6749:1393:598 26675:41513:602:312 19523:38925:894:494 12433:9585:644:312 43121:23410:686:351 19544:52854:602:312 22849:25855:582:286 16321:45948:623:312 17298:51345:561:299 17132:8908:665:338 41000:34269:540:286 6715:50110:623:299 10749:47262:602:312 14283:10300:623:312 46344:24099:706:338 41998:20626:686:338 39337:10339:665:338 23681:17934:602:299 9522:24060:602:312
members	24388:6749:5364:624 41915:34204:2931:351
of	30937:53452:706:377 20770:49967:706:364 10936:25087:748:468 41479:8180:852:520 29731:34763:686:351 17776:52802:706:364 44286:24073:790:364 10936:8102:852:520 32746:33619:686:364 16279:41487:727:377 30376:6736:1185:624 23827:10248:852:533 8067:41487:706:364 15510:47171:706:377 48714:9572:831:533 20105:49330:706:377 16092:48718:727:390 40959:22681:769:377 8919:54142:727:390 12059:10183:852:533 13784:54090:706:390
the	13472:41500:977:364 30522:45831:997:390 22849:46507:1289:377 7048:45909:1289:377 26696:16413:997:377 17818:53426:977:364 35761:20574:1060:377 21082:49330:977:377 17111:48718:977:377 13244:25724:977:364 56469:10326:1081:429 24513:40811:977:377 27631:41435:997:377 20063:45857:1018:377 19398:24047:977:364 9480:42138:1268:364 23598:50630:977:364 7651:50682:1018:364 5343:42762:997:390 5343:44973:956:390 33890:24047:1081:377 8087:38912:1517:520 21248:16400:1039:390 5322:40187:1289:377 13368:51306:977:390 21768:49967:956:390 23598:18493:997:377 8690:22174:977:364 10167:44361:1268:364 35345:55351:956:325 30667:33073:1247:338 26363:8856:1081:416 31998:6736:1704:611 29648:24047:1081:377 18234:51267:997:364 5322:52880:997:390 20396:19118:1018:377 20500:52802:977:364 30729:34763:935:351 7692:50032:997:377
yale	33703:33619:1309:364 34285:6736:2287:624 31395:10222:1538:416 32019:34750:1330:351
community	37175:6762:6798:780 33703:34750:3825:468
squandering	5717:8076:4844:546
electricity	37029:44374:8690:429 11996:8102:3680:546
has	37279:33060:1039:351 16009:8115:1289:416
become	17652:8128:2848:429
a	32559:22057:395:273 34929:22772:374:273 10645:40304:332:260 18151:8960:436:286 14782:54207:332:260 14616:53582:332:260 6923:43698:540:377 12932:17921:332:247 34617:8167:561:390 20853:8284:457:273 7089:52243:561:364 15115:52945:332:260 10873:21537:332:208 51978:13629:665:507 41624:33177:332:247
significant	21706:8154:3971:533
problem	25947:8219:3118:481 6653:44986:2786:507 21415:45870:2765:468
here	29420:8141:1663:429
at	30334:10326:748:312 32954:24073:644:351 31457:8232:727:312
yale.	32621:8141:1538:403
full	35428:8154:1393:520
10	37216:8167:831:429
percent	38256:8271:2869:429
our	35491:24853:1226:273 18691:10365:1351:273 42539:8310:1309:286
projected	44119:8180:3513:533
electrical	42206:22681:3201:377 47986:8180:3430:416 48818:10274:3430:429 23078:9546:3513:429 24866:10248:3513:429 29607:21251:3264:377
costs	51770:8310:1746:312
for	25656:25777:1081:494 7692:13941:1559:559 16383:40174:935:390 53746:8232:1205:520 6694:8765:1309:546 14990:9494:1205:546
1984-85	55326:8245:2952:429
will	11851:45909:1226:377 18088:17830:1268:377 20209:18480:1247:377 58652:8245:1372:416 51271:8882:1309:429 28754:47158:1289:351
be	60378:8245:852:416 22475:41474:748:377 41042:34763:706:364 52914:8895:831:429 27486:53439:748:377
spent	4490:8869:1995:442
pure	8254:8895:1767:416
waste,	10395:8882:2224:377
according	7110:47197:3285:481 13057:8804:3659:533
recent	19024:8934:2287:312
estimate	21685:8869:3097:403
by	29731:35323:727:468 25157:8856:852:546 34285:55364:706:403
university	36634:55351:3347:455 27902:8856:3784:507
energy	40356:55403:2287:390 52623:10430:2432:403 35366:33632:2307:455 32268:33073:2287:442 35262:24047:2536:494 17298:41591:2266:377 32060:8830:2578:533
office.	21540:51254:2058:390 35075:8843:2328:533 43017:55416:2141:325 24638:52802:2058:390
that	35283:23357:1413:390 38006:8869:1600:403
means	40002:8999:2328:286
more	42726:8999:1871:286
than	44972:8869:1600:416
$1,250,000	46988:8843:3929:507
diverted	54120:8921:3014:429
from	33017:24749:1767:377 57322:8947:1850:520
academic	4470:9455:3721:442 29752:34178:3035:377
programs	8462:9598:3596:416
pay	13389:9624:1393:403
lights	56573:14657:2328:585 16529:9507:2016:533
and	18587:17037:1205:377 18275:43672:1164:377 43412:25464:1309:377 18608:18480:1205:364 8566:51332:1185:364 33308:10222:1413:416 37903:34763:1122:351 27860:48692:1185:390 16882:14032:1829:533 52415:15398:1580:455 18920:9546:1455:403 10853:52867:1164:377
other	45159:25464:1933:377 20687:9546:2037:416
devices	26925:9546:2661:429
left	29981:9533:1205:533
operating	31540:9546:3534:520
needlessly.	35449:9546:3908:546
research	39857:9559:3389:416
facilities	43495:9559:3305:546
are	27819:49460:997:260 28006:46611:997:273 39587:23488:1101:273 47155:9715:1164:273 36489:34308:997:234 21477:21706:1018:260
particular	49650:9585:3804:533
concern	53787:9754:2910:286
in	55409:10326:665:416 38713:33073:540:338 57114:9650:644:403 28588:49980:665:364 23889:19131:602:377
this	23536:55390:1393:325 58153:9637:1351:416 27132:52802:1476:377
regard.	4490:10157:2598:533
i	60690:25555:124:325 60690:22785:103:325 49858:20704:124:325 50107:33047:124:325 7630:10170:415:416 32684:26128:187:377 60690:23566:124:325 34056:46546:103:299 49775:17882:124:351 49899:23436:145:338 60669:33112:124:325 60690:23188:124:312 49962:25477:124:325 60690:25139:124:338 34118:46885:103:325 49837:20301:103:156 59443:46806:166:442 49920:24268:124:312 60690:19222:103:312 50128:34243:103:325 60690:20028:103:312 14658:25724:103:104 49816:18936:124:507 10977:25711:124:117
ask	8337:10157:1289:429
each	9959:10183:1704:416 22018:52191:1476:364 42414:24073:1580:377
us	13119:10326:769:286 45304:24190:769:260
examine	15323:10222:2993:403
patterns	20271:10326:3160:429
use	28733:10378:1185:286 16196:11041:1205:286 14824:41604:1081:260
personally	34971:10261:3991:520
work	40418:10261:1808:416 6694:52867:1704:390 17173:50630:1684:377
toward	42601:10261:2557:429
utilizing	45512:10274:2910:533
most	57925:10417:1767:338
efficient	4470:10833:3035:559
way	7942:10989:1496:403
possible.	9709:10885:3222:520 19544:46494:2890:494
please	13431:10898:2391:416
only	17797:10911:1621:533
what	18130:42124:1580:377 19814:10924:1746:416
you	55056:16295:1517:429 19918:21693:1164:377 21914:11067:1351:403
really	23660:10937:2120:546
need.	26134:10937:1892:429
y@iui	51459:12511:2224:663
„	54058:13486:207:130
eamm	54265:12693:3950:507
®	58278:12693:706:507 55367:20093:353:195 59775:12706:686:494 55347:23292:395:234
k	59068:12550:686:650
hints	4449:13967:2723:533
keeping	9730:13967:4095:702
safe	14304:13993:2079:546
warm	19273:14032:3139:546
a.	37258:14072:852:403
bartlett	38609:14059:2744:416
giamacti	41749:14059:3222:416
