14	28637:52852:1162:559
americans:	30214:52852:7283:638
directions	25442:53620:7034:585
of	32933:53646:1597:572 38142:54792:705:351
the	34946:53698:2303:559
1970s	37747:53724:2967:559
a	24404:54792:394:273
feature-length	25234:54688:5250:455
film	30941:54688:1348:377
smorgasbord	32746:54766:4959:442
artists	39283:54792:2344:364
reveals	24404:55378:2635:390
their	27309:55378:1722:364
post-minimal	29281:55404:4835:429
concerns:	34427:55521:3652:325
personal	38412:55495:3175:442
obsession,	24362:56081:4025:429
anti-social	28866:56081:3859:390
hostility,	33203:56120:3175:481
architecture,	36834:56185:4731:455
semiotics,	24362:56784:4025:429
phenomenology,	29343:56784:6453:520
music,	36772:56875:2510:442
and	40196:56889:1369:364
psychology.	24342:57487:4565:468
with	29779:57487:2033:364
vito	32705:57501:1494:377
acconci,	35029:57540:3299:481
laurie	39242:57579:2344:377
anderson,	24321:58191:3797:429
alice	28534:58165:1888:377
aycock,	30796:58178:2926:468
scott	34157:58217:1929:390
burton,	36544:58243:2656:468
peter	39677:58282:1909:364
campus,	24321:58894:3258:455
chuck	27890:58868:2365:377
close,	30526:58881:2303:455
nancy	33161:58907:2344:481
graves,	35776:58933:2780:468
joseph	38847:58959:2677:468
kosuth,	24342:59597:2801:442
gordon	27994:59571:2739:377
matta-clark,	31605:59584:4523:481
mary	37000:59636:1784:468
miss,	39594:59662:1909:455
elizabeth	24342:60287:3735:390
murray,	29032:60274:2988:468
dennis	32954:60300:2760:377
oppenheim,	36606:60326:4876:494
dorothea	24300:61016:3444:390
rockburne,	28119:60977:4171:455
joel	32663:61003:1494:377
shapiro.	34531:61016:3050:468
art	26396:61967:1099:364
gallery	27828:61928:2656:481
lecture	30858:61941:2760:390
hall,	34012:61954:1639:455
7:00	36004:61980:1452:377
p.m.	37789:62071:1556:390
thursday,	25587:62644:3693:481
january	29613:62644:2988:481
17,	32933:62657:996:442
admission	34303:62670:3839:390
free.	38495:62696:1618:377
parsons	45343:35104:6972:1106 45322:56550:2241:312 53353:58607:2012:273
school	45322:36250:6246:1145 47771:56537:1867:325
#	51734:37500:311:195
of	49867:56537:518:312 56134:53881:539:338 47127:57006:456:299 45364:37513:2137:1119
design	47708:52422:2012:416 47916:37500:6702:1471 50635:56537:1909:390
special	47833:56993:2012:390 56922:53881:2178:429 45467:39219:3880:872 55594:58594:1805:351
summer	49763:39232:4835:664
programs	50116:56993:2739:390 49244:50508:2926:338 55013:39297:5208:833
france	45301:41328:4586:807
italy	45322:42761:3071:1106
japan	45052:44297:4254:1067
west	45094:45821:3382:807
africa	48850:45769:4254:859
placid	48933:47227:4254:872
new	45322:57930:1224:312 45280:48789:3299:820
york	48933:48724:3278:846
city	52627:48698:2905:1119 45280:60990:933:351
international	45322:50430:3631:338
offer	52398:50417:1328:338
courses	53955:50495:2386:260
including	56611:50417:2718:416
painting,	45301:50938:2552:416
drawing,	48124:50938:2614:403
printmaking,	51029:50925:3714:416
fashion,	55013:50912:2324:364
graphic	57628:50925:2324:416
.	60180:50912:41:442
design,	45280:51433:2178:416
photography,	47771:51420:4046:429
decorative	52087:51407:3175:351
arts,	55491:51433:1224:338
architectural	45280:51941:1245:325 56985:51420:2324:325
history,	50199:51927:2095:403 46816:51927:2116:416
art	49182:51954:767:312
ceramics,	52564:51914:2905:364
fibers,	55719:51901:1826:377
metals,	57815:51914:2137:377
surface	45280:52422:2199:338
and	47210:52917:1099:338 49991:52422:1120:325
papermaking.	51382:52396:4171:429
undergraduate	55885:52396:2780:429 45280:52930:1680:325
graduate	48601:52917:2697:416
credit	51548:52917:1660:325
is	53478:52904:394:325
available	54121:52891:2656:338
to	57005:52917:539:299
qualified	45280:53425:2490:403
students.	48041:53412:2677:338
for	51029:53399:954:325
more	52253:53477:1514:247
information,	54038:53386:3527:390
mail	57856:53399:1182:338
the	45260:53933:892:312 53000:53907:913:312
coupon	46401:53998:2282:325
below	48954:53907:1784:325
or	50987:53985:560:247
call	51797:53907:933:312
office	45280:57006:1618:312 54162:53881:1722:338
programs:	45301:54415:3071:416
(212)	48663:54401:1556:416
741-8975.	50448:54388:3071:338
66	45280:57461:705:325
fifth	46214:57448:1120:312
avenue	47584:57448:2137:312
york,	46754:57917:1390:338
ny	48414:57917:809:299
10011	49514:57904:1618:312
please	45301:58620:1639:273
send	47127:58620:1224:273
me	48580:58672:747:221
a	49535:58672:269:221
brochure	50012:58607:2303:286
on	52502:58672:601:208
rummer	57607:58594:2116:403
programs.	45301:59089:2573:338
name	45280:59753:1494:273
address	45280:60378:2095:273
__	57669:61185:684:78
state	45280:61628:1245:273
zip	53229:61628:767:338
35	60139:62045:477:208
laman	45488:62435:2199:338
□	48020:62422:518:338 48020:62917:539:351 51070:62435:539:338
artist	48850:62435:1411:338
teacher	51921:62435:2241:338
college	48850:62917:2199:429
student	51299:62930:2241:338
bigby	2241:17956:4918:1080
narrowly	7844:17943:7636:1054
misses	16165:17956:5333:859
sinking	2220:19284:6080:1093
yale	9068:19284:3486:885
once	13115:19531:3818:638
again	17473:19297:4378:1080
by	2365:20625:664:325
eric	3278:20625:1452:260
bernicker	4938:20612:3590:260
keiron	2863:21042:1743:286
bigby	3673:29792:1639:351 4835:21029:1494:364
almost	4440:21979:1743:273 6536:21029:1763:286
did,	8487:21029:913:299
it	9504:21042:332:273
twice.	10043:21042:1514:273
the	2344:37031:809:273 3071:21536:975:273 5665:25456:809:273 5914:25013:788:286 6059:28503:788:273 10936:29818:1016:273 5540:28060:788:273 5540:28932:809:273 4503:27630:767:260 7429:21979:809:273 7616:35781:788:286 5001:37435:788:273 7408:31107:788:286 9110:35352:809:286
two-sport	4523:21549:2407:390
sophomore	7408:21549:2843:338 5001:30234:2863:364
from	10708:21549:1245:273 8300:30247:1245:286
brown	10251:31107:1639:286 2988:29375:1701:273 2490:25885:1701:273 2552:21979:1680:273
put	6412:21992:809:338
elis	6640:28060:996:273 8425:21979:1037:273
away	9670:22057:1369:273
for	2469:28932:726:273 2926:34922:933:273 11226:21979:726:286 3963:39597:705:286 11226:26771:726:273
a	6453:22917:269:195 7283:23776:269:221 4295:37930:290:208 2531:22487:269:195 4980:39675:269:195 4420:38373:269:195 7242:37943:269:208 8902:39271:269:195
second	3050:22409:1763:273 7657:31537:1805:299
time	5042:22409:1162:273 7325:37435:1182:286
in	7366:27630:435:273 8280:38320:456:273 6474:22409:435:273 7014:25885:435:273 9421:23268:415:286 7553:26328:456:273
four	7159:22409:1037:286
months	8425:22409:1888:286
tuesday	2531:22838:933:351 10562:22409:1120:273
night,	3693:22838:1452:351
but	5416:22838:809:286
five	6972:22838:975:286
foot	8176:22838:933:286
jump	9338:22838:1369:364
shot	10915:22838:1037:286
with	3029:24570:1182:286 2531:23268:1099:286 6018:23711:1079:286
13	3839:23294:477:260
seconds	4503:23268:1992:286
left	6702:23268:830:299 3610:23711:850:273
rolled	7740:23268:1473:299
and	10043:23268:913:286 8798:33281:975:273 3839:37422:913:273 2344:38711:954:286 2510:23711:954:273 5291:27187:954:273 10023:32852:913:273
out	4648:38737:788:273 11164:23294:788:273
yale	4648:23711:1182:273 5665:25885:1162:286 8280:24570:1182:286 3382:37031:1203:273
one	7117:36680:892:247 7719:23776:892:221
point	8757:23711:1265:351
tage.	2510:24154:1245:325
two	6536:27214:892:260 4420:24609:892:247
years	5478:24648:1431:273
left,	7097:24583:975:325
probably	9628:24570:2303:351
has	2490:25013:892:273
not	3590:25026:788:273
seen	4586:25052:1141:234
last	6931:25013:913:286
of	5354:28490:477:286 8051:25013:498:286 6931:35781:498:286 4876:28932:456:273 8280:28503:498:273
bigby.	8715:25013:1660:351
he	5478:39167:684:286 3029:25456:705:260 8715:37448:601:273 2469:26758:601:273 11247:27214:705:260 2386:38281:684:273
was	3258:38373:975:195 7076:36250:996:195 6474:37083:975:221 4191:25521:1016:195
main	6951:25456:1286:273
reason	8736:25534:1701:195
that	10791:36602:1037:273 10936:25456:1016:273
beat	4357:25872:1120:286
both	2469:28490:1099:286 7616:25885:1099:286
team's	8881:25885:1743:286
football	10811:25885:913:286 2490:26302:954:286
season	3652:26393:1743:208 2469:33776:1722:208
opener	5582:26393:1763:286
providence	8217:26328:2967:286
as	8197:35430:581:208 6474:37943:539:208 11392:26406:560:208
returned	3361:26745:2261:286
three	5914:26758:1328:273
interceptions	7532:26758:3382:351
216	2469:27214:788:247
yards	3527:27174:1473:351
touchdowns.	7740:27200:3175:286
turned	2469:27617:1722:273
game	4814:37917:1431:286 5582:27682:1452:286 4814:37097:1431:273 6806:33333:1473:299
brown's	8114:27643:2137:273 2469:31979:2137:273
favor	10583:27630:1348:286
even	2469:28125:1203:208 8653:36250:1224:195
after	3963:28047:1265:286
had	9545:37448:933:273 7968:28060:913:286 6370:39167:933:286
dominated	9193:28060:2760:299
sides	3818:28490:1286:273
line	7097:28503:933:273
scrimmage	8985:28516:2967:338
most	3403:28958:1245:260
afternoon.	6536:28932:2656:286
coach	4005:32839:1473:286 4835:29375:1494:273
john	6474:29375:1265:273
rosenberg	7885:29375:2780:351
called	10832:29388:913:273 2469:29792:601:286
"all-universe".	5935:29805:4357:286
talented	2469:30234:2116:286
central	10023:30247:1909:286
islip,	2469:30677:1265:338
new	4129:30677:1141:273
york,	5644:30677:1431:338
racked	7491:30677:1784:286
up	9628:30755:622:273
more	10604:30755:1328:208 10438:36237:1390:208
total	2469:31107:1141:273
offense	3880:31107:1867:273
than	6018:31107:1120:273
entire	8446:31107:1535:286
squad,	2469:31523:1660:364
moved	4420:31537:1743:286
into	6433:31537:954:286
place	9691:31537:1390:364
on	11330:31628:581:208
career	5105:32044:1680:208
interception	7263:31979:3112:351 4482:33711:3112:351
yardage	10853:32057:809:273 9774:33711:2137:364 2469:32409:1245:338
return	7865:33737:1618:260 3922:32422:1639:273
list	5789:32409:788:286
behind	6806:32409:1722:286
joe	8736:32422:871:273
paterno	9815:32422:2095:273
(now	2531:32852:1224:273
at	5727:32865:498:260
penn	6474:32852:1307:273
state),	8031:32852:1722:338
set	11185:32878:705:247
ncaa	10251:35352:1618:286 2469:33281:1680:273
single	10313:33294:1597:338 4669:33281:1577:351
records.	2469:34128:2116:299
his	4274:34922:726:286 7699:37031:726:273 9110:39557:726:364
performance	5437:34935:3361:351
sports	9234:34987:1618:312
illustrated	2448:35391:2303:247 11289:34987:373:260
chose	5105:35352:1431:286
him	6868:35352:975:286
defensive	9400:39193:2448:299 2386:35781:2490:286 7740:37865:2469:299
player	5042:35781:1680:390
week.	8591:35781:1473:286
bigby's	2905:36146:1992:364
feat	5478:36146:1037:299
remarkable	2344:36589:3092:286
when	5582:36602:1348:273
considers	8155:36602:2448:299
first	8653:37031:1099:273 6018:37435:1079:286
varsity	10002:37044:1805:338
start	2365:37422:1245:273
ever	10687:37539:1162:195
played	2344:37839:1743:351
back.	10438:37878:1348:299
quarterback	4876:38294:3216:351
high	8902:38320:1120:351
school	10230:38334:1556:286
sat	3590:38737:767:273
freshman	5706:38737:2490:299
year	8487:38828:1182:273
to	9960:38789:456:247
