'	15636:6668:102:65 15636:6668:102:65
—	26791:48487:470:26 35305:17620:491:26
-	38641:64037:245:52 38641:64037:245:52
—	39296:25083:491:39 46664:12906:470:26 45579:13765:470:39
-	63242:64063:184:104 63242:64063:184:104
—	6508:39253:654:39
"an	60868:20486:880:234
"and	53787:26971:1330:273 54237:18714:1309:273
"hate"	46337:17529:2251:260
"hi,	44147:20525:1043:312
"i	52415:22674:470:260 55362:13140:470:247
"industrial	41629:14026:716:286 33258:14417:1985:273
"ivory	46316:13192:1678:338
"nah,"	54155:12698:1821:299
"rat	41465:16670:1064:234
"sack"	33299:17464:1760:273
"shut	44167:22687:1432:260
"sooooo,"	44208:25265:2517:325
"still	56120:19587:1268:273
"take	56938:26099:1575:273
"we	30516:31413:1002:260
"what	45538:26138:1616:260
"you	54278:23950:1309:273
$25,	21346:15380:532:156
()ffjws	16025:14912:921:143
(20j)	16885:15367:614:156
(takes	39664:5821:1555:286
(usps	18236:14221:859:156
(y^^ri	24028:56613:6938:2305 24028:56613:6938:2305
(you	36144:17060:1105:325
,	35448:29693:61:351 5914:14677:61:195
.	62792:64219:163:104 62792:64219:163:104 9128:14781:102:65 21408:15472:40:299 19177:14794:40:273 6181:14677:20:195 21817:15472:61:299
.nds«r>d.)ddrt	18317:14456:2210:182
_	4850:14807:204:13 3602:14807:266:26
„„pi	16107:14482:798:156
<>85	18870:16735:552:182
>«112	16005:14716:532:143
■	39480:64011:81:78 39480:64011:81:78
06520.	21060:15146:818:143
1	18706:16735:122:169 30679:26177:143:273 31089:4962:143:247
1:00-3:00	54094:56822:4502:546 54094:56822:4502:546
10	45538:62552:757:390 45538:62552:757:390
107	16823:17334:511:169
11-12	39726:61536:2599:533 39726:61536:2599:533
11-12:30	37884:62357:4216:560 37884:62357:4216:560
15	23148:26177:450:234 5833:45843:593:286 13119:38589:573:286 16312:28209:573:299
18,	40708:37130:532:273
1985	41547:37130:961:247 55178:50271:2087:520 55178:50271:2087:520
202	17478:14912:450:143
21,	53091:50245:1453:625 53091:50245:1453:625
241a	15370:15146:654:143
25	15882:16982:368:195
250	31928:15341:757:260
34.	28101:41831:634:247 8350:27688:798:299
40	14940:27701:634:286
436-0325.	17601:15367:1228:156
5	16271:49476:347:533 16271:49476:347:533
5:30	59742:61914:1575:403 59742:61914:1575:403
6-0825	4850:49437:2496:533 4850:49437:2496:533
68	18297:17334:388:195
6v5-060)	19177:14221:1105:156
777-2059	32849:63190:4379:533 32849:63190:4379:533
'85	41936:36687:552:247
9	11400:49463:388:546 11400:49463:388:546
a	27794:14938:245:195 30638:11499:266:195 28469:5443:266:182 29758:43642:245:195 34957:26724:245:195 39971:25018:286:195 33279:25851:266:182 37393:25435:266:182 37004:27167:286:195 35346:18402:245:208 38375:16253:266:195 42264:19743:245:195 51494:21020:245:195 50225:24041:266:208 44863:21462:245:182 51351:18037:266:195 48547:14573:266:195 45190:14130:266:182 59394:13648:266:195 60438:14508:245:195 53746:26190:266:195 60561:17516:266:182 7409:32949:327:208 8104:23090:327:221 3131:34408:470:312 5607:40204:327:221 11359:30866:327:234 21613:38133:327:221 3131:30787:470:299 15636:26737:307:234 7409:39162:307:234 17171:31829:450:325 7756:32428:327:221 10315:45387:327:221 10069:24640:327:234 10212:44345:307:234 8944:41753:307:234 8718:19808:695:507
a.m.	12239:49672:1637:325 12239:49672:1637:325
aaron	9598:7762:1084:182
aays,	37208:28039:1330:273
abilities,	7490:42704:2742:377
about	15309:45804:1719:325 24519:37442:1391:286 30638:45296:1616:286 27875:14000:1391:273 25256:15302:1391:273 36390:9272:1391:273 46623:16227:1391:273 57082:18714:1391:286
accepted	22861:50974:2271:312
according	25010:28339:2640:338
acculturation	31703:27128:511:208 23086:27453:2844:286 23025:32663:2824:273 31641:32350:511:195 22984:35710:3458:286 39112:33614:3417:286
acculturation,	39889:34916:2394:286 33176:35320:1105:325
acculture	27507:31816:2435:273
action,	52845:58567:2844:494 52845:58567:2844:494
actively	30209:44879:2046:338
ad	11891:9168:634:182
addition,	2476:36987:2783:377
address	16086:15823:941:143
administration	6119:26620:4727:325
administrative	2456:42704:4789:325
administrator	10622:31295:4502:338
administrators	15800:28704:4768:325
adolescent's	33238:17907:3131:273
aemonstrate	26238:39227:3254:260
aetermine	27814:39643:3029:273
after	15759:5717:1371:195 3888:45817:1657:312 41384:5834:1228:273 61605:13557:1248:273
again.	41036:9298:1535:338
again."	56672:27401:1903:338
again?	57859:2435:6303:1172
against	30823:6251:1821:325
agree	31007:26255:1453:273 58412:16644:1412:273
al	17110:14938:204:117 18952:14013:225:117
alexi	3602:16045:982:208
alf-girls	26995:18767:1964:377
all	30372:46598:614:286 31785:31413:593:260 38457:6681:614:286 33320:7123:695:260 48936:18832:634:273 57307:17008:614:260 8596:44775:777:325 3172:20902:900:325
all-male	19341:33379:2640:312
allow	23025:31790:1371:286
allowed	30270:47471:1964:286 9721:36479:2435:325
almost	33320:5808:1698:286
also	2496:24536:1248:325 27466:43980:1023:286 26811:29199:1023:286 36226:35333:982:286 39767:31868:1002:286 52088:61875:1453:416 52088:61875:1453:416
also.	28264:37026:1125:286
alternative	47646:52667:5546:560 47646:52667:5546:560
although	9660:27662:2865:416
always	28428:7527:1760:338 35591:14859:1780:351 48138:21384:1821:338 46275:27883:1760:312 61134:17868:1760:338
am	23373:6277:798:195 41793:30227:777:195 39398:28052:777:195
ames	4441:13284:961:182
amiably	54892:25239:2087:338
an	18317:33470:716:221 23352:17087:593:195 25747:34056:593:195 2803:51000:880:325 2803:51000:880:325 37188:18845:593:208 45723:52654:1473:533 45723:52654:1473:533 51371:24484:593:208 45334:13258:593:195
ana	28837:42756:900:195 28960:36244:921:195 30823:35815:921:195 22943:42730:921:208 25522:40125:900:208 41711:26750:880:208 38314:34121:900:182 38232:29342:900:195 40667:30214:921:208
