cortissoz	26953:48686:3718:309
to	31122:48701:923:295
lecture	32542:48716:3042:280
on	29251:49188:946:295
the	30626:49202:1352:280
work	32429:49202:2073:295
of	34976:49217:878:280
degas.	36260:49217:2366:280
in	27539:50176:585:295 26930:61949:450:295 31685:53805:473:295 31482:50707:473:295
the	33691:59441:766:309 31099:60445:766:295 29792:54823:811:295 27629:61949:811:309 27854:55325:788:295 31077:55841:788:324 26908:51194:833:309 34840:58423:811:295 28372:50176:811:295 32384:50707:811:309 27539:60931:1036:309
second	29432:50191:1757:295
trowbridge	31482:50191:3222:368
lecture	28936:60946:1802:295 34976:50191:1780:309
which	35314:54838:1600:295 34592:53289:1577:309 37049:50206:1577:295
is	35561:53805:360:309 36485:53289:360:309 26975:50692:338:295
to	30243:60489:495:250 27764:50752:473:236
be	28620:50692:563:309 36238:60976:563:295
given	29612:50692:1442:368 37162:60976:1419:368
south	33646:50707:1554:309
gallery	35652:50707:1960:383
of	30175:55841:563:309 35223:56373:540:309 31415:55340:563:309 38063:57907:518:295 35088:56889:563:295 28170:54292:540:309 36192:61463:518:324 33961:58423:518:295 29815:51725:563:295 32722:58925:766:309 33736:59958:540:280 38063:50707:540:324
art	28012:51194:946:324
school	29296:51194:1802:324
this	31370:51209:969:309
afternoon	32632:51224:2636:309
at	35584:51283:473:250
5,	36350:51283:405:324
royal	37049:51238:1577:368
cortissiz,	26953:51710:2501:383
new	30784:51725:1239:324 28756:61949:1239:324
york	32361:51740:1397:309 30265:61964:1397:309
city,	34142:51740:1262:383
will	34885:60976:1014:295 35787:51755:991:309 30108:59427:1014:295
speak	37184:51755:1464:368
on	26930:52345:608:177 31077:61049:608:191
degas,	27989:52227:1757:368
french	30220:52256:1893:295
realist	32542:52256:1667:309
and	37657:58423:946:309 26930:55841:923:280 34592:52256:946:309
pupil.	35967:52256:1464:383
it	38198:52256:428:309
has	26930:52743:833:309 30716:57376:856:309 26930:56328:833:309
been	28034:52743:1194:309 32001:57391:1194:309
said	29477:52743:1014:324
that	30739:52758:1036:309
degas'	32046:52773:1802:368
mephistophelean	34097:52773:4529:383
attitude	26930:53260:2050:295
towards	29229:53289:2140:295
humanity,	31640:53274:2681:383
strik	37162:53289:1239:309
ingly	26953:53776:1307:368
noticeable	28620:53791:2681:309
his	35787:58940:743:309 29003:54292:743:324 32519:53805:721:309 27561:57361:946:295
work,	33623:53805:1509:368
a	31753:56977:292:191 34728:60061:247:177 36305:53909:292:191 26908:58984:270:191 31550:56476:270:177
reflec	36959:53805:1419:309
tion	26908:54292:1014:295
person:	30018:54292:2050:398
"a	32361:54307:743:309
satiric	33375:54307:1667:309
misanthrope	35314:54307:3290:383
analyzing	26908:54809:2591:383
degraded	30897:54823:2433:368
types	33646:54882:1329:324
make	37207:54838:1397:295
up	26908:55414:608:265
gay	28958:55428:923:265
life	30243:55340:878:295 35449:59958:901:295
paris."	32339:55355:1870:295
as	34773:55355:721:295
an	35832:55443:608:206
analyst	36711:55355:1893:354
ironist	28170:55841:1712:309
impressionist	32204:55841:3515:398
group,	36012:55959:1690:280
he	38040:55856:585:309
with	28237:56328:1171:324
them	29815:56358:1307:295
sympathy	32294:56889:2546:368 32226:56373:2569:368
tempera	36215:56417:2095:324
ment	26908:56904:1307:236
rather	28440:56859:1645:295
than	30356:56859:1149:295
technique.	35945:56889:2636:368
work	28913:57376:1374:295
divided	33601:57391:1938:309
into	35967:57391:1014:309
four	37455:57391:1149:309
main	26908:57877:1329:295
groups:	28733:57877:2208:427
racing	31370:57892:1690:383
series,	33556:57907:1622:398
studies	35719:57907:1802:295
theatrical	26908:58364:2546:324
life,	29792:58379:1036:383
drawings	31144:58394:2456:383
nude,	35967:58423:1374:413
few	27629:58895:991:295
landscapes.	29049:58895:2929:383
these,	33894:58940:1464:368
scenes	36959:59043:1645:206
dc	26908:59397:585:295
theatre	27877:59412:1870:295
remain	31460:59427:1847:309
most	34840:59500:1262:250
famous,	36508:59441:2073:368
being	26930:59913:1419:368
vivid	28756:59913:1329:309
renderings	30491:59928:2839:383
always	36778:59958:1802:368
fascinating	26975:60415:2929:383
outside	32226:60459:1870:295
world.	34480:60459:1667:295
april	32046:60961:1442:368
27,	33849:61005:676:324
by	26908:61448:608:354
frank	27809:61448:1667:295
weitenkampf,	29747:61463:3853:383
curator	33916:61536:1938:236
prints	37049:61477:1532:368
public	31978:61979:1690:295
library.	33984:61979:2231:383
"don't	27561:62982:1757:295
razz	29680:63085:1126:191
the	35719:63012:811:309 31167:62997:811:295 30130:63499:788:309
umpire,"	32271:62997:2321:368
is	34976:63012:360:309
slogan	36869:63012:1712:368
adopted	26908:63499:2073:354
by	29229:63499:585:368
cornell	31235:63499:1960:309
nine	33488:63513:1104:309
for	34908:63513:811:309
its	36012:63528:585:295
spring	36914:63528:1667:383
season.	26863:64103:1847:206
