'	28702:22916:266:379 28702:22916:266:379
"the	27213:44722:1310:292
"this	26613:43188:1466:292
$100,000	30945:35579:2732:321 31967:43159:2199:365
$100,000,	33700:38032:2421:379
1890,	28968:21440:1266:321
1900,	33811:32132:1244:350
1908.	28679:32657:1266:262
1916,	26480:23996:1288:321
20th	29835:25997:1110:292
'90,	30856:10954:1088:511 31878:14780:844:350
'94;	31901:31591:955:365 26436:32132:999:365
a	30768:20476:266:204 35188:21995:311:204 27124:16431:266:204 33145:51396:288:189 36499:43246:288:189
a.	26258:10983:555:438 27169:10983:555:438 28146:14810:599:292 26924:14810:599:306
administration	32500:39566:4087:321
affair	29879:17833:1443:292
affiliated	31590:29546:2265:306
after	27835:20915:1310:292
ago,	26502:27137:1044:262
ambition	26413:20389:2310:306
among	27058:31109:1954:350
an	27147:37580:777:277
and	35499:32088:910:306 29390:29050:888:306 26502:27546:933:292 34411:24960:933:292 26458:29576:933:306 36099:40077:910:306 26636:46766:910:292 37321:50257:910:306 37299:62672:910:306
anniversary	31190:25983:3287:350
announced.	31123:39069:2932:306
anonymous	28346:37653:2954:262 31967:34366:4109:467
ar	37166:17409:533:189
are	29501:45832:799:189
are:	36921:31138:1110:219
as	35011:42750:488:189 28591:38690:488:204
assist	30790:53821:1421:306
assistant	31723:23923:2532:321
assumed	27791:27531:2221:306
at	26680:52390:466:248 27013:11655:755:452 31656:30116:533:248 33189:16343:488:248 26347:16387:488:248 28413:18914:488:248 31989:13846:510:233
attend	34589:31065:1643:306
available	32611:48753:2354:306
b.	35699:31577:555:306
banker.	31367:20374:1954:306
bankers	31501:15291:2177:292 35877:28524:2177:292 29968:24464:2154:292 27480:17351:2154:277 35633:12809:2243:292
banquet.	32856:13802:2465:335
be	27346:18870:577:306 31390:15803:577:292 26436:25501:577:292 30545:16314:555:292 29857:20389:577:306 31634:48782:577:277 29279:46752:599:292 35366:52813:555:277 37543:38018:555:306 34544:49264:555:292 35722:49775:555:277 26613:45247:555:292 35633:35549:710:277
been	29612:39098:1177:292
board	32567:29035:1643:306
