chancing	24046:44687:4622:877
to	29146:44859:888:481
pass	30535:44980:1958:602
mrs	32949:44756:2117:653
moriarty's	35591:44773:5123:911
the	41215:44859:1457:619
other	22862:45771:2527:602
evening	25822:45788:4076:842
we	30535:46029:1297:395
heard	32312:45822:2709:636
a	35477:46063:500:395
most	36410:45994:2322:481
terrific	39393:45908:3279:619
noise	22862:46820:2664:774
as	26459:47044:910:395
though	28213:46837:3483:842
some	32539:47078:2368:412
camp-meeting	35750:46958:6922:825
orator	22839:47955:2983:498
were	26551:48093:2231:378
haranguing	29511:47886:5624:860
the	35682:47972:1480:584
multitude	37822:47972:4827:653
and	22839:48919:1753:602
pointing	25048:48919:4121:842
out	29625:49073:1525:481
the	31628:48970:1502:602
straight	33792:49005:3871:808
and	38323:49039:1753:602
nar	40760:49280:1889:395
row	22816:50157:1821:412
way	25230:50174:1958:636
that	27780:49985:1981:619
leadeth	30399:50002:3552:636
not	34703:50174:1525:481
to	37093:50174:888:498
destruc	38756:50071:3893:636
tion	22793:51017:2117:602
ever	26209:51017:2345:619
on	29192:51258:1138:395
the	30968:51069:1480:602
lookout	33314:51086:3666:619
for	37617:51120:1457:602
items	39758:51120:2823:791
we	22862:52290:1229:378
entered	24569:52083:3643:602
and	28691:52101:1730:602
were	31105:52341:2254:378
surprised	34042:52169:4440:791
to	39211:52341:865:447
find	40760:52187:1798:619
our	22816:53322:1593:378
old	25048:53116:1434:602
and	27188:53150:1730:584
recently	29670:53184:3962:808
reformed	34361:53184:4440:670
friend	39644:53236:2914:619
peterkin	22793:54148:4508:791
surrounded	28031:54216:5442:602
by	33997:54251:1184:791
a	35659:54457:455:378
company	36593:54474:4394:619
of	41670:54302:956:602
choice	22816:55197:3005:619
spirits	26300:55231:2914:808
who	29784:55266:1912:584
were	32448:55472:2186:412
listening	35363:55283:4212:860
most	40259:55472:2368:498
attentively	22793:56263:5328:825
to	28600:56384:910:516
a	29989:56521:478:378
stump	30945:56418:2960:722
speech	34407:56366:3119:774
upon	38095:56590:2299:602
the	41101:56418:1480:584
relative	22862:57313:3575:619
merits	26938:57330:3005:619
of	30627:57364:956:584
political	32471:57381:5009:619
economy	37936:57416:4599:860
and	22793:58345:1707:602
the	25275:58345:1889:636
human	27666:58362:3552:636
intellect	31970:58396:4986:670
this	38187:58465:2140:619
fin	40987:58499:1548:584
ished	22793:59377:2732:791
recitations	26573:59428:5123:619
from	32949:59463:2277:602
hamlet	36319:59480:3643:653
and	40851:59566:1707:567
richard	22793:60426:3893:636
iii	27188:60460:1389:602
were	29078:60701:2254:395
in	31833:60477:796:619
order	33131:60529:2846:774
and	36479:60563:1776:619
the	38687:60581:1502:602
pro	40714:60804:1844:584
gramme	22771:61699:3939:584
ended	27188:61510:2869:619
with	30444:61544:2094:602
a	33086:61768:478:378
few	34019:61561:1753:636
choice	36160:61596:3005:653
com	39644:61647:2891:584
pliments	22771:62507:5009:825
more	28418:62782:2413:395
forcible	31492:62593:3688:636
than	36046:62645:2117:602
elegant	38756:62404:3779:980
the	4531:1548:13571:2906
yale	21723:1479:16805:2975
news	42695:1479:18899:3096
during	32767:5831:6922:619
term	40942:5831:4668:602
time	46612:5831:4827:619
price	51712:7963:3506:705
three	55720:7981:3848:688
cents	60092:7998:3506:670
new	19719:7998:2800:670
haven	23317:7963:4417:860
conn	28395:7998:3848:756
friday	32995:7998:4622:791
jan	38278:7981:2573:688
24	41488:7998:1411:825
1879	43583:7998:2595:653
vol	2664:7998:2573:688
i	5897:8015:2094:670
no	8129:8015:1889:670
12	10702:8049:1320:636
p	14596:5882:910:567
ub	16008:5865:1958:584
l	18262:5848:842:602
is	19491:5848:1616:602
