copyright	7402:7653:2147:306
196(1	9814:7699:797:230
vol	1267:7668:817:245
xci	2351:7668:777:245
no	3414:7683:695:230
36	4334:7699:388:214
shutout	40915:15152:6072:935
maintains	47213:15091:7995:950
win	55576:15091:2739:950
streak	58316:15091:5459:950
dirt	60423:7929:1185:245
ciikap	61854:7944:1656:230
potent	1635:8650:9917:1932
ocd	12861:8711:6931:1978
romps	21449:8818:10101:2331
to	32879:8864:3598:1978
588-0-0-0	37869:8864:15151:2085
win	54697:8972:7258:2331
overcomes	1574:11932:16419:2024
women's	18546:12085:13904:1917
moratorium	33370:12039:17932:1963
on	51998:12085:4273:1963
ball	57253:12131:5888:1917
new	25048:7775:1104:230
haven	26418:7775:1860:276
connecticut	28524:7791:3578:260
saturday	32471:7775:2821:276
november	35579:7806:2903:245
1	38748:7821:286:230
1969	39300:7791:797:230
bladder	18341:31609:4294:628
bowl	22983:31624:2699:644
triumph	26173:31640:4355:659
heffelfinger	10101:33127:8976:1150
stamina	19752:33158:6011:966
sets	26438:33189:2964:950
ocd	30078:33173:3332:981
pattern	33922:33204:5459:950
continued	57744:42698:2351:260
on	60320:42790:470:168
page	61016:42774:1022:245
2	62263:42713:347:260
but	57110:41731:736:260
it	58030:41716:286:260
wasn't	58480:41701:1390:276
just	60055:41685:777:337
the	61036:41685:654:260
kingman	61874:41685:1962:337
brewsters	56681:42115:2187:260
who	59216:42084:817:276
rejoiced	60402:42069:1758:322
in	62488:42069:368:260
the	63224:42054:613:276
there	57069:36272:1247:260
was	58521:36348:797:184
kingman	59523:36256:1962:337
brewster	61711:36256:2106:276
for	56640:36670:572:276
example	57437:36655:1962:337
barely	59646:36640:1349:322
able	61220:36624:879:276
to	62345:36640:368:260
hold	62938:36609:879:291
back	56619:37054:1104:276
the	58460:37038:695:276
tears	59891:37038:1165:260
of	61813:37008:408:291
joy	62938:37008:879:352
proclaiming	56640:37437:2739:352
i	59625:37437:408:260
congratulate	60239:37406:2739:352
the	63183:37391:654:276
news	56640:37836:1431:276
for	58337:37821:613:276
its	59277:37821:490:260
