professor	23688:2994:3175:403
of	27211:2978:669:420
chemistry	28228:2994:3621:538
to	32172:3062:644:336
student	33089:2978:2579:420
:	35942:3146:99:235
"	36587:3028:322:151
miss	37157:2978:1537:403
x	39043:2978:818:487
can	40308:3112:1116:269
we	41771:3095:917:269
see	22870:3802:1017:286
molecules	24209:3684:4142:403
miss	29245:3684:1537:403
x	31055:3701:793:454
confidently	32221:3667:4167:538
yes	36736:3718:1736:454
sir	38819:3667:1041:504
we	40258:3802:917:269
can	41498:3802:1141:269
see	22870:4509:967:269
them	24184:4374:1686:403
with	26268:4374:1513:386
the	28079:4391:1091:386
naked	29468:4374:2083:403
eye	31750:4509:1165:403
—	32941:4610:818:67
that	33809:4374:1389:403
is	35545:4374:545:403
to	36413:4425:644:336
say	37331:4509:1339:403
we	39018:4509:942:252
can	40184:4509:1116:252
see	41647:4492:1041:269
them	22870:5081:1686:403
with	24929:5081:1562:403
the	26839:5098:1066:386
help	28228:5081:1488:521
of	29989:5081:669:403
a	30882:5215:347:269
very	31527:5215:1389:386
strong	33238:5114:2207:454
microscope-i	35669:5064:4613:538
mean	40605:5199:2083:319
we	22895:5905:917:269
can't	24135:5787:1637:386
see	26070:5922:1017:252
them	27335:5771:1711:403
at	29369:5838:644:336
all	30262:5787:1389:403
class	32544:5771:1736:403
listens	34627:5771:2207:403
admiringly	37058:5754:4092:538
and	41474:5754:1190:403
professor	22870:6477:3150:403
marks	26665:6494:2108:386
down	29220:6494:1810:386
one	31378:6595:1190:286
model	33164:6477:2058:386
recitation	35843:6477:3497:403
—	39440:6696:793:67
vassar	40432:6477:2257:386
miscellany	22845:7167:3720:538
the	23639:7992:1339:403
committee	25301:8008:3547:386
of	29195:8008:669:386
award	30038:8008:2108:386
for	32469:7992:917:403
the	33710:8008:1066:386
john	35223:8008:1661:386
a	37282:8025:719:386
porter	38373:8008:2232:386
prize	40928:8008:1761:521
for	22845:8698:967:403
the	24110:8715:1091:386
year	25822:8833:1537:403
will	27707:8698:1289:403
consist	29344:8715:2356:386
of	32048:8715:669:386
hon	33263:8715:1612:386
e	35297:8715:694:386
j	36339:8715:520:386
phelps	37257:8698:2480:521
ll	40084:8698:1215:403
d	41672:8698:967:487
ex-speaker	22845:9388:3695:538
w	26839:9405:967:403
c	28178:9405:620:403
case	29170:9405:1761:471
yale	31279:9405:1587:386
67	33189:9405:1116:454
and	34603:9388:1265:403
professor	36289:9405:3175:386
d	39762:9388:768:403
cady	40903:9405:1761:538
eaton	22870:10095:2182:487
yale	25400:10095:1587:403
60	27285:10112:1141:386
the	29319:10095:1314:403
prize	31204:10095:1736:521
is	33263:10112:545:370
250	34280:10112:1637:471
for	36513:10095:967:386
the	37802:10095:1041:386
bes-t	39167:10095:1364:403
essay	40853:10213:1810:420
on	22845:10919:744:252
the	23936:10785:1066:386
subjects	25325:10768:2753:555
published	28674:10768:3373:555
last	32693:10785:1215:386
fall	34206:10785:1066:386
and	35620:10768:1215:420
is	37157:10785:520:386
given	38125:10785:1934:538
by	40357:10785:892:555
the	41622:10785:1041:403
kingsley	22820:11474:3199:538
trust	26566:11491:1909:386
association	28773:11491:3993:386
this	33685:11474:1537:403
is	35545:11491:545:386
the	36562:11474:1091:403
largest	38224:11474:2406:538
prize	40928:11491:1761:504
offered	22820:12181:2356:386
in	25474:12181:644:386
any	26467:12316:1240:403
of	28054:12164:669:403
the	28947:12164:1041:403
departments	30336:12181:4340:538
of	35024:12181:694:370
yale	35942:12164:1736:403
how	23664:13006:1587:403
the	25574:13006:1116:403
girls	26963:13022:1587:538
say	28897:13157:1116:386
papa	30361:13140:1661:403
and	32345:13006:1215:403
mamma	33908:13140:2827:269
the	37331:13006:1289:403
new	38968:13022:1537:403
york	40829:13022:1835:386
girl	22771:13729:1215:487
says	24234:13847:1463:386
'•	26020:13763:322:151
ma-r	26690:13729:1513:386
!"	28525:13729:421:386
with	29443:13712:1537:403
a	31304:13847:347:252
jerk	32196:13729:1488:521
on	33982:13847:793:269
the	35099:13729:1066:386
r	36537:13712:1265:403
the	38621:13712:1339:403
phila	40556:13729:2108:386
delphia	22795:14402:2554:538
girl	25648:14402:1190:538
says	27211:14553:1438:403
"	29121:14469:322:151
may-ar	29790:14419:2728:521
through	32866:14419:2778:521
her	36041:14419:1116:386
nose	37530:14537:1612:286
the	40060:14402:1314:403
st	41722:14419:892:420
louis	22771:15109:1934:403
girl	25028:15109:1265:521
says	26615:15227:1463:403
"	28451:15159:322:151
ma'mar	29046:15109:2604:386
;"	31899:15109:496:504
the	32866:15126:1041:386
boston	34230:15109:2306:403
girl	36885:15109:1240:521
says	38497:15227:1488:403
"	40357:15142:322:168
mur	40953:15126:1686:386
mur	22771:15815:2034:521
the	25301:15815:1066:386
baltimore	26987:15799:3423:403
beauty	31080:15799:2331:521
"	34230:15866:297:134
mur-mur	34801:15815:3423:386
and	38745:15799:1190:403
pur	40581:15815:2083:403
pur	22746:16522:1909:504
the	25127:16522:1041:386
little	26516:16522:1637:386
canadian	28501:16522:3150:386
says	32048:16640:1463:370
"	34007:16573:322:134
pa-ah	34578:16522:2505:471
and	37530:16522:1240:386
"	39142:16573:322:151
ma-ah	39762:16539:2133:370
;"	42143:16539:471:487
the	22771:17195:1066:403
alabama	24184:17212:3026:386
girl	27533:17195:1215:555
says	29071:17347:1463:403
"	30857:17262:372:134
porr	31527:17212:1885:386
and	33759:17212:1190:386
"	35347:17246:322:151
morr	35967:17212:1736:386
;"	37926:17262:496:471
the	38795:17229:1066:386
brook	40209:17229:2381:403
lyn	22746:17885:1091:538
girl	24184:17902:1190:521
says	25747:18020:1438:403
par-pah	27533:17902:3596:538
and	31502:17919:1215:386
"	33065:17969:297:134
mali	33685:17919:1463:386
ah	35248:17919:1017:386
;"	36562:17919:446:471
the	37505:17919:1066:386
little	38894:17919:1661:386
lon	41027:17935:1562:386
don	22746:18575:1240:403
girls	24284:18592:1587:521
say	26169:18726:1314:403
"	27856:18625:347:185
now	28476:18592:1736:487
po-pow-ah	30584:18608:3869:521
you	35074:18760:1215:370
make	36612:18625:1785:386
me	38770:18760:942:252
lowof	40035:18625:1934:403
!'	42193:18642:272:403
—	22721:19517:818:67
ex	23564:19281:1091:403
her	29666:20257:1240:269
buckle	31229:20257:2356:269
shoe	33908:20274:1686:252
her	25201:20846:1314:370
buckle	26863:20829:2257:386
shoe	29443:20829:1513:403
ye	31279:20981:793:386
bootman	32420:20829:2976:420
dyd	35744:20863:1314:504
make	25201:21536:1835:386
of	27359:21536:669:386
ye	28252:21654:793:403
smoothe	29369:21553:3051:471
soft	32717:21553:1215:386
skyn	34230:21553:1637:521
of	36215:21553:644:386
kyd	37157:21553:1339:538
;	38770:21738:124:336
cutt	25177:22209:1513:403
low	26987:22226:1413:471
ye	28773:22360:793:403
sylk	29914:22226:1463:521
hose	31700:22243:1537:386
to	33561:22293:644:336
reveale	34528:22243:2505:403
;	37282:22411:124:353
trymn	25152:22916:2579:521
taper-toed	28079:22933:3547:521
;	31874:23084:99:336
and	32519:22949:1215:370
for	34082:22949:942:386
ye	35347:23084:793:403
heel	36463:22949:1389:403
a	25177:23639:471:353
dayntye	26020:23589:3075:555
upturned	29468:23622:3224:538
pyramyd	33015:23639:3348:538
full	25152:24447:1389:386
lyghtlye	26839:24447:2951:538
o'er	30113:24464:1240:386
ye	31651:24615:818:370
floor	32792:24464:1587:403
she	34727:24480:1116:403
slyd	36165:24497:1438:521
—	37654:24733:818:50
when	25152:25137:2306:504
at	27806:25204:694:336
tye	28798:25187:1066:487
ball	30187:25153:1240:386
ye	31924:25305:818:386
festyve	33189:25170:2505:538
fyd	36041:25170:1116:555
—	37257:25440:744:33
he	25201:25810:967:386
called	26442:25810:2009:386
ye	28798:25944:818:386
couples	29840:25827:2629:538
for	32792:25827:967:403
ye	34057:25978:818:403
reel	35173:25843:1537:504
—	36810:26096:793:33
her	32519:26533:1314:403
buckle	34181:26533:2257:403
shoe	36736:26550:1637:403
ye	25177:27341:967:386
youth	26442:27374:2034:487
doth	28873:27374:1513:403
love	30733:27391:1413:386
thatt	32469:27374:1686:386
leathern	34503:27374:2877:403
iyd	37778:27391:1289:521
neath	25127:28031:2306:420
whych	27806:28081:2207:538
fyve	30411:28081:1463:538
small	32196:28081:1959:454
pynk	34355:28081:1810:538
toes	36513:28148:1339:336
are	38199:28233:1017:252
hyd	39588:28098:1289:521
lyke	25127:28788:1810:521
lyttle	27260:28788:1885:521
myce	29468:28906:1810:403
who	31601:28788:1413:386
never	33288:28906:1934:269
squeale	35694:28805:2753:521
they	25127:29478:1785:538
have	27260:29478:1587:403
some	29170:29612:1686:269
corn	31204:29612:1686:353
perdie	33238:29478:2207:521
!	35694:29511:99:370
i	36711:29494:223:370
feel	37282:29494:1165:386
ye	25177:30184:942:386
wycked	26467:30184:2654:538
cause	29468:30319:1810:252
of	31626:30184:669:386
thatt	32618:30184:2455:386
est	35198:30252:793:319
id	36289:30184:1017:403
her	32544:30891:1314:386
buckle	34230:30891:2232:386
shoe	36736:30891:1686:420
—	32891:31816:818:50
f	33809:31581:570:403
d	34801:31581:694:386
s	35868:31614:818:437
in	37157:31581:694:386
arffo	38175:31598:1885:521
aesthetic	23688:33263:4092:471
boston	28178:33263:2902:487
is	31527:33263:620:471
nocking	32519:33263:3472:656
to	36537:33381:818:370
the	37654:33280:1364:471
"	39390:33297:421:235
black	40134:33263:2455:487
crook	22696:34088:3323:605
not	26442:34189:1364:370
that	28203:34088:1686:471
they	30286:34088:1885:656
care	32593:34256:1711:319
for	34702:34088:1190:487
the	36587:34105:1364:471
show	38348:34105:2381:588
but	41126:34088:1463:471
the	22696:34929:1265:471
ballet	24383:34929:2430:471
girls	27211:34912:1909:656
are	29542:35080:1265:319
so	31179:35097:818:302
superlatively	32420:34929:5531:656
antique	38299:34929:3348:639
prof	23713:36023:2083:487
:	26144:36208:148:302
"	26913:36040:421:235
mr	27632:36023:1438:471
8	29567:36023:1116:605
what	31204:36040:2058:471
was	33759:36191:1488:319
the	36016:36040:1289:471
triple	37654:36040:2629:656
alli	40680:36023:1909:487
ance	22696:37015:1860:336
?"	24879:36847:793:504
mr	26764:36830:1463:487
b	28699:36864:843:487
why	29989:36830:2703:673
that	33139:36864:1711:471
was	35322:37015:1513:336
when	37257:36864:2182:487
henry	39836:36864:2753:656
the	22696:37688:1314:471
viii	24457:37655:2158:504
married	27235:37672:3348:471
three	31353:37672:2133:471
wives	34131:37655:2356:504
in	37381:37672:793:471
a	38894:37840:446:319
year	39985:37672:2604:656
tableau	22671:38479:3745:487
—	26467:38782:992:50
acta	27558:38496:2232:471
amusements	28476:40599:8334:454
cakll's	27533:41592:3348:471
opera	31304:41575:2852:471
house	34578:41558:3100:504
february	23664:42400:4117:656
24	28178:42450:917:420
—	29170:42686:967:50
sol	30212:42383:1289:487
smith	31924:42366:2530:504
russell	34875:42383:3075:487
in	38398:42400:768:471
edge	39588:42400:3026:656
wood	22746:43224:2257:487
folks	25325:43207:2406:487
