—	50486:61207:846:46
.	22366:52431:86:46 22713:52415:152:92 30487:61576:130:76 57500:26361:65:92
:	35004:29092:130:276
;	37696:58185:152:398
»	23169:52308:152:199
§§	16177:12950:738:506
•	21519:50835:152:92
1	55785:57448:499:368 49531:45725:499:383 10205:21221:521:491
10	10423:12382:1346:368 42213:10096:955:475
10:30	23929:23415:1932:368
104	31247:49837:1172:383
11	31703:41245:716:368
114	31312:44666:1150:352
133	31290:60548:1172:368
14	31703:46293:738:368
1494	12247:24121:1802:398
171	57457:56681:1150:414
18-20	2149:56573:2236:383
1891	11074:33680:1824:491
1892	38782:54425:1889:475
1893	52267:20975:1802:506 43537:40462:1845:506
1894	43755:10081:1802:383
198	37588:13871:1172:368
199	31356:54840:1172:368
2	32159:40523:282:337 49509:46477:499:352
2,329	30205:62481:2236:491
20	31703:47045:738:352 31703:51433:738:368
21	31703:42672:760:414
3	49509:48671:499:352 47598:26821:347:337
31-49	2801:13671:1867:429
36	31703:43454:760:368
38	31681:41966:803:383
39	10683:10096:955:368
4	49509:50114:499:368
400	13159:14822:1020:383
42	31681:59351:803:352
4th	11964:13594:998:368
5	10965:24167:564:475 49487:52323:542:368
53	49422:60962:977:414
550	31247:61300:1237:337
6	49509:53781:499:383
6.40	15526:58783:1454:383
63	31703:47781:738:368
7	49509:54487:499:414 47576:13119:282:414
7.30	22974:27772:1411:429 27903:25578:1454:414 5385:14270:1259:352 17523:29982:1433:414
76	31746:52860:738:414
8	8273:17323:325:383 16611:20469:304:368
87	20867:27757:1237:444
9.35	39694:26054:1389:368
91	31746:57893:673:368
94	25797:25548:1194:444
95	31703:52170:760:352 43277:14576:1216:552 20455:29230:1302:552
96	31182:29230:1216:429 26101:31440:1324:537
97	20867:32161:1216:444
a	31573:31424:825:444 53418:23998:369:276 2888:19732:651:429 14266:29215:673:429 6731:60302:369:291 14461:32299:369:276 26578:23491:542:291 60301:61085:369:276 33093:51602:369:276 33896:12321:629:429 24733:22755:369:291 47620:61821:347:276 6188:32314:369:291 46078:49392:369:276 20433:13963:369:276 9011:25716:369:276
about	41931:41889:2062:429 14874:42426:2062:444
above	51007:17246:2084:444
academic	33114:56573:3604:429
academical	26513:57065:4299:460
added	52527:23123:2388:552
address	14288:57279:2692:444 25189:17492:2692:429
adee	38912:31869:2193:552
admitting	39195:16019:3604:583
advisability	33071:15988:4299:583
aft	62082:15098:1324:444
after	35981:15267:2062:444 7361:55039:1737:429
afternoon	38369:27466:3496:444 48662:34800:3734:506
all	1954:30734:933:444 23473:32161:1129:429
also	13658:27005:1324:429 3648:38068:1368:429 12442:57264:1346:429 50139:13594:1368:429 44124:49254:1368:414 46621:19701:1346:429
alumni	33093:48502:2518:429
ameri	60909:47121:2605:444
an	38478:53044:803:291 31660:19103:803:260
and	12811:32146:1302:429 62038:12183:1302:429 41214:52170:1302:429 4798:26315:1302:429 12268:38038:1324:414 48554:18719:1302:414 13072:43899:1302:429 48532:13579:1281:429 15569:27742:1346:429 51941:11431:1302:414 44341:61683:1324:414 7361:28509:1324:429 8273:29230:1324:429 42213:49239:1302:414 37913:59504:1302:414 5037:27051:1259:429 28294:37363:1324:429 43690:60210:1324:414 60193:15835:1237:429 27490:21144:1302:429 25818:20407:1281:429 8751:16694:1129:383 45731:40431:1302:429 56501:32606:1302:429 48640:49331:1281:429 46708:34846:1302:429 58521:50068:1302:414 1910:46876:1324:414 57826:47121:1302:429 48554:28248:1324:429 4256:43178:1302:444 53657:58844:1281:429 8143:41690:1302:444 34938:45572:1281:429 17502:23353:1324:414 1954:38068:1368:429 40041:44099:1302:429 29184:55760:1454:291 11183:37301:1302:429
anderson's	41453:50697:4038:429
annals	9359:12996:2236:383
anni	15156:14822:1802:368
anniver	13832:21880:3018:429
anson	22257:29215:2323:444
ap	46925:57448:1042:414
apiece	45752:21159:2214:567
appointment	56349:61652:4603:583
ar	47077:42043:933:276
archbald	22062:31409:3691:567
are	40389:42027:1085:291 61387:58246:1085:276 11356:39634:1085:291 22062:33051:1085:291 11877:41107:1085:276
arm	46078:34094:1932:429
arrange	44927:61085:3018:444
arrangement	53309:17369:4668:475 33093:37178:5710:475
art	52831:16617:998:352
arts	23864:56405:2128:337
as	44775:15451:694:276 45731:28356:673:291 16199:34524:716:276 55633:34954:694:291 43776:42779:716:291
assessed	36849:21159:2888:429
association	5754:62328:4408:444 17567:15988:4429:567 36372:55116:4408:521
at	1954:39526:955:444 46143:26821:694:352 38478:26054:694:368 47338:39772:694:352 46056:13180:694:352 47359:40493:673:383 2084:60977:673:337 61126:33419:694:368 14244:58814:651:352 28424:17553:694:368 20737:19026:694:368 56393:56742:694:337 15113:20484:694:368
ate	17523:38160:1064:368
athletic	42669:51433:2779:444 33114:55116:2996:429
attend	27946:32913:2323:429 8512:29951:2345:444
authorities	50160:26054:3930:429
babcock	55741:60962:3083:398
back	38847:32606:1910:567 46078:32637:1889:537 56414:40892:1454:368 46035:31900:1932:537 55806:42748:1433:368 36350:31869:1889:537
baptist	29792:27742:2649:598
baseball	45079:53643:2931:429
bass	40193:34094:1845:537
battell	14461:51403:2453:460
be	62668:57371:825:429 48597:58875:781:414 35720:21144:825:429 14027:54349:803:429 24146:16740:825:429 13810:60179:803:414 31638:13088:803:414 15808:55100:1064:429 17567:17492:825:429 7947:32913:803:429 57934:27527:825:429 59715:55929:803:414 45926:41889:825:429 51225:23108:803:429 54438:34800:825:429 5993:20453:825:429 44428:28217:825:429
beard	37913:31133:2518:552 22757:25548:2410:552
been	53005:21650:1606:429
beers	53852:56650:2171:521
before	49878:57402:2280:429
being	5906:59428:2041:583 22800:12352:2041:567
believe	54699:26054:2584:429
below	19847:38836:2410:429
berkeley	29228:18198:3257:598
bers	1910:44697:1520:414
best	53439:26790:1454:429
beta	36654:11370:2084:368 43147:12382:1715:429
birth	7578:15482:1541:368
birthday	6427:22648:3213:552
born	3973:24151:1628:414
both	56849:17998:1650:444 30834:19686:1650:429
box	61691:11462:1737:429
brick	35959:44099:1889:429
brief	15156:32146:1758:429
bringing	9945:35813:3235:598
brooke	61300:42764:2301:383
brown	43407:34815:2627:567
buildings	33093:50712:3713:583 60062:20944:3365:567 35590:46308:3430:567
bull	62256:38421:1324:383
bulletin	9945:11400:3778:383
butterworth	33049:33342:4755:444
by	13593:41705:912:567 17523:14546:955:583 16047:52154:868:583 53700:28248:933:583 5233:13671:760:444 1910:41736:955:583 2801:16142:738:444
c	8989:21159:521:444 2736:17354:694:429
called	39390:18228:2084:414
campus	36372:44973:2974:429
can	48662:48027:1129:276
candidate	50486:61683:3474:429
capt	61886:41536:1737:460 52115:40278:1780:460
celebrated	44189:47781:3843:429
center	33028:30473:2432:475 54938:38391:2084:398
cents	59932:10096:2540:444
chair	33071:15267:1954:429
chapel	2019:52139:2540:552 2801:14270:2323:460 41366:13840:2714:567 17502:24811:2540:583
chicago	34504:40401:2974:583 8099:34355:2996:598
christian	29119:15282:3365:429 2128:62328:3322:444
church	10010:55054:2670:552 20694:26284:2866:552 29749:29951:2692:444 25319:18934:2866:552 27099:24075:2670:444 17502:28494:2670:444
churches	29249:13809:3213:444 29293:22617:3170:429
city	27534:13825:1368:567
civil	52918:49300:1758:444
class	20324:52032:1824:444 20303:52783:1867:429 10162:44620:1867:444 20455:42641:1867:429 20433:46922:1867:444 15222:53627:1650:414 21540:41153:1845:444
classical	11834:12352:2714:398
club	2019:20469:1737:444 8338:31424:1498:444 11682:42426:1520:429 15200:12336:1693:444 15374:46124:1541:429 10184:35107:1520:429 15222:14193:1693:460 15352:32897:1541:429 12529:18689:2171:398
cochran	48684:42779:2605:368
cochrane	39260:34815:3626:552
col	46773:49254:1237:429 46773:47060:1259:414 62104:15850:1259:429
collection	7730:60149:3474:444 58304:19471:3474:460 59954:23154:3474:444 52115:25302:3474:444
collectorship	53678:62389:4820:537
college	29618:23338:2822:583 29792:16003:2692:567 33114:49254:2497:583 5949:16725:2497:444 57761:44651:3409:475
colonial	55937:50773:2996:444
com	15222:48472:1693:291 46317:39096:1715:291
coming	34504:22617:2670:567
commemorative	5580:14853:4994:398
commission	6818:55760:5081:567
committee	2128:61622:3930:444
compared	57066:49331:3691:567
competition	53722:55193:4256:567
complete	48575:20192:3300:567 54286:23860:3235:567
conducted	11986:52154:3713:414
conflict	22887:18213:2649:444
congregational	20476:24075:5645:598
conn	26687:10004:3126:537
constitution	56327:46385:4560:444
convenience	50464:17983:4386:444
cor	15547:29353:1302:291
corner	24168:30841:2323:291
corridors	41909:59474:3409:552
cross	45796:33358:2171:567 35785:35552:2149:429
crown	27099:30688:2410:444
customs	60106:62404:3235:429
d	13072:52876:846:444 14288:52876:1107:537 17523:27021:825:444 18739:27021:1085:552
daily	26752:2639:13745:15
day	9836:59428:1454:567 26991:12352:1563:583 24559:11370:1693:444
de	30965:35030:1476:368
decided	33071:19671:2779:429
defects	50595:46385:2736:429
defray	34070:21880:2366:583
depart	45427:46308:2605:583
department	37219:56558:4603:583 17567:55576:5037:429 5146:38790:4190:567 19304:57801:4408:567 17588:16740:4386:583
departments	19369:38084:4516:598
desirable	49531:22371:3213:444
develop	13919:38038:3018:567
dial	1932:30013:1389:429
dick	27925:24811:1976:552
discussed	9923:41690:3344:444
discussion	40823:15298:3626:429
divinity	21454:39695:3496:383
does	19499:18228:1585:429
dollars	42691:21159:2410:429
dr	39303:50697:1172:429 37305:47029:1150:444 5363:57233:1172:429 31247:20407:1172:444 21063:20423:1172:429
drawing	48532:12843:3018:583
dressing	60106:14362:3300:583
durfee	56110:11431:2844:552
during	33093:41889:2432:583 45514:21896:2453:598
dwight	17567:30688:3148:598 29662:17477:2822:583 8360:58676:2779:583
e	28185:29951:738:444
each	9359:40232:1563:429
edict	60193:52246:1997:444
eleven	43950:25271:2258:429
eloquent	29314:21144:3148:583
end	56588:40247:1064:398 38456:28939:1476:537 56241:36534:1129:383 43233:31148:1498:552
eng	61756:50789:1758:583
english	48640:47121:2801:583
enjoyed	50247:28248:2844:583
enrollment	17502:35030:4994:368
entific	1976:48334:2236:429
entrance	38326:43439:3278:475
especially	22735:16019:3561:567
etc	36306:58108:1194:352 40215:49316:1476:460
evening	11508:20423:2844:567 42321:13103:3061:583
exceed	61040:58844:2388:414
executive	11400:48318:3474:444
exhibit	44471:39695:2540:429
exhibition	37805:40401:3973:444
expenses	42039:22049:3148:429
extended	12551:29951:3278:429
eyck	58304:44022:2214:491 48597:55929:1889:583
f	20737:31424:738:444
faculty	1954:43930:2996:583
fair	56631:34064:1606:429 39043:41137:1585:429
farnam	59237:56635:2996:552
fencing	40649:58001:2736:583
few	33071:62404:1324:429 34135:51449:1324:429
field	45883:52170:2106:552
finally	45644:18965:2301:567
fincke	42712:34094:2736:552
first	27599:27742:1845:444
five	44840:47045:1302:429
fol	46751:28217:1216:429
following	20129:22617:3496:583
follows	56762:34800:2866:460 45079:42641:2909:444
football	40476:25271:2866:429
for	62321:17308:1107:429 8512:60870:1085:429 54677:61683:1085:398 15851:59474:1085:414 41757:25993:1085:429 5341:38053:1064:429 2041:35874:1064:429 12377:53597:1064:429 22909:11370:1281:368 17523:13073:1064:429 58608:55193:1085:429 52571:44022:1281:383
form	53939:58123:1715:414 7469:48318:1780:429
formed	14223:35107:2649:429
former	7013:27772:2540:414
formerly	12138:24811:3278:567
founded	3496:33649:2974:444
four	7383:21896:1520:429
francisco	44471:41153:3561:444
from	5884:13027:1520:383
full	44515:32637:1281:414 54156:42748:1346:368
game	33136:54533:1889:429 58586:33496:1932:429
gelbert	61235:36549:2366:383
general	3843:57970:2649:598 56414:14362:2822:429 41974:44099:2670:552 40280:45572:2649:567
ger	15265:22601:1650:444
gibraltar	50573:54441:3539:444
give	45101:18228:1541:583
given	17502:38836:2019:583 23669:19686:1997:583
goethe	11704:27742:3061:429
goodrich	12941:16050:3105:444 1997:24872:3387:444
gradu	29966:37347:2518:444
graduate	17610:57049:3365:429 26296:35015:4125:383 5493:43915:3257:583 17610:58507:3365:444 17567:51310:3365:444 17545:41153:3409:460 23234:61207:3257:567
grand	17610:61177:2280:444
graphs	33071:60225:2432:567
great	13007:22694:1910:491 4473:55776:2062:429
grounds	58586:34064:3278:567 33006:28202:3105:567
groups	52506:15942:2432:429
gruener	6384:46830:3170:552
guard	41909:29690:2366:583 55785:37777:1824:475 41822:30427:2323:567 56045:39020:1802:444
