'	38131:11216:238:184 36654:11247:238:153
—	31703:43976:651:46 26774:46692:673:30 34938:33895:673:61 42582:26944:651:46 46882:38375:694:46 43233:37884:673:46 40541:25931:694:61 34938:29921:694:46 41257:28923:673:61 46512:39495:673:61 43581:27941:673:46 47294:32422:673:46
!	51225:29921:152:214
!"§	17588:8715:1194:797
"	37262:22862:43:15
''"	36763:22801:282:92
".	7578:6429:325:276
&	56566:45311:586:935 12768:45418:868:537 28077:52431:521:368 12073:18474:1281:1473 10770:38053:738:491 30096:2593:1281:797 57261:13717:738:491 13137:32038:542:690 29618:43746:499:368
&.	6166:16801:586:337
***	17588:14254:499:245
**_	35004:22724:738:414
,	2692:10434:65:92 15504:17461:108:153
.	34330:18934:65:15 8208:41367:130:76 9141:41367:130:76
..	7144:8930:195:46
/	41844:23123:195:414
:	6601:10618:86:153
:'	36306:23062:846:398
\	46751:20868:347:521
_	62212:22893:325:76
__	29814:18612:542:30
__!\	45362:21712:1541:659
_____	26752:18627:1085:30
___-___.	45492:18857:1758:92
____>	28598:18520:977:122
____■	28598:17875:1780:506
___■___	41344:22555:1585:214
_»_^	33332:23906:11009:291
|	43299:22417:304:352
|||	33353:21359:1541:1012
>	17588:13978:499:322
«§	17740:9943:1064:506
»	45014:11262:238:260
■	37609:22924:108:46
■_■	30834:18489:1520:460
■■	19630:18198:1476:444
•!■	30834:18136:1520:506
0	37175:21650:1737:721
1	47251:23906:130:322 30444:9467:542:797 45318:23154:217:383 31312:9482:1129:935 30053:13625:65:214 17523:50006:65:199 44949:23154:152:383
10	16546:7656:434:245 40715:1580:955:444
10.30	4494:11753:998:230
1002	56349:30043:1932:368
101	22778:52891:1172:444
103	24320:52906:998:368
105	27034:52937:977:368
1070	5276:44590:1606:306
11.30	14722:11676:998:245
1107	17545:22387:1650:322
1109	20932:22402:1693:306
111	45296:52952:868:368
1142	39455:27711:1324:368
11l	33353:20714:1476:721
131	42365:26238:955:368
137	59150:25072:1020:352
138	5472:62082:1498:414
14th	22083:46462:1302:352
15s	19564:22740:1194:306
15th	25232:46477:1433:352
16	3213:34785:998:537
1855	57609:14331:1520:291
1891	14179:12597:825:230
1893	2062:12965:977:245
