'	50354:57433:1176:556
-	10998:10698:217:108 10846:9956:217:108
''	19579:41200:370:123
"—	15724:26498:762:92
"■	48917:57696:239:123
&	9408:27688:522:293 11260:21303:718:479 58325:53893:849:556 60917:35527:588:973
&)	61113:55176:827:448
*;...	3702:40953:2722:154
,	9887:26730:108:61
.	26876:11022:174:154 59393:33223:130:92 24741:11007:152:154 57520:33161:108:123 58434:33208:108:77 6599:40953:174:154 1502:62721:435:742
.-	6947:41046:108:46
.;)	62965:58284:457:231
/	61876:43705:522:510 51312:26189:1088:773 60024:58036:609:432
:	20037:40196:108:247
_	36502:15243:500:61
__	45737:13558:1720:61
»	62703:48003:392:200
■"	11717:26529:348:61
§	12653:9755:413:386
•	17815:9693:261:185 54775:33115:130:92 52902:33068:130:108 53839:33115:130:77 31536:9739:261:185 32451:9739:261:185 18708:9724:239:154
'•»	59371:58763:892:309
♦	43101:2968:457:293 22716:2875:435:262 24240:2891:435:262
♦'	41555:2705:479:525
1	25155:52610:174:262
1.00	31994:61793:2439:695 22345:11316:1938:371
1.50	26919:60386:2417:711
10	57432:48513:500:185
100	5270:63726:1393:371
106	8167:63757:1350:371
111	10584:44416:348:154 14156:44416:370:154 6991:44416:370:154
12	35544:4962:609:324 33823:30842:653:262
15	36546:30842:631:401 43820:31507:631:401
154,000	27093:40103:3049:525
1852	5444:24906:1176:293
1896	42100:1453:2025:463
19th	26767:35465:1655:510
2.00	31776:60417:2657:680
2:30	37352:4978:1481:324
20	46913:31553:718:262
24	36001:35542:980:494 40401:1437:1088:556
3.00	37134:4019:1437:324
3.50	36197:61840:2635:726
30	27289:12522:892:293
32	2047:49008:849:417
40	51552:17825:980:525
407-4	20843:14949:1894:324
42	28509:52053:762:371
4th	20581:47276:1350:494
5	29533:43906:239:401
6	20734:12476:392:309 12632:10512:457:386
6.45	34782:37536:1393:494
63	5052:5039:696:525
65	2199:9755:958:386
69	24044:14857:784:432
6to	41969:5024:1154:324
7.00	4181:61809:1938:510
7:00	44430:4545:1241:309
707	5488:23993:1045:432
709	8145:23978:1023:432
75	36655:4483:675:309
75.00	7317:61840:2395:510
8	47283:26622:304:371
820	51661:37583:1829:510
9	43493:5039:479:309
9:30	46760:4545:1481:309
96,119	27464:15861:1873:494
97	18294:45576:1154:494 36306:37057:936:401
9th	37112:33857:1154:494
a	36546:53166:784:401 52881:46271:435:278 48764:53800:1023:572 23957:15861:479:417 27703:48869:392:262 20843:5797:326:200 35370:53151:762:401 46760:28322:762:386 25024:42174:392:278 41882:49827:784:386 28335:49441:413:262 41250:52084:762:401 47218:43179:413:262 45062:37753:413:278 39072:44091:631:386 8014:32079:958:633 18229:28492:370:262 9430:30811:479:309 19013:36361:631:417 56823:47462:261:185 35827:40180:392:278 22563:30456:392:278 20233:51450:413:262 61680:46302:1437:541 17859:3926:522:355 42535:26111:392:262
addition	9343:6013:2526:309
address	54645:47864:1894:309 33780:38078:2787:417
again	19993:28925:2003:525
agement	33736:45808:3223:448
ai	40248:12368:958:247
alexan	44713:33950:2526:417
all	46826:38789:892:401
also	18229:43720:1677:401 8080:35759:1285:340
alumni	24131:48127:2787:417 18229:46704:2809:401
amateur	33758:41185:3332:401
america	34782:44045:3354:432
american	31449:3973:3027:340
ampanjj	33736:20206:5619:803
and	33606:59088:1611:510 55690:7080:1132:417 55712:47369:892:262 6773:23978:1110:417 32190:6106:1110:293 59872:46936:936:278 45083:31414:1350:401 26026:45065:1350:401 57977:57542:936:293 10171:61128:1241:324 53599:5287:1110:417 5444:61113:1241:309 52205:50384:914:278 21431:3911:1698:386 41708:4112:1154:278 24327:25849:1372:417 12915:37768:1154:340 27769:5720:1110:324 60373:50492:914:293 29729:60417:1611:541 39595:52069:1350:401 46303:51018:1328:401 34803:30734:1350:386 42688:45854:1328:401 22716:32326:1350:386 38245:5766:1110:293 33693:53136:1372:401 37983:42947:1350:386 60264:48977:914:278
angeles	5336:43349:2047:340
announce	44060:29234:3571:309
any	33736:28291:1350:401 3767:39175:1197:324 53273:47941:914:278
aoo	35914:63355:3920:556
appointed	33736:44602:3702:541
are	52423:48946:784:200 6577:27704:1328:324 21605:42159:1132:278 61331:49070:805:200 6599:30842:1306:309
armory	19710:36949:2962:525
arranged	61440:50507:2265:355
as	33388:6555:609:231 22977:37088:740:293 42884:34599:762:309 37548:45900:718:293 57498:49518:522:200
association	22694:30920:4486:432 21365:46720:4290:417 37787:41216:4508:525 35609:38665:4312:432
at	31428:31863:675:340 24262:42669:718:355 18970:51311:958:401 55712:32852:1067:386 38506:27673:696:371 24393:6987:544:278 40357:12259:936:278 46956:26065:696:371 45846:26637:696:355 28466:43844:718:355 33780:37552:696:355 38593:33903:696:355 24044:52533:696:340 30012:45699:718:355 34564:40041:936:417 31471:37660:675:340
ate	33780:42947:1110:355
athletic	52336:43179:3898:958 53599:58145:2090:309 22933:28384:2787:417
attend	45018:39361:2570:417
attendance	21344:6957:2853:309
b	42252:50971:696:401
baked	25373:32914:2395:401
baldwin	36088:29033:3049:401 39704:38124:3201:448
ballentine	24676:15846:2591:525
ballison	42252:49255:3136:494
ban	30447:42113:1241:401
banquet	18229:46132:3027:525
baseball	49309:51636:3158:309 52380:46766:2265:417
basement	28901:6106:2983:355
be	31950:20144:1067:633 33758:27596:849:417 43341:36454:849:417 46760:44184:849:401 24218:32898:849:401 20407:43164:827:401 31275:34352:849:401 28422:31785:827:401 18186:32867:871:401 27311:46766:871:417
beds	14788:61128:2069:386
been	21474:27797:1742:401 42492:32775:1742:417 18207:30317:1720:401 21932:45576:1720:417 18229:26390:1742:401
benjamin	40619:35032:3571:541
berk	45693:38217:1633:401
bers	33693:50878:1568:401
beta	30447:33795:1677:386
between	40009:31337:3114:432 44474:30255:3136:432
bicycle	7165:39036:2417:448 53556:52919:2678:386 9321:28894:4704:788
bicycles	55516:57526:2286:386
bicyclist	57280:47369:2330:417
bicyoling	57171:7096:3092:572
bider	56518:52966:2352:340
biding	53273:7049:2069:541
billiard	35675:5720:2265:340
ble	48786:49332:718:293
bliss	43363:49843:1894:479
