vale	26962:57328:1165:267
school	28486:57313:1793:282
of	30638:57328:515:267
fine	31512:57328:1143:267
arts	33014:57328:1187:282
doubles	32095:57818:2129:267
its	34582:57818:605:267
enrollment.	35524:57818:2958:267
the	36510:60524:762:297 26962:59558:1008:297 26985:60524:717:297 30055:60048:739:297 37944:61015:739:282 31512:60524:762:312
vastly	28531:59558:1479:356
increased	35120:62457:2330:282 30638:59558:2308:312
elections	33529:59558:2151:312
of	35636:60524:515:297 36286:59558:537:297
these	37429:59558:1255:297
courses	26962:60138:1815:193
by	29136:60048:582:341
students	31176:60048:2017:297
have	33551:60048:1143:297 26985:62457:1143:297 30458:63423:1143:297
shown	35053:60048:1546:297
vividly	36958:60034:1725:356
reflection	28083:60524:2308:297
in	30727:60524:448:297 37205:61015:470:282
university	32610:60524:2689:356
general	37608:60628:806:237 26985:61015:941:282
college	28262:61015:1703:341
movement	30279:61074:2577:237
for	33193:61015:739:297
instruction	34224:61015:2689:297
fine	27007:61491:874:282
arts.	28284:61535:1075:252
indeed,	29786:61505:1793:341
we	38034:63022:649:193 31983:61595:694:208
'have	32879:61505:1322:282
found	34605:61505:1456:267
so	31960:62561:470:178 36465:61595:493:193
many	37339:61595:1344:237
undergraduates	26985:61981:3877:356
who	31243:61981:1008:282
wish	32633:61981:1143:282
to	34157:62026:448:237 31893:63468:470:252
study	35031:61981:1299:341
art	36712:62011:739:252
and	37832:61981:851:267
accordingly	28576:62472:2913:341
greatly	32879:62442:1793:371
our	37877:63498:806:208 32834:63988:829:208 37855:62546:829:193
regular	27029:62948:1793:341
professional	29271:62948:3070:356
student	32812:62933:1793:297
body	35031:62933:1187:341
that	36667:62933:963:297
shall	27029:63423:1143:297
shortly	28419:63423:1725:341
consider	32655:63408:2061:297
expanding	35008:63408:2599:356
quarters,	27007:63959:2196:282
or	29629:64003:493:193
limiting	30526:63884:1972:356
enrollment."	34067:63884:3070:312
■■mill	4168:2690:1658:237
nwna————^^i«^»^^—l	6454:2676:17257:416
richest	4773:3568:7844:1754
in	13223:3701:2241:1367
cream	16114:3538:7082:1575
a	8673:30760:672:416 4303:24962:672:341 23511:57536:470:297 10646:17885:851:490 3832:21617:694:460
bar	11923:17558:2667:832
todaxj	14971:17588:5423:981
5f	5020:18569:1546:877
and	18602:50697:1658:609 6835:18598:2599:758 21023:37554:963:341 18938:35116:1299:341 18557:24620:986:356 6701:49924:1591:431
101'	9637:18584:2868:802
plain	12685:18584:3317:787
or	14725:24159:672:341 16294:18866:1277:490 20328:23311:560:208 20014:24293:537:193 22816:23802:560:193 25079:22315:537:208
almond	17638:18584:5132:802
i	4168:24531:448:579 10937:21617:156:460 17706:25110:112:341 5065:24531:470:446 8315:21617:358:460 2622:21617:313:460
\	5042:21617:762:460
11	9682:21735:672:327
do	15397:21735:739:341
you	16450:21884:963:267
want	17706:21825:1299:252
the	2532:60584:1680:862 16406:25869:1277:356 6522:50816:1636:847 20126:56718:1770:431 19319:21721:806:356
best	20418:21721:1075:356
old-fashioned,	21785:21691:3832:386
ll	2555:22152:784:371
£\	9503:22077:1030:431 3653:22077:1053:460
u	5042:22152:784:401
1	6342:22077:470:446
\j	8359:22167:829:356
mjk	10870:22181:806:327
&j	11990:22077:784:416
luscious,	14725:22226:2241:371
home-made	17526:22211:3115:356
mince	21157:22211:1613:341
pies,	23286:22196:1255:431
_	8023:22984:672:74 6342:22984:694:74 14926:35949:717:59 10646:27326:224:44
__	7239:22984:537:74
english	5154:43308:2644:520 14725:22702:1949:431
plum	16921:22702:1389:356
puddings	18580:22702:2510:416
