track	14318:23506:1571:264
captain	16293:23506:2087:338
to	18740:23564:516:220
speak	19615:23520:1615:338
at	19346:23991:673:279
meeting	20333:23991:2154:352
in	22802:24005:493:279
lampson	23632:24005:2423:352
second	25159:30533:718:191 14947:25652:1773:308 14947:39809:1773:294 25159:28636:718:191 14969:35560:1750:308 14318:30856:875:279 14341:28974:875:264 14924:29445:1773:279 14363:26152:1615:264
heat—won	17214:31341:2872:294 17012:39823:2872:294 16428:28504:2872:294 16608:34634:2872:294 17169:25681:2872:279 16653:38882:2827:294 16765:30386:2850:308 17034:35590:2827:294 17169:37471:2872:294 16787:36530:2850:294 16473:32282:2850:294 17146:29459:2850:279
by	20513:37501:561:338 19638:32311:561:323 19570:28504:605:352 19997:30415:583:338 16495:27078:605:352 20468:29474:583:338 23969:33267:605:352 20468:25696:583:338 20199:39853:561:338 19952:38897:561:352 20199:35604:561:352 20580:31356:605:352 20042:36545:561:338 19929:34663:561:323
macdonald;	21545:25681:3007:367
gill,	25069:25696:1054:367 21051:27107:1009:338
;	15441:28974:201:338 16204:26152:246:323 23834:29445:336:382 15418:30856:224:338
fates,	16675:26152:1458:323
third.	18538:26152:1324:294 18470:36060:1369:308 23229:33737:1346:279 16473:27548:1324:294 19997:32767:1324:279 19009:29930:1369:294 17797:30871:1324:294 18695:31826:1369:279 19076:37015:1369:294 18358:28989:1346:279
70-yard	14902:26578:1907:367 14924:38383:1907:352
dash	17124:26622:1122:279
(finals).	18672:26622:2289:352
won	14902:27063:1211:294 22398:33252:1234:279
kieselhorst;	17483:27063:3209:396
second;	14363:32723:1930:382 22488:27063:1997:396 14363:36045:1930:352 14386:37001:1930:352 18583:33708:1907:338 14341:29930:1885:323 14341:31811:1930:338
macdonald,	14341:27548:1773:338 24822:27122:965:294
600-yard	14902:28019:2199:338
run—	17505:28122:1436:191
first	14947:34619:1211:294 14969:38868:1211:294 14902:28489:1234:294
deßuys;	20446:28519:2109:352
talcott,	22892:28533:1930:367
rianard,	15867:28974:2154:338
clayson	21523:29474:1952:338
biggs,	24530:29474:1571:352
sumner,	16608:29915:2087:367
third	14902:30371:1458:308 14924:36516:1458:294
barres;	20984:30415:1952:352
lyne,	23386:30430:1369:352
davis,	15867:30856:1548:338
fourth	14947:37456:1750:294 14947:31326:1728:279
stevens;	21725:31356:2177:352
smith,	24485:31370:1615:367
bogert,	16563:31811:1840:338
.	14633:32267:134:382
fifth	14902:32267:1256:294
whittemore;	20535:32311:3299:338
perrine	24216:32326:1885:279
mendenhall,	16608:32738:3052:367
300-yard	14880:33208:2221:338
run	17461:33326:852:191
(one	18762:33223:1279:352
heat)—	20401:33237:1975:352
tuttle;	24934:33267:875:294 14341:33678:852:323
ferguson,	15665:33693:2491:338
aitken,	20962:33708:1840:352
60-yard	14880:34164:1885:338
high	17101:38397:1099:352 17101:34178:1077:323
hurdles	18470:34178:1795:294 18493:38427:1817:294
(preliminary	20670:34178:3299:382
heats)	24283:34208:1728:367
sheldon;	20984:34663:2244:352 21051:36545:2244:367
edwards,	23745:34678:2356:352 23745:36574:2356:352
second.	14341:35104:1773:294 14386:37942:1728:279 14363:40294:1750:249 14363:39353:1750:279
brereton;	21096:39867:2491:338 21119:35619:2468:352 21568:37515:2468:338
dc	23947:35634:718:294 16630:37001:695:279 23924:39867:740:308
voe,	24957:39882:1144:352 24979:35619:1144:367 17640:37001:1122:352
game,	24575:37515:1548:352 16608:36045:1548:352
(heats)	20692:38441:1997:367
—	22780:38618:583:44
edwards;	20984:38912:2491:352
sheldon,	23992:38927:2132:367
hockey	1817:52113:2064:338
team	4219:52128:1503:279
will	6037:52113:1099:279
again	7473:52113:1638:338
meet	6935:52583:1324:279
dartmouth	8595:52583:2917:264
sextet	11895:52569:1660:279
has	6171:57067:807:279 1773:54289:785:264
shown	2940:54289:1571:264
as	4870:54362:493:191 9314:54362:493:220 5251:56229:471:176
much	5723:54274:1301:264
ability	7361:54259:1593:352
farrel,	10166:54274:1728:323
1931,	12186:64035:1234:338 6665:63565:1189:323 12299:54259:1189:323
in	1773:54744:426:279 9291:54715:538:294 2356:58449:538:294
kicking	2513:54730:1862:352
away	4690:54833:1301:235
the	5274:62668:740:264 9695:56141:740:264 7137:61257:763:279 6149:56597:740:294 10660:59860:763:279 10570:56597:740:294 8506:58449:740:308 10683:55685:763:264 2625:56141:740:279 6306:54730:763:294 5341:59860:740:279 6688:58934:740:279 7316:60316:785:294
puck.	7361:54730:1301:352
seven	10144:54818:1324:205
games,	11805:54818:1660:249
only	1840:55215:1054:352
six	3299:55215:718:294
goals	4398:55215:1301:338
have	6082:55215:1144:294
been	7608:55215:1122:279
scored	9112:55215:1593:279 7361:57067:1593:279
by	11087:55200:605:352
