boxing	1752:30349:1887:347
tournament	4043:30349:3369:287
is	7818:30334:426:287
marked	7076:30802:2066:302
by	9525:30802:651:347
hard	10559:30787:1370:317
bout	12311:30802:1258:287
freshmen	6425:32555:2516:302
spss-pound	2246:33115:2695:377
class—lv*o.	5234:33115:3122:317
?	8559:33160:134:181
moore	8694:33115:1640:317
defeated	5908:35049:2089:317 10626:33115:2066:317 10581:35533:2089:317 7818:34566:2066:302 10604:34082:2066:302
a.	13008:33115:584:302
d.	1774:33613:584:302 13030:35533:561:302
clark.	2673:33613:1550:302
145-pound	2403:34082:2561:362
class—j.	5324:34097:2156:347
b.	1819:36032:539:302 7885:34097:494:287
tytus	8761:34082:1460:362
r.	13030:34082:539:287
vaughan.	1819:34581:2403:362
t.	4965:34581:561:287
jones	5976:34566:1392:362
j.	10312:34566:404:377
p.	11165:34566:516:287
mills.	12176:34566:1415:302
c.	1797:35064:516:302
h.	2673:35064:629:302 8312:35049:629:302
ericson	3662:35049:1932:317
loomis.	9323:35049:1954:302
158-pound	2426:35533:2538:377
class—r.	5324:35533:2336:302
s.	8065:35533:471:302
bubb	8941:35533:1280:302
mccalmont.	2785:36032:3077:302
a	2358:36530:449:272
list	3257:36515:763:287
of	4425:36515:471:287
the	5302:36515:786:287 11323:37014:763:272
bouts	6492:36515:1325:287
that	8245:36515:988:287
will	9660:36515:921:287
commence	11008:36606:2583:211
this	1774:37014:943:287
afternoon	3055:36999:2426:287
at	5818:37029:494:256
4	6605:36984:269:302
is	7211:36999:359:287
given	7908:36999:1370:347
under	9593:36999:1437:287
university	1819:37483:1729:362 12424:36999:876:287
notices.	3954:37483:1864:302
coach	6537:37483:1527:302
mose	8492:37468:1325:317
king	10222:37468:1303:377
desires	11929:37468:1684:317
all	1774:37966:629:302
men	2718:38072:1010:196
to	4021:38027:516:241
be	4785:37966:561:302
on	5616:38057:606:211
time.	6492:37951:1213:317
pflllllll	1887:39130:1640:513
liiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiih	4133:39070:5818:377
illlllllllillllllllllllllllllllilllllllllllllllllllllllllllllllllllllllllllllllll^	11053:39085:9503:362
j	25589:51448:381:468 25544:43241:426:1466 2021:41095:426:1466 25589:59428:381:1632
her	6178:47730:1123:438 3864:40989:4111:1360
party	8874:40989:5976:1571 14266:46672:1887:423
was	12558:46158:1370:256 20422:47337:1370:241 8357:49997:1347:256 15681:40974:4807:1330
a	5953:43090:1932:1314 8065:47337:381:241 13098:61786:831:498 7256:50587:404:256 10042:49997:381:256
great	8806:43075:6245:1345
success	15906:43075:8110:1345
helen	7076:45977:2111:438
borden	9593:45977:2583:438
under	14311:45992:2044:423
fire.	16760:45992:1303:423
she	14311:47730:1123:438 18849:45992:1280:423
had	20511:45992:1280:423
|	25589:46007:381:528 25589:48410:381:468 25589:56406:381:528 2089:56421:359:528 2066:48365:381:544
attended	6155:46581:3055:423
one	9750:46748:1235:256
bridge	11525:46566:2201:513
after	16670:46566:1662:438
another,	18849:46581:2898:483
each	6155:47156:1572:423 20219:49257:1572:408
little	8739:47156:1595:423
more	10649:47322:1819:256
pretentious.	12783:47171:4201:513
now	17658:47156:1662:423 12671:54214:1527:241
it	19635:47186:494:392
turn.	7593:47836:1684:332
what	9840:47730:1977:438
could	12109:47730:1932:438
do	15726:47745:853:423
that	16872:47730:1392:438
would	18512:47745:2246:423
be	21006:47745:786:423
different?	6178:48319:3369:423
when	7099:49257:2156:408
the	18242:54622:1078:438 6223:51947:1100:438 9660:49257:1055:408
guests	14805:55892:2156:408 11120:49347:2201:408
sat	13704:49347:988:317
down,	15075:49257:2156:483
beside	17658:49241:2179:423
place	6200:49831:1797:528
tray	10761:49922:1437:423
filled	12558:49831:1684:423
with	14580:49831:1572:423
dainty	16490:49831:2269:513
bundles	19074:49831:2740:423
of	12446:54607:718:438 6223:50420:718:423
famous	7998:50405:2606:438
swiss	10963:50420:1977:423
milk	13277:50405:1640:438
chocolate.	15277:50405:3706:438
"it's	7166:51357:1505:438
suchard's	6627:58249:14805:937 9301:51357:3437:438
chocolate,"	13435:51373:4133:483
exclaimed	18265:51373:3572:438
knowing.	7728:51947:3325:528
"helen,	11952:51932:2718:498
how	15120:51947:1550:438
did	17052:51962:1100:423
you	18534:52128:1347:362
ever	20309:52128:1550:256
get	6245:52642:1055:423
all	7638:52536:831:423
this	8851:52536:1235:423 17344:55786:1258:438
wonderful	10446:52521:3662:438
imported	14513:52551:3167:513
chocolate?	18040:52536:3706:438
1	2066:59217:494:1481 2089:53171:359:468 25589:53156:381:453
it's	6245:53111:1055:438
simply	7683:53111:2358:528
delicious!"	10379:53096:3796:438
you,	7121:54033:1729:483
too,	9278:54138:1303:377
can	11053:54214:1190:241
buy	14603:54033:1347:528
suchard's—the	16378:54048:5436:438
finest	6245:54622:1909:423
chocolate	8627:54607:3325:438
europe-—at	13614:54607:4133:528
better	19770:54637:2089:423
candy	6245:55212:2111:513
counters	8604:55302:3032:317
—for	11637:55196:1977:423
only	13906:55196:1527:528
five	15726:55196:1280:438
cents.	17276:55317:1999:332
don't	19815:55212:2021:438
deny	6245:55786:1729:513
yourself	8357:55771:2898:528
or	11637:55952:718:241
your	12738:55937:1662:362
enticing	19006:55831:2853:498
treat.	6245:56451:1819:332
ask	8739:56345:1460:438
