"b"	6166:61652:938:287 6166:61652:938:287
"bob"	20064:28159:1854:287
"de	6613:53449:1027:271
"if	15059:58766:715:287
"monuments"	3105:59718:3396:302
"once	20266:60730:1541:317
"resolved:	59479:59884:2793:302
"the	27550:55926:1273:302
"while	27572:60277:1787:317
$3	45961:35713:692:407 50787:47920:513:377
$6	42878:48403:536:362
(as	15126:53449:960:362
(he	11373:62619:826:362
■was	1787:25878:960:196
0	53513:53751:513:226 63434:57044:268:287
1,800.	61222:20349:1318:332
10	33381:26845:491:302
1-0	61066:11677:1161:619
1-0,	59211:19865:826:347
100-yard	7485:26210:2167:347
1-2	34744:36423:1161:619
1-2-13	32018:36408:2413:649
145-pound	31438:41227:2927:287
1-5	7775:23778:715:317
150-yard	5295:32963:2167:362
1625,	10345:53917:1497:332 12467:56803:1206:377
175-pound	27997:45533:2547:362
19	30834:36408:871:634
1901,	19506:44959:1206:377
1908,	14523:47859:1161:362
1911,	23327:36770:1497:317
1929,	20645:37254:1474:317 32644:21029:1184:362 34029:14276:1497:332 53067:29927:1206:347
1929.	34320:12176:1921:407
19295,	32063:47965:1564:332 46453:28084:1809:332
19295.	32376:46031:1564:302
1930	54251:63691:1072:302
1930,	4960:34882:1206:362 6881:30546:1206:347 6166:32480:1184:347 62429:25123:1206:362 56977:35154:1206:347
19305,	1832:33945:1608:362 5586:22842:1586:347
1930s,	30924:14729:1809:347
1931,	61088:31815:1206:347 62451:28945:1184:362 55256:20832:1184:347
2	4021:23824:245:287
2,	54362:23219:402:362
200-yard	10188:13052:3306:468 11306:22811:2212:332
22.	18657:40608:670:287
24.	21964:38206:782:271
25	24757:9955:1206:876
25.	7909:20409:692:317
27-9	30164:42692:1184:271
29	3597:17584:647:271
29.	6390:21391:692:302
3	52083:53706:290:271 61937:57044:268:287
3,	36152:34142:402:347
32,--000	14434:40109:804:302 25271:39656:670:347
32,000	19461:33326:2480:483
3-5	11931:23748:759:317 5720:14472:1117:423
37	21249:10016:1206:830 6077:20440:536:287
39	6881:23808:536:302
3rd,	60440:63707:960:362
4-0	52664:41514:782:287
4-0.	61200:39580:1027:271
440--yard	12490:30501:782:302 1809:31060:1161:377
48	12825:17025:670:256 4759:21406:558:302
5	32711:23431:223:317
50	1809:26241:536:317
50-yard	3686:24790:1921:347
5-1	57446:17463:782:287 60798:23204:692:317
6	34901:34127:268:287
7,	35057:26830:379:377
8,	33583:17630:379:347
8:15	11395:42662:1094:302
9	32309:17645:245:287
