alliance	1757:2233:2224:299
francaise	4337:2248:2580:284
group	7274:2248:1668:359
to	6317:2728:711:269
hear	7452:2728:1312:269
noted	9142:2713:1557:284
lecturer	11100:2713:2269:284
jeanne	1779:4467:1668:359 1779:10915:1712:299
d'arc,	3803:4467:1534:359
or	5717:4587:511:179
with	6562:4482:1112:284 9387:11379:1090:284
the	7919:10435:978:284 12702:9475:711:284 8653:9490:978:284 5205:9490:734:299 9187:5622:734:284 6985:9970:956:269 6940:9010:734:299 12635:4467:756:299 12702:7301:734:284 1801:10435:978:299 9876:5052:734:284 8030:4497:756:269
mysteries	9142:4467:2335:359
of	12946:11364:489:269 11411:10900:467:284 4404:7886:489:284 11834:4467:467:299 11968:7301:467:284 11879:9475:467:344 4337:5607:489:299 4182:8441:489:299 4382:9490:467:344
bastille.	1779:5022:2024:314
his	4538:5037:912:299
lectures	5806:5052:1913:299
in	8119:5052:422:284 3314:6177:422:284 6473:11844:444:284
all	8898:5052:600:284
important	10989:8426:2424:359 10989:5037:2424:359
countries	1779:5592:2246:314
europe	5138:5607:1801:359
and	7051:7886:867:284 12590:8995:845:299 1801:6761:845:269 12568:10420:867:284 7252:5622:867:299
at	8431:5667:467:239 6206:9070:467:239
louvre	10255:5607:1757:299
museum	1779:6267:1245:194 12346:5592:711:299
paris	4048:6177:1312:299
have	3626:11394:1134:284 5628:6177:1156:299
attracted	7051:6177:2224:299
large	9521:6177:1267:344
audiences	11055:6177:2358:284
gained	3003:6746:1601:344
for	4960:6761:734:269
him	6006:6761:934:269
wide	7274:6761:1134:284
popularity.	8764:6746:2669:344
since	12101:6731:1334:299
february	1824:7316:2335:344
1928	4493:7316:1067:284
he	5828:7316:578:284
has	6673:7316:800:284
been	7763:7316:1112:284
a	9142:7406:266:179
member	9699:7316:1957:284
academy	1779:7871:2335:374
moral	5205:7886:1512:284
political	8230:7871:2068:284
sciences.	10633:7856:2202:299
some	2358:8441:1356:299
m.	5138:8441:667:299
funck-bretano's	6295:8441:4204:299
works	1779:11394:1534:284 1824:9010:1512:299
are:	3626:9115:1001:209
life	4938:9010:1023:359
bastille,	7941:8995:2046:359 6273:9490:2024:344
legends	10255:9010:2091:344
archives	1779:9490:2269:299
affair	9965:9475:1557:344
queen's	1824:9970:1957:344
necklace,	4137:9970:2424:344
brigands,	8342:9955:2402:359
mandrin,	11100:9940:2335:344
lettres	3003:10450:1824:284
dc	5049:10450:533:284
cachet,	5828:10435:1846:344
old	9142:10420:912:299
regime	10277:10420:1890:359
d'arc.	3803:10900:1534:299
english	5939:10900:1913:344
translations	8164:10900:2936:299
these	12190:10900:1245:269
proved	5094:11394:1690:329
favorite	7096:11379:1935:284
readers	10811:11379:1779:284
historical	1779:11859:2335:284
studies	4449:11859:1668:284
popular	7252:11844:1890:344
form.	9476:11844:1334:299
vale	14370:2203:1156:269
swimmers	15949:2203:2669:269
defeat	19042:2203:1757:284
visiting	19286:2698:2068:314
wesleyan	21667:2683:2535:329
team	24514:2683:1468:269
leyan,	14237:4452:1423:344
third.	24603:6387:1334:284 24647:5427:1290:284 15949:4452:1312:299
time	18752:10225:1312:299 24025:8321:1312:284 17863:4467:1290:299 14281:6851:1290:314
1	19464:4467:155:284 25737:8306:177:269
minute,	19954:4467:1801:344 14281:8785:1779:344
56	22067:4452:511:299
2-5	22846:4452:756:299 19887:6851:734:299 17306:8770:756:299
seconds.	18441:8800:1979:269 23936:10240:1957:284 21021:6881:2002:284 23891:4467:1979:284
diving—won	14793:4932:3537:344
by	18730:4947:600:344 20287:9280:578:344 21066:7346:600:359 21021:5922:578:329
bodel,	19753:4932:1557:359
wesleyan;	21733:4932:2691:359
w.	25137:4932:756:299
manuel,	14370:5412:1957:344
1930,	16639:5427:1156:329 23157:6387:1179:359
second;	18708:6372:1890:374 18085:5427:1868:329
peck,	20243:5427:1312:344
wesleyan,	15860:6387:2558:344 21822:5427:2558:344
440-yard	14793:5892:2202:359
swim—won	17440:5907:3114:284
owen,	22089:5907:1579:344
19315;	24180:5907:1690:344
parr,	14303:6372:1267:344 18063:8306:1267:359
duberg,	20866:6387:1979:344
5	15949:6836:222:314
minutes,	16550:6851:2046:359 20821:10225:2046:329
37	18975:6851:556:299
200-yard	14815:7331:2202:344
relay—won	17507:7346:3069:329 16973:9265:3025:344
vale	21155:9265:1134:299 22156:7346:1134:299
(kline,	24158:7331:1779:374
olmstead,	14281:7826:2469:329
pope,	17240:7826:1334:344
scott)	18997:7826:1557:344
;	18530:9730:222:374 20799:7826:266:344
wesleyan	18997:9745:2446:359 21311:7826:2446:344
(frederick,	24247:7826:1423:344 14281:8306:1334:344
boden,	16016:8306:1646:344
peck)	19731:8321:1468:344
second.	21644:8321:1757:284 16461:10240:1735:284
45	16439:8770:511:299
medley	14859:9250:1801:359
(cahill,	22668:9250:1868:374
millard,	24870:9265:800:284 14281:9745:1090:329
howland)	15749:9730:2535:359
(staples,	21845:9745:2180:359
hahn,	24403:9745:1490:344
bailey)	14303:10225:1801:329
3	20332:10225:222:284
14	23157:10225:511:284
rev.	1779:13104:1156:269
dr.	3292:13104:823:269
robert	4471:13089:1846:284
norwood	6651:13089:2424:284
to	6250:13553:711:269
talk	7340:13553:1245:269
here	8920:13553:1312:269
tomorrow	10611:13538:2825:284
from	1801:15292:1201:284
the	3136:19700:956:299 3247:15292:756:284 4827:20750:756:284 8075:18261:734:284 9965:17781:956:284 3892:18261:956:284 4048:18741:978:284 6584:17781:734:284 6940:19221:934:284 10855:18261:956:284
university	4271:15278:2669:344
of	6985:18741:467:344 7274:19700:467:344 9521:20270:489:299 5049:16252:467:269 5828:17766:489:359 13035:17766:444:359 7185:15278:489:299 10499:19221:489:359
pennsylvania	7963:15278:3314:344
in	4048:20735:444:284 11545:15278:422:284
1926.	12301:15278:1134:284
he	2380:15757:756:284
came	3448:15862:1245:194
to	5005:15817:467:239
new	5828:15757:1134:299
york	7296:15757:1312:284
city	8942:15757:1045:344
after	10299:15757:1179:284
having	11790:15757:1646:344
been	1801:16252:1090:269
rector	3136:16252:1690:284
st.	5761:16252:645:284
paul's	6673:16237:1490:284
church,	8431:16237:1935:344
overbrook,	10633:16237:2802:344
philadelphia.	1824:16717:3270:359
among	2380:17287:1846:359
his	3114:17766:956:314 4649:17302:689:284
poetical	5761:17287:1913:359
and	6873:18261:889:284 8097:17302:867:299 1846:19700:867:284 4115:19221:867:284
religious	9387:17287:2135:359
works	11968:17287:1512:299
are:	1801:17766:1045:359
lady	4293:17766:1267:359
sonnets,	7541:17766:2135:359
witch	11233:17766:1512:299
endor,	1801:18261:1735:329
piper	5183:18261:1379:344
reed,	9120:18261:1379:329
modernists,	12123:18261:1023:284 1846:18741:1779:344
man	5405:18741:1156:284
kerioth,	7830:18741:2113:344
bill	10344:18741:912:284
boram,	11656:18741:1824:344
mother	1824:19206:1913:299
son,	5383:19221:1112:344
heresy	8275:19221:1824:359
antioch,	11367:19221:2113:344
mountain	4449:19685:2424:299
god.	8141:19685:1090:314
there	2402:20255:1490:299
will	4337:20255:934:299
be	5717:20270:511:284
a	6673:20360:266:194
service	7385:20270:1712:299
holy	10455:20270:1267:359
communion	1846:20735:1824:284 12168:20270:1001:314
chapel	5961:20750:1690:329
at	7986:20810:467:239
9.	8786:20750:378:299
classified	28073:2024:3537:284
advertisement	32011:2009:5227:284
susan	26872:2983:1490:314
c.	29964:18681:489:299 28963:2983:489:314 33212:22159:511:314
bradley,	30075:2983:2091:344
public	32634:5547:1579:299 32789:2968:1601:284
stenographer.	34992:2968:3514:359
thesis	26894:3388:1557:299
work,	28874:3388:1601:329
multigraphing,	30898:3358:3781:359
mimeographaig,	35103:3358:3114:359 26850:3883:867:254
notary,	28029:3778:1913:359 28095:6372:1935:329
109	30276:3763:756:299
