strong	2064:8012:3108:627
princeton	5505:7982:4484:642
teams	10367:7967:2619:627
to	4528:8849:1021:612
meet	5883:8834:2131:627
yale	8302:8834:2064:627
on	10656:8819:1065:642
mat	12032:8804:1687:627
tigers	2109:10224:2242:508
wrestlers	5083:10194:3396:448
show	9190:10194:1975:433
more	11877:10194:1842:403
impressive	3019:10882:3796:508
record	7681:10852:2508:433
than	10989:10837:1887:433
bulldogs	3885:11525:3085:508
can	7192:11540:1420:418
produce.	8857:11510:3085:433
star	2797:12661:1687:343
captains	4750:12646:3174:358
will	8236:12646:1576:358
grapple	10123:12631:2908:358
b.	2064:13633:510:269
c.	2930:13618:555:284
miller,	3840:13618:1731:328
1928,	5971:13648:1465:298
intercollegiate	7792:13618:3862:328
champion	12010:13603:1731:269
for	4195:14111:777:254
last	5217:14111:1110:254
two	6549:14111:1154:254
seasons,	7947:14096:2220:313
will	10434:14081:1065:284
oppose	11766:14081:1975:328
captain	2775:14589:2086:328
graham,	5416:14574:2286:328
princeton	8058:14589:2597:269
mainstay,	11188:14560:2553:328
in	2775:15068:488:269
tomorrow's	3552:15053:3285:284
principal	7104:15038:2419:358
bout.	9812:15038:1376:284
slightly	2708:16010:1975:328
the	2064:24515:777:269 8635:42409:999:298 7192:16473:754:284 9546:18356:754:284 2908:21197:754:284 10167:39120:754:284 2086:36728:754:298 6926:24500:754:284 8191:20240:754:298 11921:21182:754:284 8080:29688:777:284 2109:18371:754:284 6593:22138:754:298 5061:16010:754:269 5483:38149:754:298 5461:30151:754:298 6482:18356:754:298 10389:27804:777:284 7614:28267:799:298 2109:34845:754:298 2109:17908:754:269 5527:23544:754:298 2109:19313:754:284 11233:26384:732:284 11699:32976:754:284 6082:40989:754:284 11433:16936:754:284 6327:30629:732:284
favorite	6193:15995:1953:284
because	8502:15995:1864:284
of	10278:32035:488:298 10744:15980:488:284 13320:17863:466:298 8924:33440:488:298 2086:31093:488:284 2064:38627:510:269 13320:36743:466:298 11077:34860:466:298 10123:37222:488:284 3640:20718:488:298 8813:18356:466:284 5994:24500:466:284 6216:39569:488:298 10345:26384:488:284 7947:34381:510:284 3840:25921:488:284 2086:38149:488:284 7215:29688:488:284
its	11610:15980:577:284
more	12565:16069:1221:194 6593:23648:1265:194
impressive	2131:16473:2619:358
record,	5106:16488:1731:328
princeton	11366:19298:2419:269 11965:23065:1576:298 8325:16458:2442:298 2064:23603:799:239 10323:41467:2464:313
university	11122:16443:2664:343
wrestling	2109:16951:2575:343
team	4972:16936:1443:298
will	6704:16936:932:298 3885:20240:910:298 11655:42424:932:298
face	7947:16936:954:298
vale	9235:16936:1132:298 2064:24022:1176:284 9013:41931:1176:313 3840:26847:1154:298
in	13275:34396:510:269 10300:25906:444:284 8968:21182:444:284 13253:36280:532:284 8058:24022:466:284 13364:18805:421:284 10700:16921:421:298 2086:21197:444:284 10833:32976:532:284 9279:39105:532:284 10611:41931:444:298 4617:41916:466:284 5527:30629:532:284 4551:38149:532:284 7459:35787:466:284 13253:31571:532:284
gym.	12498:16921:1287:343
tomorrow	2974:42902:2486:254 2109:17475:2486:224
afternoon	4995:17415:2397:284
at	8214:17923:444:239 10522:19343:466:239 7792:17460:466:239
3:30.	8635:17415:1221:284
preceded	10567:17415:2264:269
by	2974:27326:577:343 13231:17400:555:343 2042:40974:599:358
freshman	3241:17893:2530:284
contest	6105:17923:1753:254
2,	9013:17878:377:358
this	9768:17878:865:284
meeting	11011:17878:1953:343
old	3130:18356:754:298
rivals	4151:18356:1398:298
is	13408:41482:355:298 5838:18356:377:298
first	7548:18356:976:298
season;	10611:18431:1842:224
they	4440:26384:1287:343 12742:18342:1043:343
are	3596:42484:799:194 2109:18925:777:194
scheduled	3196:18835:2397:284
to	5905:18880:466:239 8280:30211:466:239 7459:19343:466:239 2086:28791:466:239
oppose	6704:18925:1642:254
each	8658:18820:1110:298
other	10078:18820:1287:284
again	11699:18820:1332:328
intercollegiates	3219:19298:3885:343
be	5106:20240:532:298 8280:19298:532:284 9057:30151:532:298
held	9146:19298:1043:284
on	10411:34486:599:194 8769:32603:577:194 2109:19881:577:179
march	3174:19777:1642:284
16	5328:19777:510:284
and	7459:20718:888:284 4662:40525:888:284 8480:25442:888:298 4484:33918:910:284 2042:40032:888:298 5305:22138:888:284 12920:41960:865:298 9523:38642:865:284 7348:35323:910:298 5083:25442:888:284 10056:31108:888:284 7947:25921:888:284 6282:19777:888:284 6704:28731:888:298 8924:36280:888:284 7792:23080:865:284 7992:27326:888:284
17.	7659:19762:621:298
tomorrow's	9035:19762:3130:298
chief	12631:19747:1154:313
match	2086:20255:1531:284
between	5905:20240:2020:298
two	3352:33948:910:254 2086:22198:932:239 9213:20300:932:239 5483:41960:932:254 9035:26414:910:254 3418:40555:932:239
captain,	10411:20225:1931:358
graham,	10678:36743:2153:358 2086:20718:1176:343 12654:20225:865:298
princeton,	2109:37207:2575:343 2086:35368:932:284 7126:39569:2575:373 2908:38627:2575:328 11211:32035:2575:328 4528:20718:2553:343 9901:33440:2575:343 3019:31093:2575:358 11965:34860:1576:298
b.	8702:20718:532:284 11410:35338:510:284 4351:37685:488:284
c.	9634:20718:488:298 5150:37670:510:298
miller,	5971:37670:1709:358 10500:20718:1709:328
1928,	7992:37685:1176:358 12609:20703:1176:343
158-pound	3396:36728:2530:358 4084:21182:2530:358
class,	7259:21182:1309:358 6415:36728:1287:358 6193:34845:1287:358 4062:33440:1309:343 6238:32035:1309:358
which	2064:26847:1509:298 10056:21182:1509:284
eli	13075:21167:710:298
star	2086:21720:954:239
has	3485:21675:799:284 10101:39584:799:284 2086:34381:821:284 12942:40062:843:298 4528:36265:821:298 3529:24022:821:284 5838:38627:821:284 6482:32976:821:284 2086:39105:799:269 2064:32513:821:269 3396:35323:799:284 3174:23544:821:298 12964:33440:821:298 5128:37207:843:284 5239:26847:843:298 9479:37700:799:269 6038:31093:799:284 8769:31571:821:298
been	4728:21675:1087:284 11188:26847:1110:298
intercollegiate	6260:21660:3574:343
champion	10256:21645:2397:358
for	13075:23529:710:298 13075:21645:710:298
years,	3396:22228:1465:254
tiger	7792:22124:1398:358
runner-up	4195:35891:2508:254 10012:22213:2508:254
last	8413:35787:865:298 12920:22124:865:284
season.	2086:22707:1731:194
with	2641:23080:1332:284
five	4240:23080:865:284 8769:31093:865:298 4684:32498:888:298
victories	5372:23065:2153:298
one	8924:23185:843:179 8347:38717:821:209
defeat,	10034:23065:1620:343
had	4329:23559:888:284
successful	8214:23544:2442:298
season,	11011:23633:1709:254
broken	4617:24022:1731:284
even	6660:24112:1110:194
four	12720:39584:1065:284 12765:37700:1021:284 5949:35323:1043:284 8791:24022:1043:284
meets.	10123:24067:1509:239
among	11965:24022:1820:328
triumphs	3285:24485:2242:358
new	8147:24500:1154:284
jersey	9768:24500:1598:343
matmen	11832:24530:1953:239
were	2064:25068:1221:194 10212:40630:1176:194
those	3729:24964:1287:298
over	5461:25068:1110:194
brooklyn	7037:24964:2353:358
uoly,	9834:24964:1376:358
rutgers,	11655:24964:2131:343
lafayette,	2086:25427:2530:358
army,	6415:25427:1598:358 2109:27804:1598:343
a	9812:25532:266:194 2641:29688:444:269
notable	10522:25427:1798:298
31-0	12765:25427:1021:298
defeat	2042:25921:1531:284
washington	4595:25906:3085:343
lee	9146:25921:865:284
their	11011:25906:1176:284
latest	12476:25906:1309:284
match.	2086:26384:1642:284
have	6127:26384:1176:284
met	7703:26429:910:239
teams	12365:26414:1420:254 9923:42454:1420:254 6526:30211:1420:239
also	6327:26847:976:298
faced,	7548:26847:1420:358
having	9257:26847:1687:358 9213:27326:1709:343
beaten	12565:26847:976:298 2064:27415:577:209
lehigh,	3907:27326:1909:343
11-12,	6216:27326:1398:343
conquered	11255:27326:2530:343
13-12.	4173:27789:1420:298
against	6327:27789:1975:358
these	8724:27804:1265:284 4662:41452:1287:298
bulldogs	11610:27789:2175:358
accomplished	2086:28267:3330:358
about	5838:28252:1376:313
same	8813:28357:1243:209
score,	10478:28357:1398:254
losing	12321:28252:1465:358
lehigh	2908:28731:1776:358
11-18	5083:28731:1265:298
overcoming	7925:28731:2930:358
army	7192:40989:1465:358 11233:28731:1465:358
18--15.	2131:29209:621:284 13075:28731:488:298
consideration	3485:29673:3352:298
individual	9235:29673:2464:298
opponents	12099:29777:1420:254 2064:30211:976:239
reveals	3396:30151:1731:298
almost	4684:42394:1642:284 9879:30151:1665:298
perfectly	2064:30629:466:343 11854:30151:1709:358
matched.	2775:30629:2197:284
115-pound	7348:30614:2530:358
class	9634:38163:1198:298 2042:39569:1198:284 10123:30629:1176:284
macßae,	11588:30629:2197:328
won	3263:32603:1043:179 10567:37805:1021:164 3285:34471:1065:194 2042:40600:1065:194 6438:37311:1021:179 5772:36355:1043:209 2086:34008:1043:179 7281:31197:1021:179 6993:38717:1043:209 11322:39688:1021:179 4573:35413:1021:194
lost	8591:35323:910:298 7614:32961:888:298 10234:36265:888:298 5860:40510:910:298 10722:38627:888:298 5616:33918:888:284 11366:31108:888:284 10034:31571:888:284 3241:40032:888:298
one;	12676:31093:1087:358
a,	2086:31556:555:298
k.	2997:31556:688:298
randolph,	4129:31571:2553:343
1930,	4972:32961:1198:358 7148:31571:1176:343
four.	11344:31571:1176:284
ffii,	2064:32005:1021:388
125-poimd	3263:32020:2575:373
taylori	7992:32005:1864:388
bouts,	5949:32498:1465:358
all	7792:32498:599:284 7903:37207:599:284 11854:37700:599:269
falls;	9723:32498:1398:358
j.	11455:32513:399:343
whitridge,	2064:32961:1443:358 12254:32498:1243:298
jr.,	9923:40047:799:358 3818:32976:799:343
three.	8791:32976:1420:284
135--pound	12787:32961:754:298 2086:33440:1509:343
whitaker,	5860:33440:2575:343
two;	4417:40092:1176:298 9834:35323:1243:358 6726:33948:1198:313
r.	8169:33918:555:284
e.	8991:33918:532:284
sargent,	9812:33918:2109:343
19305,	12210:33918:1576:343
four,	4728:34381:1154:343
three	7215:36265:1309:298 6304:34381:1265:284 2042:42379:1265:298
them	8791:34381:1243:284
falls.	11366:34396:1221:269
145-pound	3263:34830:2553:373
hunsicker,	7903:34845:2752:358
dodd,	12321:35323:1465:358
19295,	2131:35787:1576:358
year's	9745:35802:1465:358
intercollegiates,	2086:36250:2020:358 11699:35802:1864:298
one.	11566:36370:954:194 7081:40615:954:194
captain	2109:37670:1931:358 8236:36728:1931:358
six	8968:37207:710:298
his	11033:37222:688:284
bouts;	12187:37207:1576:358
his.	2997:38134:821:298
175-pound	6704:38134:2530:373
brodhead,	11255:38163:2530:358
two,	11455:42005:1043:298 11899:38702:1065:284
as	5772:42962:510:194 13297:38732:488:209
w.	7015:40047:754:298 5927:40032:777:313 3263:39090:732:284
h.	4395:39105:621:269
wade,	5394:39105:1598:343
1930.	7414:39105:1176:284
unlimited	11299:39120:2486:298
barfield,	3640:39569:2175:358
blunt,	8080:40047:1531:358
19285,	11077:40062:1576:343
both	8680:40525:1221:298
defeated	11721:40540:2064:298
hammack,	2997:40974:2708:358
heavyweight.	9013:41004:3307:343
from	2641:41437:1420:298
comparisons	6571:41452:3085:358
stronger	2086:41960:2131:298
classes,	6793:41931:1820:358
equal.	6615:42394:1420:358
line	12876:42424:888:298
up	2064:42947:577:254
follows:	6593:42857:2064:343
115-pounds—randolph	2641:43321:5794:373
(y)	7881:45713:932:343 8325:44292:954:358 7570:46176:954:373 7814:44756:976:373 9013:43829:954:358 8813:43336:954:373 7992:45234:932:358
;	9057:45668:222:433 9035:44741:244:403 8769:46146:266:403 10012:43440:111:269 9479:44248:199:433 10167:43784:222:418
mcßae	10478:43366:1776:298
(p).	11721:46206:1132:343 12631:43366:1132:373 12631:44801:1132:343 12654:43844:1132:358 12343:45728:1132:373 12076:45264:1110:358 12609:44307:1154:373
125-pounds—whitridge	2641:43784:6016:388
taylor	10589:43829:1731:358
125-pounds—sargent	2641:44248:5372:388
whitaker	9879:44307:2442:298
145-pounds—dodd	2641:44741:4728:343
hunsicker	9523:44771:2641:298
158-pounds—miller	2641:45204:4950:358
:	9168:45204:222:418
graham	9634:45234:2020:313
175-pounds—wade	2641:45668:4839:373
brodhead	9523:45728:2419:298
unlimited—blunt	2619:46146:4528:328
barfield	9279:46191:1998:298
debating	14652:7922:5727:508
plans	20757:7907:3507:508
are	16672:8595:2197:478
announced	19314:8550:6970:523
dartmouth	14652:9746:2930:328
invades	18048:9731:2086:343
lampson	20601:9731:2442:418
tomorrow	23510:9716:2775:343
to	15318:10269:510:298
argue	16472:10224:1620:418
against	18559:10209:2086:433
alfred	21267:10194:1709:358
