madame	14555:51510:2244:262
jeritza	17133:51495:1755:277
will	19200:51481:1088:292
sing	20289:51948:1133:336
in	21756:51963:466:262
woolsey	22556:51948:2266:321
hall	25156:51934:1088:292
mcr	16978:53731:933:160
(lighter	18356:53614:2155:350
far	20867:53614:711:277
is	21956:53614:355:277
now	22667:53716:1044:175
my	24045:53716:755:233 17178:59136:844:350
slumber)	16955:54081:2200:336
johannes	21733:54081:2266:336
brahms	24311:54081:1955:277
(b)	16178:54549:777:336 16133:57295:800:365 16133:60524:755:336
erl	17333:54549:844:277
konig	18533:54549:1555:350
(erl	20533:54549:1088:336
king)	21978:54549:1533:321
franz	22400:55016:1466:262
shubert	24289:55016:1955:277
mme.	18644:59603:1377:277 18689:55469:1377:277 18644:62364:1377:306
jeritza	20333:59603:1711:350 20289:62364:1711:350 20400:55469:1711:336
intermission	17911:55922:4911:292
4.	15089:56404:377:262
(a)	16111:60056:777:350 16155:56389:755:336
infidelite	17333:56389:2222:336
(infidelity)	20022:56389:2822:350
reynaldo	22089:56842:2355:350
hahn	24800:56857:1422:277
au	17311:57295:755:292
pays	18356:57310:1244:336
(the	20000:57310:1244:336
soldier's	21578:57310:2133:292
song)	24067:57310:1488:350
augusta	21867:57777:2066:321
holmes	24289:57777:1911:292
(c)	16133:58216:755:350
trees	17311:58230:1400:277
oscar	22222:58230:1466:277
easbach	24089:58245:2111:262
(d)	16133:58668:777:350
spring	17333:58668:1688:365
dropped	19400:58683:2177:350
a	21956:58785:266:189
song	22600:58683:1244:350
into	24245:58698:1022:277
heart	18356:59136:1533:292
..	20422:59136:1044:350
beatrice	21978:59136:2088:292
fenner	24445:59150:1755:292
5.	15067:60042:355:306
spanish	17289:60056:1977:350
dance	19578:60071:1555:277
granados-kreisler	21489:60056:4711:292
introduction	17311:60524:3133:292
and	20889:60538:844:277
tarantella	22222:60524:2577:306
sarasate	24045:60991:2133:292
6.	15044:61444:377:277
aria:	16044:61444:1466:292
"suicidio"	17822:61444:2577:292
from	20756:61444:1200:292
la	22289:61459:644:277
gioconda	23311:61459:2288:277
(to	17378:61912:977:336
die	18800:61912:733:292
now)	19978:61912:1266:350
ponchielli	23667:61912:2488:292
yale	2333:2293:22:14
daily	2333:2293:22:14
news	2333:2293:22:14
"thb	3822:4280:1200:219
oldest	5533:4280:1555:219
college	7533:4280:1800:233
daily"	9822:4280:1600:219
founded	4155:4557:1955:219
january	9666:5302:1755:277 6600:4543:1911:292
28,	9044:4572:600:262
1878	10200:4572:955:204
entered	2333:5302:1688:219
as	4288:5376:422:146
second	4955:5302:1400:219
class	6622:5302:977:219
matter,	7866:5346:1511:233
2,	11711:5317:333:248
1910,	12378:5302:1066:262
at	1822:5609:377:204 6000:5624:377:175
the	12800:5580:644:219 2466:5595:644:204 11333:17121:622:219 11222:17413:644:204 2377:16069:800:233 3688:17662:622:219 3488:17384:644:219
post	3355:5595:933:219
office	4555:5580:1177:233
new	6666:5595:933:219
haven,	7866:5595:1533:248
conn.,	9689:5580:1355:262
under	11333:5595:1200:204
act	1844:5858:733:219
of	2911:5858:400:219 6777:15061:422:219 3022:17647:422:233
march	7044:20189:1733:336 3666:5858:1355:219
3,	9222:20189:466:394 5377:5872:333:262
1878.	6089:5872:1044:219
lloyd	4044:6603:1222:277
hilton	5644:6603:1355:219
smith,	7422:6603:1377:277
chairman	12178:17399:1111:233 1844:17720:888:146 9200:6603:2088:233
joseph	2355:6880:1400:262
edwin	4177:6880:1355:233
lowes	5955:6880:1311:233
jr.,	11489:11438:688:277 5511:11979:711:277 11466:11161:711:262 6444:8005:733:262 7911:7158:711:277 7666:6880:711:262 8089:13863:733:262 5311:10868:711:277
business	8800:6880:1888:233 8866:8005:1911:219
manager	11089:6880:1911:262 11066:8005:1933:262
fred	2377:7158:1000:219
albert	3800:7158:1355:219
simmons	5577:7158:1911:219
managing	9044:7172:2155:262
editor	10555:7450:1400:219 11622:7172:1377:219
erwin	3400:7435:1333:233
hall	5044:7435:911:219
steif,	6289:7450:1155:262
assignment	7755:7450:2533:248
paul	4400:7713:955:219
mellon,	5777:7713:1555:277
vice-chairman	7777:7713:3177:233
robert	2355:7991:1422:219
patterson	4088:7991:2044:233 9155:11161:2022:233
asst	7489:8005:955:219
editors	4422:18699:1866:277 8089:10605:1733:219 6822:8736:1733:233
g.	7733:9568:422:233 1844:8984:466:233
k.	2666:8999:488:233 5977:9860:466:219
costikyan,	3511:8999:2222:292
1929	4733:9583:911:219 5555:9305:955:219 11778:9042:911:204 6133:9028:888:204 11511:9597:911:219 12555:9305:911:219
h.	7711:12548:466:219 7711:11438:511:219 7733:9028:488:219 2577:11964:511:233 1844:12519:533:233
y.	8577:9028:466:219
z.	9400:9028:400:219
hyde,	10133:9028:1266:262 4600:19152:1488:350
r.	1844:9276:466:233 7689:12285:444:219 1844:10839:466:233 8422:11161:377:233 1822:11131:466:219
c.	2711:9276:400:233
crisler,	3555:9291:1577:262
i.	7711:9305:311:219
n.	8355:9305:488:219
p.	9200:9305:400:233 7711:11993:400:219 1844:11964:422:233
stokes	9955:9305:1333:233
11,	11644:9305:533:262
w.	7689:12841:600:219 1844:12811:622:233 2644:11146:622:219 1844:9554:600:233 7711:11716:600:219
dodge.	2866:9554:1444:292
b.	8533:9583:422:204 2688:11701:422:219
tweedy,	9333:9583:1777:277
j.	7689:10883:333:262 5222:9860:355:262 7666:11161:355:262 8555:12548:333:277
beeson,	6822:9860:1600:262
1929s	8822:9860:1244:233
associate	5511:10591:2222:233
m.	2711:10854:511:233 4466:14126:555:233 3511:14126:555:219 8489:12285:555:219 1844:11409:533:233
calfee	3644:10854:1311:233
1930	6555:12008:933:204 5777:12563:933:204 11289:10898:911:204 5844:11716:911:233 5822:11453:933:204 5022:12285:933:204 6422:10898:933:204 5844:12841:911:219 12533:11453:933:204 10422:11730:911:219 5066:11161:933:219 12533:11161:933:219
ml	8377:10883:533:219
musser,	9244:10883:1666:277
elhs,	3600:11146:1088:262
f.	2822:11409:400:233
hanson,	3644:11424:1733:277
