alumni	1776:60038:1931:269
fund	4107:60053:1354:269
gave	5838:60053:1332:254
to	7525:60083:510:209
vale	8436:60023:1154:269
$571,000	5505:60518:2575:314
during	8436:60503:1887:329
last	10700:60503:1110:284
year	12165:60503:1243:284
gifts,	1776:62030:1198:344 8769:62030:1221:329
legacies	3352:62030:1887:344
and	5461:63453:888:299 5572:62030:865:284
special	6793:62030:1642:329
is	3485:62974:355:299 6704:63438:355:299 10345:62030:355:269
a	11033:62120:266:179
part	11610:62075:1021:284
of	7170:62959:488:314 10700:62959:488:299 12920:62030:488:284
the	10101:62494:976:284 1776:62509:732:284 8058:62974:732:284
university	3019:62509:2664:359
endowment.	6193:62509:3130:269
income	11610:62494:1798:284
fund	1776:62989:1309:284
comprised	4240:62974:2530:359
gifts	9213:62959:1110:359
non-reunion	1776:63438:1354:314 11566:63063:1598:194
classes	3463:63453:1665:299
applied	7414:63438:1776:359
to	9523:63498:444:239
general,	10323:63438:1975:359
not	12631:63498:777:239
specific,	1776:63917:1931:374
purposes.	4151:64022:2308:269
last	14918:9704:1087:284
year	16428:9794:1065:254
gifts	17937:9704:1110:359
from	19469:9704:1198:299 21645:10647:1198:299
reunion	21112:9704:1887:299
and	16250:10662:865:284 25241:18300:865:269 24264:17806:865:284 16583:18270:888:284 24020:10183:888:269 23421:9704:865:284 16650:11127:865:299
other	24708:9704:1287:284
classes	14385:10183:1642:284
amounted	16450:10198:2419:269
to	16028:15455:466:224 25552:13074:488:239 19558:10228:466:239 14474:17357:444:239 22244:12609:444:224 20845:11651:444:239
$571,894.93,	20424:10168:2908:374
bequests	25286:10168:532:284 14385:10707:1509:314
gifts,	17493:10647:1243:374
the	21889:17806:754:284 16849:15410:732:284 22511:11127:732:284 15850:17791:732:269 21001:18270:732:284 18470:15889:732:284 20113:16368:732:284 17982:11127:732:299 16605:16833:754:284 15273:17312:732:284 14363:13508:732:284 23487:13987:732:269 19114:10662:754:284 14430:15889:732:269 23665:16368:754:284 18714:13508:732:284 17693:18734:732:299 21201:16848:754:284
gain	20246:10647:1043:374
sale	23243:10647:910:299
of	22022:18749:488:299 20313:16833:488:299 16672:14916:488:299 22289:14451:466:299 24509:10647:488:284 16849:18734:466:284 23754:11606:466:284 17915:13508:488:284 17649:15874:488:284 22932:16368:466:284
securities	25374:10737:444:194 14363:11127:1820:299
interest	19180:11127:1864:299
on	21489:11232:577:179 21067:15994:577:179
