outdoor	14362:38424:2226:269
rowing	16946:38424:2026:343
cancelled	19350:38424:2627:298
because	18905:38917:2115:269
of	21444:38917:512:269
bad	22357:38917:979:269
weather	23715:38917:2293:269
19285;	14385:40636:1692:328
no.	16478:40636:890:283 14429:49140:846:283 21978:44925:868:269 24339:41129:868:283 22290:46345:868:283 21822:48706:846:283 16211:44895:868:283 20286:41592:868:298 16589:48676:890:298 20664:44447:868:283 24450:48243:846:283 25207:43505:846:283 22891:40651:868:283 16144:42055:868:283 23181:46823:868:283 14429:48183:868:298 19573:49169:846:283 18816:46793:868:298 14429:46763:846:298 18950:48213:868:283 18059:46315:868:283 22958:42085:868:283 19707:43954:868:283 17992:41114:868:283 15765:47256:846:283 18393:43475:868:298 14407:46300:868:283 14385:44402:868:283
2.	17725:40636:400:313
rodgers,	18504:40636:2249:358
1928;	14429:44880:1291:343 16188:41114:1269:313 21154:40651:1313:328 14407:42055:1291:328 22535:41129:1313:343
3.	24183:40651:356:298
paschall,	14362:41099:1291:328 24962:40651:823:298
4,	25741:48243:356:343 21021:43968:378:328 23403:46345:400:343 19306:41129:400:343
griggs,	20197:41114:1803:358
s,	25697:41114:356:358
sutherland,	14385:41562:2850:358
19295;	16211:43475:1670:328 17769:41562:1959:403
6.	21644:41607:356:298 20063:46793:356:313
bartholomew,	22513:41607:3540:358
7.	17524:44880:334:313 17435:42055:356:313 15765:49140:356:313
blagden,	18193:42055:2182:358
19305:	20798:42070:1692:313
8,	16990:47256:378:313 24227:42070:356:373 20909:49169:356:328
palmer,	25051:42085:779:298 14362:42623:1068:239
1930:	15854:42534:1313:298
cox,	17569:42534:1135:343 24962:49199:1135:343 16233:45358:1113:358 20887:47271:1135:343
stewart,	19106:42549:2115:343
1928.	21644:42549:1180:283
second	14986:47720:1759:283 14964:42997:1736:298
university	17213:42997:2672:373
crew—bow,	20397:43012:3206:358 19774:45852:3206:358
trommald,	14385:43460:1313:358 24428:43042:1336:283
2,	15543:46315:356:328 19707:43490:400:328 15743:48198:378:328
graetzer,	20575:43490:2315:328
1930;	14429:45358:1313:328 20197:44925:1313:328 23381:43505:1313:313
3,	20286:48228:356:313 14385:43954:356:298 19172:46330:378:298
silliman,	15231:43939:2226:358
1929;	24784:43983:1269:343 17925:43954:1291:328
cushman,	21867:43968:2427:343
