rowell	1803:8381:3273:609
criticizes	5500:8381:4275:624
last	10198:8396:1959:609
number	2761:9228:3340:609
of	6502:9243:979:594
yale	7882:9243:2048:594
record	10310:9228:3162:609
march	1825:10536:2249:430
issue	4409:10550:1759:416
is	6524:10550:578:416
characterized	7459:10550:4854:416
by	12648:10550:846:490
former	2716:11204:2649:416
1926	6368:11219:1714:401
managing	9063:11204:3562:505
editor	4075:11858:2204:416
as	6658:12022:690:252
excellent.	7727:11858:3518:416
humor	2538:12973:2382:341
is	5299:12973:578:341
rather	6257:12988:2649:326
malicious	9308:12973:3496:341
critic	1825:13924:1491:282
takes	3696:13924:1603:282
up	5656:13924:757:356
bludgeons	6814:13939:2738:341
with	9931:13939:1269:282
author	11579:13924:1937:282
of	2516:14414:512:267
tirade	3295:14414:1781:267
against	5366:14414:2093:326
yale	7727:14414:1180:282
professor,	9196:14414:2672:326
1928	12202:14414:1313:267
model;	2516:14875:1825:326
says	4743:14875:1202:341
drool	6346:14890:1514:267
is	2516:15350:423:267 8261:14905:445:252
fair,	9085:14890:1224:326
but	10710:14890:912:267
verse	12002:14890:1514:267
mediocre.	3184:15350:2672:267
{h.	2471:16287:912:341
t.	3874:16302:512:282
rowell,	4832:16302:1937:341
1926,	7237:16302:1202:326
instructor	8884:16302:2583:297
in	4008:34268:445:297 9397:26243:534:282 5544:27179:467:282 13071:16777:467:282 11913:16302:445:282 6301:30969:445:282
the	10310:26258:734:282 4898:28606:757:282 12804:23405:779:297 3095:30018:757:297 5678:18664:757:282 12848:26243:757:312 8795:34283:1002:297 8573:31459:757:282 1848:17238:734:297 12826:16302:712:282 4921:21027:757:282 9686:19630:734:282 4832:34283:757:297 10889:28621:757:297 1870:29542:757:297 5678:20566:779:282 7548:29557:779:282 8439:21978:757:297 5633:22454:734:282 8038:33822:757:282 8484:26719:779:282 7103:27655:734:297 6858:23405:734:282 8328:35709:757:282 8305:17253:712:282 7971:28606:979:297 1848:19125:1002:297 9708:21042:734:282 8083:20091:757:282 2649:17713:734:282 2427:25292:979:282
university	1915:16762:2627:356
latin	5077:16777:1380:267
department,	6947:16792:3162:326
reviews	10621:16777:1959:282
following	2939:17223:2404:371
criticism	5722:17238:2182:297
travel	9441:17253:1670:282
number	11468:17253:2093:282 2494:33807:2070:297
of	13093:18679:489:282 7682:24341:512:297 3919:29542:489:297 6658:30033:489:297 9842:23405:489:282 7459:17713:467:356 3295:19601:489:297 8150:35234:489:282 10733:29572:467:282 9508:20566:489:282 1848:17698:467:356 8951:21042:489:282 13093:22454:512:297
vale	3295:19140:1113:282 3741:17713:1135:297 5611:25753:1157:312
record,	4832:19140:1959:341 5166:17713:1959:341
which	11289:31459:1491:282 8216:17713:1491:297
he	13093:37612:556:297 10042:17728:512:282 8528:30984:556:282 1848:28131:556:282 13049:31474:578:282 6658:32395:578:297
was	10866:17817:979:208
formerly	12113:17728:1157:356 1848:18189:957:341
managing	3184:18189:2560:341
editor.)	6101:18189:2048:356
clinging	2427:18649:2182:356
to	13115:22038:467:237 8395:37641:467:252 3807:37641:467:237 13138:30077:489:252 6034:23435:467:252 8862:37136:712:282 11623:36720:467:237 12269:24415:467:237 4898:18709:489:237
last	6747:18664:846:282
and	1915:35234:890:282 1848:30033:890:282 10555:28145:868:297 7905:18679:868:282 10198:23895:890:282 5388:19615:890:282 6413:29557:890:282 1848:27655:890:297 3384:20076:890:297
excellent	9085:18679:2204:282
