prepares	2786:4051:16203:2156
to	20460:3749:3766:1975
take	25439:3507:8178:2358
yale	35115:3568:8333:2358
by	45023:3668:4153:2761
storm	50621:4011:10810:1975
perfected	3870:6571:3070:544
his	7301:6591:903:423
musical	8591:6611:2528:423
talent	11481:6611:1857:443
by	13726:6611:748:544
"filling	14887:6611:2296:544
the	15945:15380:1238:423 3895:7236:980:423
role	5186:7257:1238:423
of	6708:7257:619:443 12178:11329:619:443
(spurney's)	7662:7277:3741:544
main	11765:7297:1651:423
demo	13726:7277:1728:443
tape	15790:7317:1393:524
critic."	3870:7922:2347:423
a	3870:14110:335:322 3870:13445:335:302 4541:8607:490:403 13184:9434:361:302 3844:14796:361:322
singer	5211:8607:1986:544
chosen,	7379:8607:2399:524
spurney	3870:11974:2683:544 10010:8627:2657:544
and	12848:8627:1161:423
company	14190:8748:2992:423
pressed	3870:9272:2476:544
their	6630:9293:1548:423
efforts	8436:9293:2115:443
to	10836:9333:593:403
find	11687:9313:1264:423
drummer,	13855:9313:3302:524
but	3870:9938:1032:443
this	5237:9958:1161:423
proved	6759:9958:2270:544
no	9340:10099:748:302
easy	10397:10079:1470:443
task;	12203:9978:1599:524
yale	14242:9978:1496:423
has	16074:9978:1109:443
never	3870:10744:1831:302 11197:14131:1806:322
been	13261:14010:1496:443 5934:10623:1496:443
famous	7637:10623:2373:443
for	10217:10643:954:443
its	11326:10663:774:423
percussionists.	12332:10663:4799:524
"this	4592:11308:1754:423
school	6656:11308:2012:443
is	8953:11329:516:423
devoid	9804:11349:2089:403
drummers,"	13055:11329:4102:524
said,	6785:11974:1522:544
adding	8591:11974:2193:564
that	11042:11994:1290:443
only	12565:11994:1367:544
two	14190:12014:1135:443
auditioned.	15558:11994:1315:443 3870:12639:2167:443
they	6269:12659:1625:544
finally	8075:12659:2115:544
picked	10372:12659:2141:544
nick	12745:12679:1470:443
bennett,	14422:12679:2734:524
musician	4515:13324:2967:443
who	7766:13344:1290:423
originally	9340:13344:3147:544
auditioned	12771:13344:3405:443
as	16461:13465:696:322
singer.	4489:14010:2193:544
bennett	6992:14010:2502:443 14629:14715:2554:423
had	9752:14010:1161:443
behind	15016:14010:2167:443
drum	4463:14675:1728:443
set	6450:14695:903:423
before.	7585:14675:2218:443
what's	10062:14695:2218:423
more,	12513:14796:1883:423
was	3844:15461:1264:322
also	5418:15340:1290:443
trained	7017:15340:2347:443
in	9675:15360:567:423
classical	10552:15360:2812:443
piano.	13674:15380:1935:544
whole	3844:16025:1909:423
scenario	5985:16046:2760:423
fits	8978:16025:1032:443
go	10268:16046:903:443
code's	11378:16046:2115:443
character.	13752:16066:3379:423
and	30729:10583:1186:423 18654:9917:1161:443 25826:10583:1186:443 18628:6571:1264:423 18654:12619:1186:443
no	20099:6692:748:322
one	21027:6692:1109:322
was	22292:6692:1238:302
more	23737:6692:1677:302
surprised	25568:6611:3096:503
than	28845:6611:1393:383
