harvard	2159:7817:5411:1279
yale	9123:7916:2901:1239
bach	3535:17773:1565:579 3508:15574:1538:579 2078:10955:3225:1259 3522:18872:1605:599
societies	6558:11055:6154:1259
|	13536:11055:755:1839
scott	2226:13114:1619:459
kluksdahl.	4089:13134:2969:479
david	9055:13194:1376:479
stern.	10864:13214:1619:459
director	3117:13774:2388:499 9716:13854:2348:479
brandenburg	6653:15594:2672:759
concerto	9527:15614:2010:619 6639:16713:2010:619 9865:17793:2051:599
no.	11808:15634:715:599
1	12726:15674:134:539 1794:42783:175:399
handel	3508:16633:2523:679
grosso	8853:16733:1498:599
in	9905:19852:391:579 11390:53979:364:499 10580:16753:364:579
c	11349:16733:350:599
minor	11025:19872:1241:559 11862:16753:1160:579
double	6680:17773:1511:599
violin	8313:17793:1336:599
j	2361:19092:310:719 2307:23011:296:879
excerpts	6666:18892:1997:739
from	8907:18912:958:599
the	5870:53879:728:519 10081:18952:674:559
high	7247:19852:1093:719
mass	8610:19852:1106:579
b	10580:19852:296:579
saturday.	6653:22251:2591:479
february	9622:22291:2334:479
23	12294:22371:391:419
battell	6194:23411:2280:459
chapel	8866:23431:1943:459
8	11889:23491:175:419 5060:45602:148:379
00	12267:23491:418:419
pm	12955:23471:701:439
optional	6896:24550:2591:459
donation	9892:24590:2402:459
t|bjr	1835:25030:2051:1559
—	3900:25650:782:199
chosen\	12267:31168:2753:1199
stranger	2496:40724:5735:1579
than	8731:40844:2834:1539
sf	12132:40004:1929:2678
i	14548:55598:202:599 14602:45742:242:519 6221:42523:175:679 14588:45562:269:539 14629:41704:67:939
u	2577:42623:580:659
m\	3265:42743:458:539
[3	3940:42503:593:779
o	6545:42503:566:679
ih	7274:42543:472:739
a	5155:54639:148:359 8704:42743:161:259 8880:43263:107:219
wlld	8974:42783:445:259
amencan	9514:42783:1066:279
comedy,	10675:42803:985:379
wnerem	11768:42943:863:219
3	12726:42903:107:259
characters'	12982:42923:1255:319
yirtnhuioc	1848:43023:5911:1099
su	8704:43683:269:219
nxrr	9001:43223:1403:759
,ocieveiandand,he	10526:43263:2402:359
