garage	1710:43787:14177:2874
band	17514:43849:10232:2333
"it's	2482:47849:1544:416
very	14342:51390:1544:416 4302:47953:1544:416
cool	6095:47828:1379:437
at	7722:47849:661:395
yale	4054:59514:1599:458 8633:47807:1599:437
to	11198:58139:606:416 10453:47849:606:395
be	11336:47786:772:437
all-around	12356:47786:3558:458
critical	1737:48536:2454:437
of	4495:48515:634:458 7502:52640:661:437 3089:59535:634:458
everything	5378:48515:3723:541
just	9350:48495:1268:562
because	10922:48474:2758:458
it	13928:48495:468:437
is,"	14646:48495:1241:520
bennett	1737:49224:2675:437
said,	4744:49203:1599:520
adding	6702:49182:2344:562
that	14425:61577:1351:437 9350:49203:1379:416 14535:54036:1379:437
the	3585:56785:1048:437 9212:56744:1048:437 1765:60243:1048:437 12218:60181:1020:437 2344:61639:1268:416 6895:62972:1048:437 11032:49182:1048:437 8467:55910:2013:499 1737:52682:1075:437
go	10674:56744:937:416 12411:49182:910:437 3089:60243:910:437
code's	13625:49182:2261:437
songwriting	1737:49911:4082:562
will	6233:49890:1213:437
work	7860:49890:1737:437
against	9984:49890:2565:541
this	12935:49869:1241:437
tide	14618:49869:1268:458
"and	1765:50599:1682:458
still	3723:50599:1268:437
remain	14866:63076:634:312 5268:50599:2482:416
popular."	8053:50578:3309:562
spurney	2454:51307:2813:541
agreed.	5847:51265:2537:541
"cynicism	9046:51265:3640:541
is	6812:61597:551:416 13239:51265:551:437
fashionable	1737:51973:3971:458
now,	5957:52078:1572:416
but	7805:51953:1075:437 12825:54015:1103:458
my	9102:52078:1103:416 10232:54848:1075:416
songs	10453:52036:1903:458
are	12577:52078:1158:312
about	13984:51953:1930:437
exuberance	3144:52661:3999:437
living,"	8467:52640:2647:541
he	1654:63014:772:416 11501:52640:772:437
said.	12632:52640:1599:437
"of	14701:52640:1213:458
course,	1737:53494:2454:374
like	4661:53348:1241:437
everyone	6316:53452:3171:437
else	9874:53348:1323:416
i	11667:53348:220:416 8357:60889:220:416
get	12329:53369:1048:520
into	13818:53348:1268:437 8688:54723:1296:437
a	9433:60306:358:312 15501:53473:386:291
'this-sucks-that-sucks'	1792:54015:7612:499
mood,	10095:54015:2041:520
never	1737:54869:1958:312 1572:55890:3530:479
finds	3971:54723:1654:437
its	5902:54723:799:437
way	6978:54827:1406:437
songs."	11584:54723:2592:541
mind	5461:55890:2647:499
bollocks	11005:55827:5130:541
