>the	36746:40472:5102:1877
duke's	42297:40327:6133:1918
men<d	48906:40389:6371:2104
"i	37512:53199:819:680
think,	38808:53220:3780:680
therefore	42958:53240:6979:660
i	50281:53261:264:660
jam."	50915:53240:3066:680
pun	40209:54643:2009:660
'n'	42641:54622:1216:680
games	44650:54664:3621:680
with;	48615:54684:2855:680
-whim	40658:55798:2564:433
'n	43540:55757:766:474
rhythm	44624:55819:2987:515
of	47928:55839:766:433
1985	49091:55839:2062:453
-the	40737:57180:1824:453 40632:56479:2009:453
skidmore	42932:56479:3674:495
sonneteers	46871:56499:4441:474
fairfield	42852:57180:3145:474
bensonians	46289:57221:4441:474
branford	39098:58108:6318:680
dining	45840:58150:3938:639
hall	50069:58129:3013:660
friday,	39469:58830:4520:701
february	44386:58851:6238:660
22	51021:58851:1401:639
8:30	43434:59676:2537:639
p.m.	46421:59676:2220:639
o>	38041:60604:581:371
tickets	39892:60419:2881:474
available	43064:60419:3621:474
in	47003:60439:687:433
yale	48007:60419:1691:453
station/.^	49964:60398:4309:639
tf	37142:61038:555:474
*	38385:60996:449:247
$2.50-	43355:60955:2352:495
s3-00	45840:61099:1083:247
at	47082:61120:370:206
me	47637:61099:555:226
ooor	48351:61120:845:206
/	52687:60873:158:453
»	53453:61017:449:268
.vy	37063:61306:2511:825
films	56731:1918:4784:1217
'paradise':	2590:3486:19562:2475
hamburger	23845:3444:20990:2867
heaven	46712:3362:13508:2351
by	5155:6704:1057:391
jacob	6476:6704:2405:412
weisberg	9199:6704:4044:412
the	6529:29415:1031:453 2352:28734:1057:453 3780:14233:1057:453 11975:27352:1031:453 11314:20462:1031:453 2379:9406:1031:453 8882:22525:1031:453 12847:26671:1004:453 15015:21143:1004:453 15015:22525:1004:453 3066:7343:1268:433 2352:13552:1031:453 10838:24609:1295:453 5049:23907:1031:453 12028:23907:1031:474 10574:29415:1031:453 11975:10788:1004:433 10098:25289:1031:474 4256:12191:1004:453 6053:19761:1268:453 4996:15635:1057:433 9622:21845:1031:433 2352:24588:1031:474 6503:21143:1242:453 12160:12170:1057:433
american	5551:12892:3330:433 2352:16997:3357:453 4679:7364:3330:433
landscape	8327:7343:3357:577
has	14909:23907:1136:474 11975:7364:1163:453
made	13455:7343:1850:474
a	13429:16419:396:350 15597:7487:370:309 6450:8065:502:412 7084:13696:370:330 15623:19885:396:330
comeback.	2379:8024:3621:474
whole	6291:23907:1956:474 7349:8044:1929:453
generation	9675:8065:3542:556
of	9358:15635:608:453 11156:23907:634:474 11869:18379:634:453 6106:13573:634:453 10468:20462:634:453 5313:24609:660:453 9702:29415:634:453 10336:23227:634:453 15385:10747:634:453 13614:8044:660:453 9622:9426:634:453
film	14645:8044:1321:453 10891:21845:1348:433 13297:23928:1321:433
makers	2379:8725:2564:453
seems	5181:8849:2088:350
to	10785:26692:608:433 4335:25310:634:433 7534:8787:581:412
have	8380:8746:1559:453 14434:11469:1559:433
just	10204:8746:1242:556
discovered	11684:8746:3595:453
peculiar	3806:9406:2775:556
beauty	6979:9406:2220:577
highway	10600:9406:2802:577 13270:27352:2802:577
vistas,	13773:9426:2141:495
boarded	2379:10087:2749:474
up	5578:10231:819:453
hot	6846:10128:1031:453
dog	8327:10107:1163:577
stands,	9939:10087:2352:556
and	14804:20442:1216:453 12768:10107:1216:433 7481:11489:1216:453 13588:21143:1242:453 2352:22505:1242:474 9331:17698:1189:453 2326:25970:1268:474
neon	14434:10231:1533:330
vacancy	2379:10932:2855:433
signs.	5683:10809:1876:556
ironically,	8062:10788:3410:556
likes	13429:10767:1506:453
wim	2405:11489:1559:453
wenders	4282:11489:2881:453
werner	9041:11510:2432:412
herzog	11790:11489:2326:536
been	2405:12170:1559:474
ones	5525:12314:1453:330
gawking	7243:12170:2802:577
from	10310:12191:1586:433
chevy	13429:12149:2062:556
window;	2352:12851:2828:556
directors	9146:12871:2987:453
know	12398:12892:1691:433 7666:28734:1744:453
what	14354:12871:1639:433
inside	3780:13552:1982:453
dairy	7851:13573:1903:556
queen	10125:13573:2035:536
looks	12557:13573:1639:433
like.	14566:13552:1374:453
but	2352:14253:1189:433 3701:23907:1083:453
germans	5022:14253:3093:453
never	8327:14377:1903:330
get	10415:14274:1031:556
it	11658:14253:475:453 5710:26671:422:453
quite	12319:14253:1639:577
right.	14169:14253:1771:556
so	2352:14934:793:453
it's	3330:14934:1031:453
with	9226:30116:1533:433 4547:14934:1453:515
great	6159:14955:1797:536
rejoicing	8142:14934:2960:577
that	11288:14934:1321:453
we	12795:15058:898:330
should	13852:14914:2167:474
herald	2352:15615:2194:453
release	6476:15635:2432:453
jim	10389:15635:1295:453
jarmusch's	12134:15615:3859:474
stranger	13138:17760:2881:495 2379:16337:3357:536
than	6529:16357:1797:412 2432:18420:1639:391
paradise,	9094:16357:3595:474
real	14539:16316:1453:453
film.	11843:29415:1559:453 5974:16997:1559:453
shot	3066:17698:1453:453
in	4811:17698:608:433 15465:28734:608:453
soft	5710:17698:1216:453
black	7217:17678:1824:474
white,	10785:17698:2035:556
paradise	4309:18420:2987:412
is	7481:18379:555:453 12504:21845:502:433 6503:26671:528:453 4150:29415:528:453
comprised	8195:18379:3515:577
very	12662:18503:1506:433
short	14328:18400:1691:453
takes,	2352:19060:2326:556
surrounded	5472:19080:4414:453
by	5340:30797:793:556 10600:19080:872:556
prolonged	12213:19080:3806:577
blackouts.	2352:19740:3436:474
camera	7534:19885:2537:350
seldom	10362:19761:2352:474
moves;	12953:19885:2352:412
character	2352:20442:3357:474
will	5895:20462:1242:453
walk	7349:20462:1586:453
out	9199:20483:1031:433
frame	12557:20462:2035:453
back	2352:21123:1612:474
into	4176:21143:1242:453
it.	5630:21143:634:453
silences	7930:21143:2643:453
are	10759:21267:1083:330
long	12054:21143:1374:556
pauses	2352:21948:2299:453
painful.	4890:21845:2564:556
thus	7745:21845:1612:453
realistic	13297:21845:2696:433
unrealistic	3938:22525:3595:453
at	7904:22566:634:412
same	10230:22649:1771:330
time	12372:22525:1506:453
—	14143:22773:608:61
shots	2352:23227:1718:453
seem	2326:25413:1771:330 4441:23350:1744:330
like	6556:23227:1216:453
slices	8142:23227:1850:453
contemporary	11314:23247:4705:556
life	2352:23907:1083:453
texture	8512:23949:2405:412
feel	3727:24588:1242:474
another	6291:24609:2564:453
era.	9199:24732:1295:330
characters	12424:24629:3621:433 3727:28734:3621:453
be	3780:28033:766:453 5155:25289:793:453 11737:26671:766:453
dressed	6159:25289:2590:453
for	8908:25310:978:453
'50sin	11552:25310:1824:453
fedoras	13561:25289:2484:474
fuzzy	3806:25970:1797:577
sweaters.	5842:26011:3198:433
maybe	13826:28033:2247:577 3040:26671:2299:577
supposed	7375:26671:3093:577
1950s	14196:26713:1665:412
(the	2432:27352:1321:474
occasional	3991:27352:3542:453
chevette	7798:27352:2934:453
on	7454:28157:766:330 10970:27476:766:330
can	2352:28157:1216:330
blamed	4758:28033:2511:453
low	8433:28033:1110:453
budget).	9781:28033:2775:577
or	12821:28054:793:433
what's	9728:28734:2194:453
hip.	12239:28734:1189:556
hip,	13773:28734:1348:556
fact,	2379:29415:1506:556
half	4969:29415:1321:453
point	7798:29415:1665:577
willie	3066:30096:2088:474
(played	5895:30096:2670:577
transcendent	11420:30096:4652:474
hipness	2379:30818:2537:536
lounge	6529:30818:2458:536
lizard	9384:30797:2194:453
john	11975:30818:1559:433
lurie)	13931:30818:2088:474
moved	17527:6621:2220:474
to	30586:26671:608:433 30560:22505:608:412 28709:9365:608:433 20302:8044:634:433 20064:6662:660:433
the	21016:6621:1031:474 24215:14914:1242:453 24902:29415:1057:453 30189:28033:1057:453 22629:28734:1004:453 19351:26671:1242:453 19192:17698:1031:453 22735:28033:1031:453 27519:23165:1031:453
new	22364:6745:1321:330
world	24003:6559:1903:515
from	26277:6621:1533:412
hungary	28180:6621:2828:515
ten	17553:7384:1004:412
years	18875:7446:1876:453
ago,	21043:7426:1374:453
but	22787:7302:1031:474 29952:12809:1163:453
has	24136:7302:1136:474 26409:19039:1136:453
decided	25590:7281:2564:474
that	28445:7302:1321:433 22206:8684:1295:453 29872:25248:1321:474
it's	30084:7261:1004:474 26409:24567:1057:453 30110:16254:1031:474
not	17527:8044:1031:433 25087:10788:1004:433
cool	18769:8024:1321:453
be	21148:8003:766:453
hungarian	22126:8003:3542:556 20699:21803:3542:577
anymore.	25854:8086:3145:474
when	29238:7962:1850:453
he	17527:8725:793:433
gets	18610:8746:1348:515
word	20250:8684:1665:474
his	23818:8684:925:453 26541:18358:925:453
16	25087:8725:608:412
year-old	25986:8643:2749:598
cousin	28973:8663:2114:453
