plumbers	2168:8113:6076:707
cite	8777:8073:2148:694
possible	2209:9188:4992:865
health	7631:9148:3826:707
hazards	2209:10275:4869:707
from	7652:10249:3150:694
yale	2209:11350:2864:694
asbestos	5647:11337:5135:707
by	2107:12425:675:327
elaine	3028:12425:2250:262
pofeldt	5503:12412:2782:262
asbestos,	2639:12831:2393:340
a	2700:19843:368:262 5340:12923:265:196 2127:18598:306:209 11130:12897:265:209
compound	5892:12818:2659:366
cited	8798:12818:1268:314
as	10312:12897:552:209
possible	2107:13277:2066:353
cause	4583:13356:1473:209
of	5401:14601:491:288 6445:13264:470:288 7856:29425:491:301 10066:18874:470:288 9943:16737:470:288 11089:26790:470:288
emphysema,	7324:13264:3273:353
is	4767:28573:388:288 4890:19398:409:262 6711:25506:388:275 11028:13251:388:288
"all	2127:13723:941:275
over	7365:28206:1125:196 3457:13801:1125:196
yale",	4930:13723:1698:327
according	6956:13696:2557:353
to	10271:20250:450:262 9861:13723:470:262
unnamed	10659:13775:531:209 2107:14155:1780:288
sources	3314:15112:1943:209 4358:14247:1943:196
in	4644:27275:450:275 4133:16357:450:262 2168:23789:491:275 6567:19830:450:275 11212:30237:450:275 4583:24221:450:262 8286:17628:470:275 5974:16776:470:275 6792:14155:470:275
the	8920:17615:777:275 4583:25886:797:288 5544:18087:797:275 5217:17655:757:275 6731:18913:777:288 5360:27262:777:275 10700:22426:777:275 10680:18887:777:262 8675:28114:797:288 7304:26803:777:288 5483:22884:777:288 10680:16724:777:301 7590:19817:797:275 6158:14601:757:275 4849:16344:757:288 6711:16763:757:288 7754:14155:777:275 2127:15033:982:275 7856:25060:777:288 8245:24182:777:275 7734:21115:757:288 3007:21574:797:288 10680:16305:777:275
plumbing	8941:19778:2537:380 9023:14129:2414:366
department	2148:20276:3007:353 2107:14588:3048:366
physical	7181:14574:2189:353
plant,	9657:14561:1514:327
claim	2189:25506:1452:288 5422:15033:1432:288
steam	7058:15046:1534:262 3989:21587:1554:275
pipes,	8798:15020:1493:340
dining	5565:25886:1595:340 10496:14994:736:288 9882:17602:1575:353 2127:15479:777:340 2127:17209:1595:353
hall	7365:25873:961:288 3150:15479:961:275
ceilings	4337:15466:1943:353 6179:17642:1923:340 7754:16750:1923:340
and	6526:15453:920:288 3764:16776:920:275 4112:22884:900:288
fire	7672:15466:879:262
doors	8798:15440:1370:288
contain	2148:15911:982:275 10373:15505:818:209
asbestos.	3335:15911:2312:275
"it's	2741:22019:1145:275 2700:16344:1145:275
insulation	5872:16331:2475:288
around	8634:16305:1780:288
pipes	2148:16776:1329:353
it's	6731:27695:757:275 4951:16776:757:275 10782:27668:777:288
halls.	3928:17209:1350:288
there	5135:25506:1350:288 5647:17209:1493:275
are	7324:17261:838:209
white	8368:17183:1370:275
flakes	9923:17170:1514:288
that	5606:18939:1002:275 8000:20682:982:275 2127:17655:1023:275 3907:25519:1002:275 8757:30264:1043:288
fall	3355:17655:818:275
off	2271:25912:675:275 4358:17655:675:275
halls,	2148:18087:1391:327
where	3785:18087:1554:275
students	6547:18061:2107:288
eat,"	8879:18048:1268:340
said	10393:18035:1063:288
plumber	2680:18520:2168:353
who	5360:20263:1002:288 5094:18520:1002:275
requested	6342:18480:2496:380
anonymity.	2127:18978:654:340 9064:18480:2127:353
he	2741:25086:695:275 6936:22006:572:275 9514:27236:572:288 5258:30316:716:275 3089:18978:675:262 6874:26384:593:262
added	3907:18939:1534:301
presence	7631:18965:2291:301 8429:26882:2312:275
substance	2127:19398:2578:288
