just	2495:20499:2124:537
between	5074:20486:3981:537
you	9447:20538:1939:524
and	11840:20342:1897:576
me,	14130:20499:1691:458
doc	16399:20328:1794:537
renowned	3032:21351:2784:288
psycho-sexual	6332:21311:3898:393
therapist	10788:21285:2599:353
dr.	10355:23068:804:262 13882:21272:845:275
ruth	15285:21246:1299:288
westheimer	2516:21796:3135:275
(right)	6167:21783:1670:340
advises	8333:21757:1897:288
yale	10726:21718:1196:288
student	12397:21705:1918:301
speech	14790:21692:1794:353
organization	2516:22229:3444:353
president	6456:22203:2537:288
simon	9509:22190:1608:275
mendelson	11634:22150:2805:288
before	14934:22124:1670:288
westheimer's	2537:22662:3548:288
rousing	6332:22648:1897:340
talk	8457:22635:990:275
to	9674:22648:453:249
over	10355:22688:1134:196
600	11737:22622:763:249
students	12727:22583:2124:288
at	15099:22583:495:262
the	15821:22557:783:288
law	2557:23133:1093:262
school	4063:23094:1629:301
monday	6085:23081:2042:327
night.	8498:23068:1443:340
ruth's	11551:23028:1670:288
appearance	13614:23068:2991:314
"raised	17368:21207:1897:288
a	19472:21285:268:209
considerable	19926:21207:3300:288
amount	23433:21246:1959:249
of	25558:21220:495:275
money"	26238:21207:2021:366
for	28487:21207:721:288
the	17327:22098:783:275 29415:21207:783:288
new	23515:22544:1093:262 30405:21285:990:209
speech	17306:21652:1753:353
team,	19287:21678:1423:314
according	20937:21652:2557:353
to	20029:22111:453:262 23701:21678:474:262
mendelson,	24361:21652:2887:340
and	27476:21639:948:288 27703:22517:948:288
will	28610:21639:907:288
enable	29724:21639:1670:288
team	18441:22111:1258:262
participate	20813:22098:2826:340
in	28837:22517:453:288 23949:22098:474:275 22855:22530:453:275
competitions	24712:22098:3300:340
at	28322:22111:474:249
southern	29106:22085:2289:275
connecticut	17327:22530:3052:275
college,	20586:22530:2021:327
york	24815:22530:1278:275
city,	26300:22530:1175:327
boston.	29497:22530:1877:275
ydn-mike	28342:20276:2062:183
suoit	30529:20289:948:170
ydn-mike	28342:20276:2062:183
suoit	30529:20289:948:170
doctor	2186:23972:7302:1035
cites	10252:23880:4414:1087
chinese	15594:23841:7859:1087
stress	24155:23933:5528:956
speaker	2434:25401:4043:668
discusses	6869:25401:4476:537
mental	2434:26266:3486:537
illnesses	6312:26253:4001:537
in	10747:26253:866:524
post-maoist	2289:27118:6167:642
china	8787:27092:3011:550
by	2310:28048:680:301
lisa	3238:28048:1278:249
pirozzolo	4744:28048:3300:262
rigid	2826:28455:1402:353
social	6477:44694:1485:288 4435:28468:1464:275 2289:42492:1505:288 10210:39006:1485:288
structures	6105:28494:2640:262
and	8539:39438:928:288 8931:28468:948:288 4104:41614:928:288 7116:34156:928:301 5445:30224:948:288 3981:45114:907:275 7508:35913:907:288
recent	10087:28494:1629:275
cultural	9612:47775:2083:275 9571:40317:2104:288 6023:45127:2083:288 2269:28900:2042:275
upheavals	4538:28900:2619:353
have	7343:28914:1237:275
not	6353:40330:783:262 8766:28940:783:262
created	9757:28914:1959:288
a	9674:32505:268:209 2269:29425:288:196 4909:32937:288:209 11407:47408:288:209 6456:46529:247:196
new	2949:29425:1031:196 7219:41260:990:209
breed	4373:29333:1443:288
of	11221:45153:495:275 11262:36830:495:314 11221:42086:495:275 4104:46005:495:275 9385:39006:474:288 11242:46896:474:288 5837:46438:474:288 11242:31116:474:288 2289:34602:495:288 11221:41208:495:275 3960:33291:474:288 7900:35480:495:288 9096:33737:453:275 6209:29346:474:275 5445:38547:474:288 11221:44721:474:275 5053:44249:495:275 3878:33724:474:288
mental	7054:29359:1774:275
illness	9220:29346:1629:288
in	6848:48640:453:275 7694:42506:453:275 5693:35048:453:275 11242:29372:474:275 5322:31548:474:275 11221:32859:474:288
china,	2269:29792:1650:327
but	8251:41614:804:301 4414:29779:804:288
are	6332:42584:845:196 5672:29870:845:196
clearly	6972:29792:1794:353
linked	9220:29792:1588:288 2310:44681:1567:275
to	4352:44707:474:249 3548:45586:453:249 2289:39006:474:275 6600:41208:453:262 11262:29818:453:262
depression	6043:44249:2722:353 5487:39425:2722:366 4290:35913:2764:353 2269:30224:2805:353
anxiety	6786:30237:1918:353 8870:35926:1918:340 9777:39452:1918:353
disorders,	9096:30237:2578:340
harvard	2269:30657:2227:288
medical	4826:30670:2042:275 3073:34156:2062:301
school	2310:47748:1608:288 7219:30683:1650:275 5301:34169:1650:288
professor	9200:30683:2516:288
arthur	2269:31102:1774:275
kleinman	4208:31102:2516:288 2310:43803:2681:288 4373:42925:2516:288 7735:35048:2516:275 2826:32426:2537:275 9200:37250:2516:275
told	6910:31102:948:288 6765:36345:969:288
an	4496:47394:577:196 8024:31194:598:196
audience	8787:31116:2310:288
about	2269:31535:1485:288
50	4290:31561:515:275
davies	6332:31561:1794:275
auditorium	8663:31548:3032:288
yesterday	2269:31981:2599:353
afternoon.	5074:31994:2599:275
visited	5569:32426:1732:275
yale	7508:32426:1196:288
as	4723:36869:556:196 8911:32492:536:222
hume	10190:32439:1526:275
lecturer,	2289:32859:2454:340
fellq\vship	5363:32859:2619:366
r	8065:33147:123:91
established	8148:32859:2929:288
honor	2289:33291:1464:288
the	7632:48640:783:275 2991:34602:804:288 5260:44681:783:275 5548:38993:783:288 6043:40749:783:288 8560:47775:783:262 4620:33291:783:288 2330:37263:763:249 3465:46438:783:275 7467:42073:783:275 5095:45114:763:275 8725:36804:783:275 2826:38560:969:275 8560:40317:783:288 5940:33737:783:275
late	5569:33291:990:288
dr.	6724:33304:825:275
edward	7735:33291:2083:288
hume,	10004:33304:1691:340
class	2289:33724:1382:288
1897,	4579:33750:1134:314
founder	6930:33724:1959:288
hsiangya	2289:34235:618:288 9757:33737:1691:353
hospital,	8189:34169:2289:353
part	10664:34196:1052:327
yale-in-china	3981:34602:3527:288
program.	7735:34668:2413:288
beginning	2846:35035:2619:353
1980,	6374:35074:1134:314
compiled	2289:35467:1278:366 10478:35126:948:209
200	3754:35506:742:249
case	4661:35559:1134:196 8086:46097:1134:209 10499:43921:1196:196
studies	5940:35480:1794:288
chinese	8539:35493:2000:340
who	10705:35493:1010:275 4496:46870:1010:288
suffer	2289:35913:1547:275
illnesses.	2289:36358:2021:275 11242:35926:330:275
"they	4765:36345:1608:353
me	8106:36437:783:196
their	3114:38115:1258:275 9303:36358:1217:288
life	10912:36371:804:275
histories	2289:36791:2248:275 9488:46031:2207:275 2310:44249:2227:275
if	5466:36791:350:275
they	6002:36765:1093:380 10582:41640:1113:353
were	7281:36869:1258:209
rime	9695:36843:1382:235
ancient	3589:37276:1980:235
mariner,''	6064:37236:2619:340
said,	2289:37656:1237:340
adding	3774:37669:1753:353
that	7364:40317:990:288 9323:41640:1010:275 5775:37682:1010:275
he	7034:37682:577:275
was	5755:46962:969:196 2289:46516:1010:209 10705:38652:990:196 7838:37761:990:196
enthralled	9055:37682:2661:288
by	2289:38102:639:353
stories.	4558:38115:1856:288
focus	3960:38547:1320:288
kleinman's	6064:38560:2929:288 4888:46005:2908:288
study	9179:38560:1402:366
address	3156:38980:2000:301
influence	6704:38993:2330:301
climate	2289:39438:1980:275
on	4579:39517:577:196 10540:47408:598:209
disorders.	2289:39858:2599:301
.	2083:40461:103:78
"my	2846:40317:1155:340
point	4228:40317:1278:340
is	5713:40317:412:275
revolution	2289:40749:2826:275 8313:45140:2743:288
or	5322:40815:515:222
political	7034:40749:2062:366
structure	9323:40775:2372:262 8416:44734:2372:262
;pf	2062:41182:721:327
china	2949:41182:1485:288 2310:45127:1485:275
has	4620:41182:866:288
led	5672:41182:742:288
symptoms	8395:41221:2640:327
stress	2289:41640:1547:262
pathology,	5301:41614:2661:366
show	2289:42060:1299:275
how	3795:42060:1010:275
powerful	5012:42060:2248:353
influences	8416:42073:2619:288
'	2062:42492:61:380
crises	4311:42492:1505:288
intensifying	8643:42519:3052:353
them,"	2310:42925:1835:353
said.	7075:42938:1175:288
during	2826:43371:1897:340 6621:47761:1691:353
his	5260:43371:763:275
hour-long	6559:43384:2516:353
lecture,	9633:43397:2042:327
presented	5569:43816:2702:340
four	8849:43829:1093:288
disorders	9282:44262:2413:301
1966	2351:45586:990:249
1972.	4269:45586:1113:249
one	2826:46005:1010:275
story	4393:46464:1299:327
young	6889:46516:1526:288
man,	8560:46542:1278:249
huang	10004:46464:1691:353
zhenyi,	2310:46883:1918:340
falsely	6992:46883:1691:366
accused	8931:46896:2062:288
posting	2310:47316:1877:353
anti-maoist	5383:47329:2929:275
slogan	8601:47329:1629:353
doorway	4187:47735:2186:366
revolution.	2310:48181:2949:288
while	2846:48626:1464:275
playing	4641:48626:1897:340
schoolyard,	8725:48640:2970:327
huang	12603:42951:1691:327 13160:46018:1670:327
discovered	14563:42938:2805:275
a	17306:46084:288:183 15099:46962:268:196 14790:47394:288:196 21741:44760:268:196 12624:47840:247:209 17616:43017:268:196
note	18173:42951:1072:262
posted	19514:42925:1670:353
on	14047:47394:598:209 21432:43017:577:196
the	19823:43803:783:301 15470:44262:825:275 13820:45573:783:275 12603:43384:783:275 19101:46424:763:275
school	13552:43371:1588:288
door	15285:43371:1134:288
saying	16584:43384:1670:340
"throw	18441:43371:1980:275
down	20586:43371:1423:275
chairman	12603:43816:2599:275
mao."	15718:43803:1629:288
when	17863:43816:1423:275
boy	21143:43790:866:353
reported	12624:44249:2310:353
incident	16853:44236:2165:288
to	20297:45140:453:262 18008:48207:453:235 19575:44262:474:262 21597:46883:433:249
party	16337:47748:1464:340 20586:44262:1443:327
authorities,	12624:44694:2949:327
they	15862:44694:1093:340
detained	17244:44681:2227:275
him	19761:44681:948:275
in	21019:44694:433:262
closed	12624:45127:1608:288
room	14460:45206:1340:209
and	21123:45979:907:288 16048:45127:907:275 18895:46857:928:275 16213:48613:928:288
forced	17203:45114:1629:288
hini	19080:45127:948:262
confess	12624:45586:969:262 20978:45192:804:209
crime.	14790:45573:1670:275
signed	15244:45992:1691:353
confession	18028:45992:2681:288
was	12624:46529:969:196
paraded	14068:46424:2104:366
through	16626:46438:2021:340
village	20297:46424:1732:340
wearing	12624:46883:2104:340
dunce	15759:46870:1526:275
cap	17636:46949:907:262
sent	20174:46883:1031:249
work	12624:47329:1278:288
peasant	15244:47329:2021:340
farm.	17430:47303:1423:275
huang,	19039:47303:1815:327
now	17306:48692:990:196 21040:47381:990:183
communist	13140:47761:2970:275
member,	18049:47722:2330:340
never	20607:47801:1423:196
confessed	12603:48194:2537:301
his	13903:48640:742:275 15367:48194:680:275
crime	16275:48194:1526:262
anyone	18668:48246:1835:275
other	20710:48168:1320:275
than	12624:48640:1134:288
wife,	14790:48626:1237:314
suffers	18441:48600:1774:275
severe	20380:48679:1650:196
feelings	23020:42899:2000:353
of	31870:52585:474:275 25702:46831:536:275 26857:45520:474:275 28074:50789:474:275 25393:42899:495:288 25104:44196:495:288 27641:47722:474:275 30488:42925:453:275
guilt	26280:42899:1155:353
and	28982:51222:928:288 27827:42899:907:288
loss	29147:42912:948:275
selfesteem.	31333:42938:866:275 23000:43344:1980:275
"i'm	23557:43764:1237:288
not	25351:43790:783:262 28796:49492:783:275
suggesting	26671:43777:2826:353
that	30034:43790:1031:288
the	30323:46438:763:275 29044:50357:783:275 31622:43816:783:275 27476:45520:783:275 25764:44209:783:275
trauma	23000:44236:1918:249
cultural	28404:45533:2021:288 26733:44209:2104:275
revolution	29023:44223:2805:301 22979:52074:2846:288
is	32014:44262:371:275
without	23000:44642:1918:275
precedent	25104:44629:2557:366
in	31416:49059:453:288 28074:51654:495:288 25124:51654:433:262 27868:44655:453:262
other	28487:44655:1340:275
societies,	30013:44681:2351:340
but	23000:45074:804:288
huang's	24258:45074:2124:353
disorder	26816:45074:2145:288
exemplifies	29394:45127:2991:327
certain	22979:45520:1835:275
effects	24980:45507:1712:288
revolution,"	22979:45953:1485:340 30611:45573:1526:275
kleinman	24691:45953:2516:275 23495:50330:2537:275 24052:46398:2516:275 22979:49885:2516:275
said.	25702:49885:1196:288 27414:45953:1196:288
also	26733:46398:1010:288
narrated	27888:46424:2269:275
case	31271:46516:1093:222
history	22979:46844:2124:327
an	26816:46909:639:209
academic	28054:46844:2846:314
administrator	31519:46883:598:288 22979:47276:2970:275
who	26114:47276:1031:275
suffered	27311:47276:2104:288
severe	29580:47381:1691:209
tension	22979:47709:1031:275 31436:47329:721:275
as	24340:47788:536:196 24567:50842:577:196
a	25227:47788:247:196 25372:50842:247:209 32076:49151:268:209 32097:47853:268:183
result	25826:47709:1485:275
conflict	28445:47735:1897:288 30446:50815:1897:301
with	30673:47748:1072:288
local	22979:48155:1217:275
communist	24423:48142:2970:288
party	27600:48155:1443:353
secretary.	29271:48194:2599:353
"this	23536:48574:1629:275
extremely	25764:48587:2970:353
competent	29332:48640:3032:327
woman	22979:49085:1856:209
felt	25042:49007:845:288
pressure	26094:49098:2227:262
to	28528:49046:474:275 28507:52559:453:262
succeed	29188:49046:2021:288
situation	22979:49452:2227:275
she	25681:49465:825:262
could	26960:49465:1382:275
control,"	30034:49505:2310:340
explained	26280:50343:2495:340
woman's	30075:50396:2269:288
crisis	22979:50776:1382:275
product	25867:50776:1980:340
social	28734:50789:1464:288
between	22979:51209:2104:275
professional	25475:51209:3114:340
political	30281:51248:2042:340
cadres	22979:51641:1691:288
china.	25991:51654:1608:288
post-cultural	28982:51680:3362:340
society,	26341:52087:1980:366
professionals	28879:52113:3465:340
have	22979:52519:1196:275
been	24526:52506:1175:288
restored	26032:52519:2145:288
positions	29312:52559:2227:327
esteem.	22958:52965:1959:262
ydn-peter	27785:40028:2145:196
kacendes	30137:40015:1856:196
depressing	12665:40461:3857:262
—	16749:40605:515:39
harvard	17451:40448:2207:262
medical	19947:40448:2042:262
professor	22298:40448:2495:262
and	12665:42217:907:262 18874:41326:928:275 25062:40435:907:262
hume	26280:40435:1526:249
lecturer	28074:40448:2248:249
arthur	30611:40435:1732:249
kleinman	12665:40893:2516:262
told	15388:40893:928:262
an	16522:40959:577:196
audience	17306:40893:2310:262
of	12665:41772:453:275 19782:40893:495:262 26692:41758:495:249
50	20442:40906:495:249
at	21102:40906:495:235
davies	21783:40880:1774:262
auditorium	23742:40867:2887:262
that	26795:40867:1010:262
although	28012:40867:2207:340
china's	30426:40867:1918:262
radical	12665:41326:1815:262
social,	14707:41326:1608:301
political	16543:41326:2104:340
cultural	20009:41326:2021:262
upheavals	22236:41326:2619:327
have	25083:41313:1217:249
not	26506:41326:783:235
created	27476:41313:1959:249
new	29621:41391:1031:170
forms	25021:41745:1505:262 30859:41313:1485:262
mental	13305:41772:1794:275
illness	15264:41772:1608:275
in	17079:41772:453:262
china,	17719:41772:1629:301
they	19534:41758:1093:340
do	20813:41772:577:262
contribute	21535:41758:2681:275
to	24382:41758:453:262
depression,	27332:41745:2908:327
anxiety	30426:41745:1918:340
tension	13800:42217:1815:262
among	15842:42270:1753:262
the	17801:42217:783:262
chinese.	18812:42204:2145:275
ydn-peter	27785:40028:2145:196
kacendes	30137:40015:1856:196
depressing	12665:40461:3857:262
—	16749:40605:515:39
harvard	17451:40448:2207:262
medical	19947:40448:2042:262
professor	22298:40448:2495:262
and	12665:42217:907:262 18874:41326:928:275 25062:40435:907:262
hume	26280:40435:1526:249
lecturer	28074:40448:2248:249
arthur	30611:40435:1732:249
kleinman	12665:40893:2516:262
told	15388:40893:928:262
an	16522:40959:577:196
audience	17306:40893:2310:262
of	12665:41772:453:275 19782:40893:495:262 26692:41758:495:249
50	20442:40906:495:249
at	21102:40906:495:235
davies	21783:40880:1774:262
auditorium	23742:40867:2887:262
