'	18311:5872:123:90 18311:5872:123:90
----	4536:58544:948:64 4536:58544:948:64
—	4681:46370:659:51 55141:22178:494:25 60194:20879:494:38
!	31097:60974:61:441 31097:60974:61:441
"	15383:7665:226:103
"«»«<■	19466:6743:907:155
"discretionary	22704:34313:3773:337
"i	23240:42473:515:272
"karen	30086:21048:1897:285 38603:16773:1876:272
"the	22766:38549:1072:285 29303:48150:1278:272
"there	24003:47267:1814:272
"trace	17755:26323:2082:311
"women	43201:22906:2124:272 43861:17721:2124:272
"working	33014:22373:2845:350
$25.	20683:7210:515:155
$350,000	1938:28233:2495:389
$500,000	10145:28233:2495:376
&	9259:58207:268:168 9259:58207:268:168
&»">	17651:6509:639:168
(	20229:62052:103:220 20229:62052:103:220
("forum	25570:18436:2330:285
(6:00	22704:29571:1237:259
(although	47388:25062:2412:350
(usps	17590:6054:845:155
)	12207:62091:103:233 21899:62039:103:220 12207:62091:103:233 21899:62039:103:220
*'	15589:6522:247:116
*	17878:6743:185:142 14806:7652:123:103
***'	14682:6470:494:181
*«ond	14703:5768:886:155
,	47656:21178:82:337 9857:60818:41:142 9857:60818:41:142
,dress	15610:7639:742:142
,hr	16414:6496:391:142
.	30334:60818:41:142 30334:60818:41:142 8846:6925:41:246 8784:5911:61:363 9506:5911:41:363
:	16682:59428:103:168 16682:59428:103:168
;	31097:60065:41:298 31097:60065:41:298
[and]women...of	33035:22815:4268:298
_	7794:7106:268:25
~	14393:63391:206:25 11857:63417:268:25 14393:63391:206:25 11857:63417:268:25 7506:6184:288:90 8331:7106:329:64
„„	4083:7106:391:64
<	10516:62104:103:220 10516:62104:103:220
<">•■"««	16476:7639:989:181
<*ws	15775:5794:577:142
<20j>	16187:7184:659:155
«v	5114:6015:412:259
»	17157:6548:123:90
■	13115:60974:41:441 13115:60974:41:441
■«	16414:6756:226:116
•«	17610:7678:226:103
06508	51120:59194:2845:545 51120:59194:2845:545
06520.	20394:6990:824:142
1.	23199:29142:329:246
10:00,	30622:29571:1402:298
100	8434:40511:927:298
10022.	29921:58155:1237:181 7650:60350:1340:259 29921:58155:1237:181 7650:60350:1340:259
107	17734:9081:536:181
140,000	13795:25400:2144:350
155	38768:58389:1546:519 38768:58389:1546:519
1890	55533:58298:2206:545 55533:58298:2206:545
19,	28849:28272:577:298
1984	5175:25881:1237:311
1985	19652:8510:721:181 29715:28272:1010:246 41387:35184:948:246 61575:14668:969:246 61740:25946:969:233
2	17115:6704:164:272
2.	23157:30441:391:259
2/27/85).	22601:19281:2206:389
20	28643:47293:515:259
20's	12785:42395:1154:311
241	14682:6925:391:142
25	16806:8770:371:181
26,	40479:35184:618:272 60688:14655:598:272
27,	60833:25946:618:285
2nd	4103:60078:845:246 26148:58129:804:168 4103:60078:845:246 26148:58129:804:168
3.	23178:33897:371:259
436-1942	48852:61026:4474:545 48852:61026:4474:545
43w#25.	16930:7197:1216:142
5:00	29653:29142:1010:246
515	4124:59740:659:259 22456:58142:618:168 4124:59740:659:259 22456:58142:618:168
60's	33942:11524:907:272
60's,	18002:42382:1361:363
695-wfll	18559:6067:1072:142
70's,	36438:11524:1072:324
