commons	2741:28131:8552:910
caters	11989:28248:4849:767
meal	17493:28105:4071:884
service	2598:29457:5647:897
to	8941:29587:1616:767
vegetarians	11396:29431:9350:1066
while	2987:31395:1473:286 5565:36155:1391:286
some	4787:31447:1350:221 7243:36233:1329:208
veggie	6465:31369:1677:351 7672:35713:1657:351
entrees	8491:31369:1882:273
with	10721:31343:1084:286
"lots	2516:31837:1227:273
of	3948:31824:491:286 8859:36142:470:286 2537:35739:491:299 9861:34399:491:286
fresh	4603:31824:1309:273
produce	6117:31798:2046:377
or	8347:31876:511:208
nuts"	9064:31785:1411:286
may	10700:31850:1125:286
be	2496:32266:593:286 11355:37443:572:286
more	3437:32331:1350:221
expensive	9309:33086:2537:364 5094:32253:2537:351
than	2516:33567:1145:299 7959:32240:1125:273
meat	9432:32240:1309:260 5012:33567:1289:273 4767:36610:1309:273
entrees,	2516:32721:1514:312 11089:32292:511:208
"as	4624:32695:900:286
a	5012:40538:388:273 6056:32760:286:208 5790:40161:265:208
whole	6895:32669:1514:286
group	8961:32721:1534:299
the	11028:32656:818:273 2639:41422:797:286 9616:36142:777:286 11171:38314:797:286 4685:42697:777:286 5544:41825:797:286 3191:35739:797:286 3948:33567:777:286
vegetarian	2639:40967:2823:364 2516:33138:2782:351 5667:42684:2782:364
dishes	5462:33125:1575:286
are	11028:35765:879:221 7181:33190:859:208 2578:37573:859:208 7856:36662:879:208
less	8184:33112:961:273
,	2393:33528:20:351
dishes,	6567:33541:1739:338
according	8613:33528:2537:351
to	11396:33554:491:260 3621:42307:491:260
university	2516:34009:3273:338
dietician	6526:33983:2782:286
karen	10066:33970:1820:273
dougherty.	2516:34438:2987:351
yet,	6035:34425:1084:325
"some	7672:34425:1698:273 10209:35271:1698:286
that	10864:34399:1043:273
cancels	2537:34867:1984:286
out	5053:34867:777:286
when	6363:34854:1350:286
you	8245:34919:920:286
consider	9677:34815:2230:299
popularity."	2537:35297:3212:364
dougherty	2598:38366:2741:338 5913:35297:2721:338
said.	8798:35271:1186:286
most	10680:36142:1227:273 4133:35739:1248:273
popular	5544:35726:1964:364 2557:36610:2005:364
items	6260:36597:1411:273 9493:35713:1411:273
expensive,	2537:36168:2741:364
cheap."	8900:36571:2005:364
"i	3130:37065:531:260
can	3989:37117:900:208
see	7468:39705:818:208 5176:37104:818:221
how	6281:37026:1002:286 8470:39627:1023:273
feeling	7590:37026:1739:351
like	9616:37013:920:286
they	10844:37013:1084:351
paying	3601:37482:1759:364
for	6608:37898:859:286 5524:37469:736:286
meat-eaters	6445:37469:3069:273
might	9677:37456:1514:351
irritating"	2598:37911:3355:351
vegetarians,	8102:37885:3826:351
admitted.	5667:38314:2455:312
"but	8511:38327:1227:273 9800:41357:1104:286
it's	10066:38314:777:286
same	2598:38873:1391:208
problem	4337:38769:2148:377
between	6813:38769:2107:286
those	8000:39198:1350:286 9309:38756:1309:286
who	9473:39185:1023:286 10925:38743:1043:286
eat	3294:39679:818:273 2598:39250:818:273
five	3539:39237:982:273
helpings	4664:39224:2148:351
and	6936:39198:941:286
barely	2557:39679:531:351 10639:39172:1063:286
one.	4317:39731:1023:221
i	5585:39653:204:273
don't	5994:39640:1268:286 2639:41838:1309:299
we	11294:41422:716:208 9698:39679:716:221
could	10598:39601:1391:286
administer	2618:40109:2844:286
meal	6383:40070:1268:286
plan	7979:40057:1104:364
any	9411:40122:920:273
other	10659:40044:1309:286
way."	2618:40538:1800:364
separate,	5954:40538:2721:338
21-meal	9268:40473:2209:299
dining	5647:40954:1595:351 8634:42671:1575:351
hall	7447:40941:941:286
"might	8654:40915:1841:364
solve	10680:40915:1329:286
problem,"	3846:41383:2639:377
she	6915:41383:838:286
said,	8143:41357:1186:338
have	4133:41838:1227:286
facility.	6526:41812:1964:351
no	8716:41812:695:273
one	9595:41864:879:221
is	10659:41799:409:273
going	11253:41838:511:299 2639:42294:818:351
volunteer	4255:42268:2434:286
their	6854:42255:1207:286
residential	8225:42229:2741:299
col"	2393:42606:20:468 11110:42216:695:286
lege	2659:42736:1063:338
as	3907:42788:572:208
hall."	10414:42658:1473:286
few	14629:30901:1329:260
suggestions	18209:38210:2966:351 16163:30888:4112:260
upgrading	13299:31304:2741:364
dining	16266:31304:1616:351 12890:40447:1616:338
hall	18107:31304:941:273
menus	19273:31369:1677:208
is	15938:39536:409:286 19232:40395:409:273 21197:31291:409:273
a	18803:34009:306:195 21831:31798:265:208 21831:31369:265:208 21933:39562:286:208
slow	12767:31759:1145:286
process,	14260:31824:2086:286
partly	16716:31733:1554:364
because	18619:31733:2066:286
of	15795:42593:511:299 20787:41682:491:299 21012:31720:491:286 17596:42580:491:286 14322:32188:491:286
lack	12787:32188:1063:286
communication	15283:32175:3989:299
with	15509:38678:1125:286 18823:36038:1125:273 19744:32175:1125:273 18782:39029:1289:325
the	16818:35622:777:286 21360:32162:777:273 21442:39927:777:286 14138:35661:797:273 21503:41682:777:286 12931:42619:797:286 20255:34360:797:286
students,	12787:32617:2271:351
dougherty	12808:37833:2741:351 15529:32617:2741:351 12869:39575:2721:351
said.	16552:40824:1207:299 18680:32604:1227:286 16000:37794:1207:299
