woman	2564:7694:4780:695
dies	7776:7628:2298:695
of	10464:7589:1456:879
cardiac	2421:8771:4678:722
arrest,	7530:8784:4001:722
link	2441:9887:2318:722
with	5211:9847:2544:722
aids	8104:9782:3754:735
thought	2523:10964:4534:879
possible	7222:10885:4657:945
by	2585:12172:656:302
peter	3467:12158:2051:275
dwoskin	5745:12172:2667:249
carlotta	3098:12579:2092:288
locklear,	5560:12579:2400:315
the	6914:24764:779:275 6360:22991:779:275 5724:15586:943:275 8207:13012:800:275 11141:15625:759:275 8330:12579:779:275 3200:17713:964:288 11243:20378:759:275 4329:19485:759:275 9869:25210:759:275
convicted	9458:12566:2441:275
prostitute	2544:13025:2503:341
who	5806:16885:1025:288 2626:23425:1046:288 5252:13012:984:288
was	6401:13091:964:210
at	7550:13038:492:249 6955:22138:471:262
center	9171:13025:1600:262
of	3693:19485:471:275 10341:26077:471:288 9069:25197:492:288 9643:15165:492:275 8453:13839:451:288 10956:12999:471:288 7078:19485:492:275 10484:15612:451:288
a	9294:16557:287:196 11613:13078:246:196 10361:15244:266:210 3467:13892:266:210
controversy	2544:13485:3077:315
in	6524:14706:430:288 5827:13458:451:275
new	10915:18632:1107:275 6504:13472:1087:262
haven	2687:19052:1620:275 5970:26077:1641:288 10279:14745:1620:288 10361:22125:1620:275 7817:13458:1620:262 10279:24331:1661:275
last	3960:26930:923:288 8104:24764:902:275 8925:25644:923:275 9623:13445:923:288
year	10751:13511:1128:275
as	2564:13879:553:210 2667:19997:533:196
suspect	4083:13852:1887:328
carrier	6319:13839:1805:288
aids	9253:13852:1333:288
(acquired	10977:13892:738:249 2564:14246:1744:354
immune	4862:14273:2154:275
deficiency	7550:14273:2749:367
syndrome),	10833:14378:861:275 2544:14666:2092:367
died	5047:14693:1066:288 5642:22111:1087:288
yale-new	7530:24304:2544:288 3139:26064:2544:275 7653:22111:2482:288 7366:14719:2503:288
hospital	9848:16478:2031:367 2626:24751:2154:354 7283:23004:1990:341 2646:22545:2133:354 2564:15113:2133:367
on	5109:22624:595:210 4944:15218:595:210
monday	5806:15152:2031:354 6052:22545:2051:354
night	8104:15165:1292:341
cardiac	2544:15533:1046:302 10895:15257:800:210
arrest.	3795:15586:1703:275
official	6853:15586:1785:288 4390:17713:1785:288
cause	8843:15677:1436:210
death	10607:18172:1415:302 10587:19498:1415:288 2523:15979:1436:302
may	4144:16085:1128:275
be	11428:20812:595:275 8289:18606:574:275 5457:16019:574:288
pneumonia	6196:16032:2893:341
and	11038:21245:943:288 9192:16032:943:288
secondary	3364:19919:2605:354 10279:16124:1374:223 2523:16413:1169:367
aids,	3980:16439:1518:354
according	9458:23438:2523:367 5765:16452:2544:367
to	9130:16938:471:262 8576:16492:451:262 2544:23884:471:262 4821:25210:471:262 2687:18172:471:262 10587:20825:471:262 5745:23004:471:275 10259:18632:451:275
spokesman	2503:16859:2872:354
asked	7242:16899:1477:275
remain	10033:16938:1846:288
anonymous.	2503:17384:3077:288
said	5067:24304:1025:288 2585:26930:1066:288 6401:17726:1046:275
