yale,	2148:7901:4910:1312
union	7795:7927:5462:1063
conduct	13892:7967:7652:1050
all-day	2127:9502:6629:1312
negotiations	9514:9555:11928:1325
hopes	2373:11222:4296:826
for	6936:11156:2332:879
settlement	9657:11169:6895:721
tonight	17084:11182:4767:866
by	2230:12364:654:328
lynn	3150:12350:1595:262
oberlander	4951:12337:4153:275
local	2271:25476:1411:275 9452:16236:1391:288 2782:24150:1391:275 6383:18008:1391:288 10087:14057:1391:288 2659:12784:1411:275
34	4378:12797:470:249 3948:25489:491:262 7938:18034:511:249 4419:24176:491:249 11069:16695:470:262
and	5156:12757:900:288 6649:21945:920:288 2209:17154:1002:275
the	7836:21958:757:275 10721:13624:777:275 3948:21958:777:288 5462:18021:757:275 2250:27235:797:288 6363:12757:777:288 7897:24137:797:288 3907:22825:797:288 3294:13663:777:275 2721:14949:982:275 9268:15816:777:275
university	4378:19779:3069:354 8859:21932:2721:341 7447:12757:2721:341
continued	2148:13217:1575:288 10455:12823:797:210
to	7427:21525:450:275 4930:15422:470:249 11089:17574:450:249 4071:13243:450:249 5053:22418:470:262 8491:13663:470:249
negotiate	4849:13204:2373:354
yesterday	8470:26749:2516:367 7570:13191:2557:354
well	10475:13191:1002:275
into	2148:13663:961:275
evening,	4276:13650:2127:341
hoping	8900:17561:1698:341 6608:13637:1698:354
settle	3907:18021:1391:288 9145:13624:1370:288
contract	2148:14109:2148:262
before	4460:14083:1616:275
monday,	6219:14057:2209:367
when	8593:14057:1329:288
35	11069:16262:470:262 3764:17181:531:249 2148:14569:491:236
s	2844:14608:225:196
negotiations	3294:14516:3109:354
resume.	6608:14569:2066:210
negotiating	4071:14949:2884:354
committees	7345:14936:2987:288
are	10721:15002:818:210
scheduled	2209:15396:2557:288
sit	5544:15396:613:275
down	6322:15382:1309:275
again	7795:15382:1411:341
today,	9370:15369:1554:354
in	11171:26762:450:275 11089:15369:450:275
what	2230:15842:1227:275
many	3826:15907:1432:275
hope	5585:15829:1186:354
will	4685:25463:920:275 7120:15816:900:275 5115:24137:941:288
be	5688:21092:572:275 8368:15816:572:275
final	10414:15802:1125:301
bargaining	2230:16275:2803:354
session.	5237:16275:1964:275
after	7447:16249:1309:288
a	3519:26867:286:196 8961:16327:265:196 8347:22903:245:196 8347:25528:245:196 9411:20711:286:196
meeting	2230:16721:2086:341
wednesday	3191:25016:2925:354 4501:16695:2905:354
night,	7570:16695:1452:341 6342:25016:1452:354
locals	9227:16669:1657:288
chief	4849:17141:1411:275
negotiator	6813:17128:2905:354
john	10271:17115:1268:275
wilhelm	2230:17588:2148:275 8020:25003:2148:288
said,	4849:17574:1207:341
"we're	6608:17574:1800:275
either	10107:25883:1514:275 2230:18034:1514:275
contract,	8593:18008:2271:315
or	11048:18060:511:210
conclude	2230:18467:2291:288
that	4849:18467:1002:275 7672:23258:1002:288 3621:20659:1002:275
we	6199:18533:695:210
can't	7222:18441:1268:288
by	8859:18428:572:354
friday	9821:18428:1739:354
night."	2250:18900:1800:354
following	2741:19333:2557:354
last	5810:19346:920:275
night's	7243:19346:1739:341
negotiations,	2189:19779:1595:315 9514:19346:1820:341
director	8020:19779:2475:275
of	7652:22825:470:288 2250:27668:491:288 4664:24583:470:288 11048:19779:511:275
employee	2209:20213:2618:354
relations	5012:20226:2414:288
donald	7590:20213:1800:288
