support	44424:41403:5369:1418
nevis	50488:41403:3858:1067
tlfoertisers	55082:41455:7390:989
i	43730:44227:244:1392 63105:61656:40:754 62962:44227:204:1431 43730:46896:81:1145
attention	46058:44540:14270:1119
all	53714:56645:1694:533 45649:46896:2756:885
photographers	48344:59157:7370:663 44200:57998:7186:663 48998:46896:12412:1145
the	45425:49928:1878:546 61247:54015:1490:546 44241:51269:1510:546 51264:55291:1469:546
photography	47977:49928:6492:676
department	55143:49981:5941:637
of	49814:55291:1102:533 61778:50020:1102:520
:	63105:63114:40:637 43526:63114:61:637 43730:51256:61:741 43649:55291:61:702
yale	46099:51256:2164:572
daily	48630:51269:2633:676
news	53142:55330:2613:520 51631:51308:2592:520
will	54592:51282:1735:546
be	56694:51308:1102:533
holding	58144:51308:3756:689
a:	62248:51256:898:741
short	44179:52610:2592:546
organizational	47507:52623:7125:650
meeting	55408:52649:3858:676
mon-1	60043:52610:3103:715
day,	44220:53963:2041:650
january	47119:53976:3940:650
21	51815:53976:959:520
at	48732:61825:877:468 53652:54054:898:455
8	55265:53963:469:520
p.m.	56531:54146:2245:481
in	59614:54002:898:533
darkroom	44220:55291:5165:546
building,	56184:55317:4369:676
202	61023:55356:1694:533
york	44179:56645:2899:520
street.	48406:56645:3899:533
interested	56756:56658:5920:572
must	51856:58037:2368:481
attend.	54694:58024:3409:520
new	45649:59183:2266:520
welcome!	56307:59170:4899:533
if	45323:60445:837:533
you	46691:60588:1796:507
can't	49120:60419:2429:533
attend,	52183:60406:3389:624
call	56245:60393:1674:546
gary	58532:60432:2449:637
or	61594:60575:1020:377
daniela	44118:61760:3797:559
6-0825	50427:61760:3164:520
before	54490:61734:3144:533
monday	58491:61747:4144:663
evening.	44098:63114:4042:637
two	2266:19797:2204:546
crucial	4940:19797:3307:546
road	8738:19797:2266:546
games	11453:19927:3021:520
elis	2204:20799:3613:1054
seek	6492:20825:4164:1028
advance	11289:20799:8023:1054
in	19905:20773:1857:1041
standings	22355:20773:9330:1197
by	2327:21996:653:325
eric	3225:21996:1449:247
bernicker	4899:21996:3511:247
the	3879:25029:775:273 8574:26331:775:273 6798:27203:775:273 7594:25016:959:286 9146:25459:775:273 5287:24144:755:286 2817:22413:959:273
yale	4328:22413:1143:273
men's	6022:22400:1510:286
hockey	8064:22400:1776:351
team	10371:22413:1286:260
enters	2306:22855:1592:260
an	4389:22920:592:195
important	5471:22855:2551:338
weekend	8513:22829:2245:286
of	4675:24144:449:286 5838:26760:469:286 11228:22829:449:286
ecac	2306:23285:1572:273 10146:25446:1551:286 2347:27203:1551:273
play	4083:23285:1082:351
with	5348:23285:1122:273
two	6675:23285:898:273
away	7758:23350:1367:260
games	4124:27268:1674:208 9309:23324:1694:286
at	11187:23285:489:260
colgate	2327:23714:1939:351 5757:24573:1919:364
and	4450:23714:918:286 5961:25446:939:286 8738:24573:939:286
cornell.	5553:23714:1980:273
yale,	7758:23701:1327:325
currently	9289:23701:2388:351
sixth	2306:24144:1245:286
out	3736:24170:755:260
eight	6206:24144:1286:351
member	7635:24144:2164:273
ecac,	9942:24144:1735:325
is	2347:24587:367:273
flanked	2919:24573:1878:286
by	4981:24573:592:364
(5)	7900:24600:632:260
cornell	9840:24573:1837:286
(7)	2388:25042:632:273
in	3266:25029:449:273 8452:25459:449:273
standings.	4797:25016:2592:351
elis,	8717:25016:1143:338
whoat	10044:25016:1633:286
11-5-1	2388:25485:1286:247
overall	3940:25459:1776:286
5-3-1	7125:25485:1061:247
are	2327:25979:857:195
off	3634:25888:673:286
to	10207:26786:449:247 4716:25927:469:247
their	5614:25901:1204:273
best	7268:25888:1020:286
start	8738:25914:1245:260
since	10412:25901:1286:260
1950-51,	2368:26370:1837:286
still	4369:26331:959:273
must	5491:26357:1265:247
shake	6920:26331:1490:273
jinx	9493:26331:959:338
they	10636:26331:1061:338
had	2347:26773:898:273
last	3450:26773:898:273
year	4532:26851:1143:260
not	6471:26799:775:247
being	7390:26760:1408:351
able	8962:26760:1082:273
win	10820:26773:877:260
on	6002:27281:551:195
road.	7778:27203:1306:273
preview	5328:28062:2613:351
colgate,	2878:29064:2102:338
who	5348:29051:1020:273
